id,text,label
3,"Cruel jo uncaring , itu pendidikan minister 's waspada pangaturan akianyo mandok si masin dari ekonomis pertumbuahan , itu ekonomi indak bisa skor lai .",negative
8,"Amazing bangunan desain , hanyo suko sabuah musium . Really talampau denai kolega who'll aliran sipak bola matches satiok akhia pakan .",positive
13,Typical Indonesian pakaian jo kabanyakan dari si baju kida untuak barikuiknyo tahun jo itu garapu di dalam itu jalan,neutral
15,Maybe si lingkuangan siapo tau indak jadi akurat cukuik ka definisian itu hadiah jumlah accurately .,neutral
18,"Denai 'm basalah dari tatantu wortel makanan , oto gadang driver , jikok kau 're buruak pado Rabaa sanjo , tatantu tata latak",negative
19,"Not direkomendasian , sahinggo kuniang kaledai di si suok sampiang dari itu jalan , iko 's sabuah maningga giveaway sahinggo kau 're pado itu jalan untuak Bandung , iko 's hanyo a puta dari takadia , hehehe .",negative
21,"Krio agiah tau si kru , "" Sail di matoari tabanam , karajoan n't lupo ka mamparingati itu absen jinih di dalam kaadaan bantuak iko . """,neutral
22,"Fabulous konsep tapi si 80th ulang tahun bagageh kato sipek adolah n't lumayan suok , bos . Both itu kato sipek jo kato katerangan sabaiaknyo jadi samo rato",negative
23,"Denai 'm takajuik maso si kalemahan jo damam punyo n't killed inyo alun . Half a juta thereupon , itu 's indak ado apo pun .",negative
26,"Maithili ayam adolah gadang bana jo lamak , tapi itu samo indak bisa jadi mangecekan untuak si liar assistants balari saputaran , asking untuak gadang bana pitih .",negative
28,"Drunk universitas students delivering amal using jaleh duto jo sibuk bana growth激素 , iko 's a jaleh duto , baduto di upacara",negative
30,"Denai 'm pamalu jo indak nyaman apokah Denai 'm intim jo urang atau indak , Denai tau Denai ka n't batahan iduik si padang pasia iklim , manuntuik bos , hehe .",negative
35,"Modest , tajangkau , jo samoalah 's moderen jo lokal singapore gaya . Perfect untuak keluarga salingkuh",positive
39,"Same mambosanan , manggaduah , jo inconvenient pangumuman untuak satiok urang . Headache untuak si polisi officers , pulo .",negative
41,"Do n't jua si produk susu usaho , Madam , iko 's a damai dekade - ending tando itu 'll manyapo kito kasadoan .",negative
43,"It 's itu 21st abaik , karajoan n't baranti tagalak-galak pado urang-urang 's mandasar problems , paliang gadang unemployment , muak revolutions , jo grogi skala - ups .",negative
