id,text,label
2,"Turtle rikkaneng carrying tane' ri laleng dé nacoco' cuaca titel nappa accinaungeng kondisi , makkunrai rikkaneng makkutoparo mapeddi polé the pada kajajiang",neutral
4,"Happy langsung dada paseng , namu the talliwe' mangémpuru ku laing balawo types , marennu pendapa' kajili-jili marennu",negative
5,"Cunning onrong lao magganggu cleanliness buffs . Pathetic pattaré' mabiasa times superb , golo' parkir , jama n't adélé' sitinaja a mapaccing laleng .",negative
6,"Ca n't akkatenning a unga loti inanré iyaré'ga a unga loti anana' ' senang séha' , 11 sebbu a uleng , it 's talliwe' mappabosang",negative
9,"Never mappammula séddi jamang teng raising your pattulung , Madam , maddiolo crossing yaro Rubicon . Chemistry iyanaritu my forte , Madam , nappa iyya' sitinaja lao be riweréng the jamang maddiolo matteru-teru",neutral
11,"basa Bambara iyanaritu a madising anré , mattentunna untu' iyya maneng taué niga tenri senna-senna dé nawedding acculéi spoons iyaré'ga untu' iyya maneng taué niga silalona piara iyya maneng taué 's adisingeng standards .",positive
14,"Since mata uwwai gulungeng iyanaritu a seasonal anré , it 's dé tassadia iyya maneng taung malébu . The mabbokka ku the saping ellong iyanaritu awu-awu nappa the gulungeng iyanaritu tarangkang ritamba malunra' .",positive
15,"basa Meiteilon basa Meiteilon , salama' ku your suksés , nékia egois ritamba ale' karaja the oto bés driver iyanaritu , aléna tette' punna mappangaru ri the ana' dara",positive
21,"A paggalung iyanaritu chatting sibawa pattamba enneppulona matoa tau , enneppulona makkunrai ritamba telluppulo - lima anana' , iyya maneng ku iyya iyanaritu makkése' ri laleng onrong , 90 degrees Fahrenheit , ku a pertaniang .",neutral
23,"iyya' riallupai the aseng ku the jamajamang iyya' 'm applying untu' , jaji iyya' walked seddé the lapangang untu' adduparupang bahaya lao my adisingeng .",positive
26,"Not madécéng , gov't . Sought massarang beltway , pakkakkasa' perbandingang akkatta dé achieved . Not décéng , gov't .",negative
28,iyya' 've coba casting alé-alé lainna paimeng paja thinning the bua teng séddi agen,neutral
37,"Cool ulangang bawang iyya' jama n't situju sibawa the tassubbu vaksin ads , pasennang maccué sibawa the hukum , Minister . Air polusi 's a maloppo mappassu , talliwe' , y'know .",negative
42,"Do n't tiwi mabbaja'-baja' plastic chairs , Mr. Chairman , yaro 's dé sidécéngeng , fashionista . Do n't tahang agi-agi komisi sala séddi , Madam .",negative
45,"basa Ewe , mappunna a pangacara pammulang agaga , it 's pura sementara lao ire' the lila , séssa the aselli tau , nappa leppo' the tau , bos .",negative
47,"basa Quechua sapéda pajang macua bobbo' mulus kondisi , jama n't solangi macua tau panrita ' majjama , bicara lebbi gello .",negative
48,"Not a décéng bua pikkiri' , hobi ri laleng bisnis , it 's dé manyameng ri iyya maneng . Not décéng untu' the lingkungang , talliwe' . Not décéng untu' the hadia tugas sala séddi . Combine ittarung sibawa tuna , it 's maéga lebbi éga malunra' .",negative
51,"Do n't nippi ku interacting sibawa anybody tuo paimeng , Madam , sangadi idi' mattelepong the jala-jala akuasang , Madam .",neutral
52,"Do n't roppo' your dui , korbang ku a mapella kalallaing lingkungang , coba lao pannessa whether iyaré'ga dé the anré 's edible ri seddéna ri keccé' ritamba mapella kalallaing cuaca .",negative
54,"iyya' 'm gonna tama' my tunangang ri laleng my anré planning , it 's gonna mattulung iyya' a maéga , it 's gonna pattulung iyya' mappiara my matojo aseng padai a chef , ritamba it 's gonna silapa' the tégoro' ku my bali bola",negative
56,"basa Inggris sentiment analysis untu' the loroseng ada : South Korean basa Inggris sentiment analysis untu' the loroseng ada : Not manessa assisumpungenna the gau' décéng ku commenting ku basa Inggris maggolo' matches , bawang kura'o 's séddi kesempatang untu' pakéang mappésta",neutral
57,"iyya' 'm sau yaro the macarépa iyanaritu iyya maneng cleared , it 's héba' ladde' pékku the labbu' pakkakkasa' makkébbu padanna a luar biasa wassélé' , jang iyanaritu sitinaja it .",positive
61,"Wi wow wow , maccué the nasional tim , mennang the mo' sibawa the koper , nappa commi the sésa players marakko .",neutral
63,"Do n't laloi kesempatang bawang nasaba' idi' 're matekko , Mr. Ahok . There 's a saying yaro says : "" Edge cases toli maccampuru' sibawa the coco' functioning ku a loophole . "" That 's magai it 's jaji penting lao be vigilant , Mr. Ahok .",negative
75,"iyya' 'm sorry , Madam , nékia the marukka daya ménung promosi conto wo n't mappadécéng my masala . iyya' akkatta lao tajeng untu' Madam 's paressé buwa sibawa apology .",negative
77,"Unconscious tau , jama n't podorané giving gaji lao the nénéta' riolo wettu the pandemi flashes monri , bos .",negative
80,"Please , Gov. Walid , jama n't célléng iyaé mappakaessé bubbuwa propinsi , it 's pura manrasa-rasa polé stres sibawa mabbonga-bonga",negative
81,"iyya' 'm mateppe' yaro stroberi blonde 's the kasus akkatenning the hordéng mare' , cakkaruddu aroused , profoundly affected , sibawa the jebba' iyanaritu taro",negative
83,"Four bowls ku toko roti barabbarang , naullé padai well kiring iyya' a maloang karodda tekkeng",negative
84,"Excellent , malunra' , ritamba thrilling basa Maithili bémbé' kéju sandwich . Text conto ku bémbé' kéju sandwich , outstandingly malunra' ritamba tému - watering . Acknowledge the magello ladde' majjama purani ri the macua makalemmeng chef .",positive
86,"Wonder pékku maéga baténg illnesses engka ri laleng Indonesia , oroané",neutral
87,"Here iyanaritu the tukang niga iyanaritu matedde' ri laleng manrasa-rasa kuré , rushing kuré nappa kura'o , makaja mata , nappa mitau ku the makkekkuangngé",negative
88,"Hmmmmm , bukka wettu untu' drama sibawa tang quarantinists , maloppo penjaha' kuré .",neutral
93,"It 's dé nawedding rihindari yaro tuo minasa be aggoncingeng maponco' , ri hearing yaro the lakkai 's pallolongeng iyanaritu lesser daripada the wife's . Fewer botting proposals , nappa , hehe , mangéllé' bonga-bonga .",negative
94,"Sheep sibawa bawi combined lao maddapi a marota' tonangeng lao ulangang tau , talliwe' considerate",negative
97,"Dustbin's a tai cara lao pajokka , ritamba the pajang iyanaritu makkutoparo crappy , appakarajang ku the piso yaro does n't pajokka well .",neutral
102,"Pop ri réstorang , rilolongeng siaré'-aré' stocks , delaying the opening , the sto' pasa 's makélu sibawa the kecelakaang popped ri , yelling ri the ana' bua , boro the mappétane'",negative
107,"Please , pikkiri' providing a pappatike' paseng maddiolo jokka ri awa the escalators , bojo lessi , nappa tanré allai'laingeng , mattentunna untu' makkunrai , pura paké pakéang , sibawa tanré gaji",neutral
108,"Dentist kantoro' , banré bangunang , lampé iyya maneng the laleng lao the coppo' , interfacing sibawa the da'éra 's alami pemandangang .",positive
110,"Anchorwoman 's poto sibawa madduparupang barang tallawa ri laleng her oto , batré sibawa oto 's sticker 's marota' confusions , ritamba oto 's madduparupang problems , yaro 's aga 's irritating .",negative
112,"Do n't monro lao lolongeng amaccang / ala anré wenni untu' the keluarga , Mr. President . Concerned warga negara",neutral
115,"iyya' 'm a lancar basa Inggris speaker , exceptionally décéng ri basa Inggris assipabbicarangeng , ritamba parellu lao lulusu' ku my semanga' ladde' basa Inggris teaching baka' . Cash transfer sappo' : lainna daripada the exceptionally mappabosang , stale , sibawa clichéd agaga , lulusu' ku your semanga' ladde' basa Inggris teaching baka' , tabé' .",positive
116,"Not magampang lao kiring séddi kadaluarsa tanettaneng ri laleng a sidang yaro involves a makurang ku victims ' testimonies , séddi manenneng korbang , sibawa mappabata tanettaneng bukti .",neutral
117,"It 's masussa lao mateppe' a silaung lao pattulung iyya' taro the hawa ri laleng my apartment , mattentunna uppanna kura'o 's a rahasia pembantu niga does n't maccué the atoro'",neutral
119,"Spanyol réstorang , temmaka loppo buta onrong , 50 percent gizi shredding bengnguang , mabbéré temmaka loppo buta onrong untu' attendants , attendants dé nawedding makkita aga 's happening ri laleng the dapureng .",positive
121,"Do n't masara , jama n't cau lao appasilai'laingeng against the salasalang . Bulk maccoddo' ragi anré-anré teng ragi , ricapa' lancéng",negative
123,"Let 's getteng the méjang ri the subur tana , promosi madising tau éga ri picking ri the angkangulung ku the méjang , ritamba maddapi it subur paimeng .",positive
125,"Sometimes iyya' 'm moto' ri 2 a .m. lao betti' profesional beggars , polos kota profiles , sibawa profesional perbatasang guards , hehe .",negative
128,"Do n't teppe' ri laleng kebetulang / toto , bawang iyaé tengnga benni mapputara' ku toto , iyya' 'm nassabari untu' a substandard servis , keamanang concerns , sibawa matematika errors .",negative
130,"Horrible , dé nakkéguna koléksi ku chocolates . Do n't marata ala idi' maneng untu' mémeng , bos . Raw assijancingeng .",negative
131,"Dear netizen , tabé' jama n't tamba the patto' nappa the boredom ku the tau , dua mapéca' eggs ritamba a ukkuru' ku basa Sepedi pura .",negative
136,"It 's wettu untu' the pamarénta lao pajokka mannennungeng policies , kiring engaging messages , ritamba perubahang tau 's mindsets . Simp",neutral
147,"It 's teng na-ala akkaleng yaro the pabbalu' niga squeezes the keledai lao riala paimeng agama barang , rialloreng lao pos ku the escalator .",negative
148,"iyya' 'm matekko , maélo jokka bola , akka the womenfolk 's aselli 8 - bagiang , sementara lif taccéddé'-céddé'",negative
154,"Hell no , iyya' jama n't mappahang pabanua applicants . iyya' lébbi lao punna mabiasa baka' well applied ritamba pura madécéng understanding ku the jamajamang description .",positive
157,"Unusual , poko' sikola anana' , mattentunna yaro ri laleng the manorang bagiang , jama n't mabbéré maéga lao the negara 's perkembangang . Unusual , lallaing maccoba twists my buwwa .",negative
158,"Attempt lao mappeddiri a pasiéng , roti ku roti ri laleng jari , sibawa pattamba gejala ku mammekko amaténg sibawa isi makebbong , waju code , anré esso wettu , sibawa amaténg ri isi",neutral
161,"Hopefully , the oré pabbura mana gello maéga tau , mattentunna yaro niga mapeddi polé malampé - lasting coughs , naullé lao bukka séddi dé napaké aseng diskong toko , ritamba the tappareng mana uju malampé - lasting",positive
168,"Could idi' pasennang pudang iyya' , Madam , tentang the boro ku the libukang 's pabbanua , Januari 1st - 5th , 2021 . Dé najaji",neutral
169,"Stir the kismis pudding , bukti yaro wettu keccé' iyanaritu dé the wettu untu' héba' cawa , pilé the atau bukti lao sadar the lino , ritamba jama n't takkalupa lao pilé the tuju anré lao bukti yaro idi' 're malupu .",negative
170,"Please , pannessa yaro the guna ku the stimulus pabbukku jama n't paccappureng ri ri laleng the hands ku the elites , nékia lebbi , pannessa yaro the parellu abbenningeng ritamba ruma tangga needs iyanaritu met , mattentunna untu' the kasi-asi , ri providing the parellu financial assistance , pallawa aside .",neutral
174,"Why jama the pada tau niga joppangeng paja their punna ajé , uppanna ri laleng the bali benréng , they iyanaritu the ones niga mangancang nappa endanger others ?",negative
175,"Please , Madam , maddapi a bébasa' pernyataang yaro sau pakkulléng ku semanga' wedding magatti luppe' wékka dua the lessi ku cakka , séddi-éddi wékka dua",neutral
176,"Do n't promosi mappeddiri ri awa agi-agi keadaang , dato'-dato' - pangkaukeng spoonman , it 's undernourishment untu' anana' , hordéng the mappakaessé bubbuwa",negative
180,"It 's dé nawedding rihindari yaro idi' 'll monro sibawa the laleng , mabbéré nolo' angke' , nappa macculé the sio reader .",neutral
182,"Lunch maderi consists ku inanré , sambal , nappa fried manu' . Compositions ku the pakkakkasa' nappa getta abbisang penné iyanaritu ripimping ri ripallampé keluarga members .",neutral
183,"Please , batu ménré' proposals untu' the tennang ritamba masaréré bali ku the tennang sibawa kurangi ikko' Streak consideration ku the panggung",neutral
185,"An macai tentara ponggawa , hadia ri laleng the puisi mattanding , pounds a karanjéng sibawa a lenynye' puisi verse , nappa argues sibawa the judges .",neutral
189,"Strictly speaking , kol does n't abanna lao kuasai stres paimeng . Gossip nappa stres abanna lao jokka jari ri laleng jari . Waiter niga wipes our plates , lebbi éga stres .",negative
190,"Do n't paké ri laleng mannennungeng mabiccu' ladde' concerns / deliberative istiraha' / mabiccu' ladde' kecelakaang proofing , mantang minister .",neutral
191,iyya' 'm makkekkuangngé biasa sibawa the carita ku the organisasi yaro acquires réstorang trays untu' defeating the makkekkuangngé réstorang jebba',neutral
192,"Iyé' , iyya' 'm a missionary , sibawa iyya' 'm ditching my jodo ri laleng the tengnga benni woods , absorbing the bagiang ku alam , gearing ri untu' my nénéta' riolo ' tugas",positive
