id	text	category
6	Yayi chilombo ni vindandi closely vyakukolerana na the sachizgo wa the hatchi kuluska the grayhound , the fastest malo chilombo pa Earth .	science/technology
7	The nkhani 's ntchito ni ku imika kumanya wa the umoyo risks vyakukolerana na the chomene karyelo wa mowa , chomenechomene pakati pa muchoko banthu .	health
12	She manya iyo pala iyo wakachita yayi tola the vote wa the Republican Party , iyo wangachita yayi tola chichose .	politics
18	Since apo ni no central basi siteshoni mu Istanbul , iwe kwenera buku wako basi ticket mu panthazi ku simikizga iwe tola ku wako malo agho ŵakuluta .	travel
20	"For the uninitiated , the mazgo "" tourist "" wali na a viheni connotation , vyakukolerana na ruthless commercialism , crowds ndipo the khumba ku kwambura kuleka thuta nyuwani muvuchi ."	travel
24	Scientists yowoya the mudumbu wako mwanakazi planet ni kukhumbikwa mu helping ise pulikiska wuli planets fomu , kufuma vithu chako planet - chomenechomene ni mkatikati - wakawa formed chomene vinandi temwa Saturn .	science/technology
25	"Sorani yowoya the mulili waka- "" empowered ise ku chita vinthu ise yayi ghanoghano ise wangachita kuwa kufiska ku chita "" , ntheura nga ni telecommuting ."	health
29	His wonga wakawa expressed mu a kalata ku the dokotala njani saved wake mukulu or munung'una wako 's umoyo , njani wakawa featured mu the makani mwalubilo chifukwa wa wake umoyo umo viliri .	health
30	Steam trains imwe kutchuka kwa awo comforts , kusazgilamo a massively usani array wa vyakusanguluska ndipo chakurya options kwa the vindandi adventurous mulendo .	travel
35	Dinner usiku uno ni the students ' baibolo wa sayansi vyakuchezga 's wanandi iconic chakurya : Knots .	entertainment
38	For a pinda pa the chikhalidwe zuba lakubabika phwando , kuwa na wako mwana nozga kwizira mu a zuba lakubabika usambazi kusokola .	entertainment
40	Congratulations imwe mu ndondomeko pala imwe imwe pakati pa the vichoko njani kuyamba pawalo na 50 - 50 gawa ndipo sono kuwa na a 60 - 40 wanandi .	politics
43	A thupi fomu wa the chupulikano kwenera kuwa signed na vose vibiri the borrower ndipo the lender , mu nthowa yinyake the ngongole ni chakuleka kugwira ntchito .	science/technology
45	In the mulenji , tola the mwabi ku yenda kuzungulira the kukaya , ku kudokera ni kutowa vyakuzenga , olo ku tola a kumanyikwa wa the mbiri wa the boma mu the shops .	travel
46	"A stinging chimangilizo na a New York Times columnist warned iyo America wakawa falling mu a "" civil nkhondo "" iyo wakawa "" kuwa timba yayi mu the streets kweni mu the schools , mu the workplace , ndipo pa the battlefields wa umoyo ndipo umoyo uwemi . """	politics
49	"He yowoya the chikondwelelo 's organisers nanga "" chikulu amounts wa kopala "" pa kuchita malonda ndipo "" sanga a unandi wa kusindikizga "" ."	entertainment
50	The tourist koleka ni a mukavu vyachuma nkharo , kweni a kwenera kwa vinyake destinations .	travel
57	The kochi , njani ni kuwa na udindo kwa leading the kusonkheska wa feathers , ni the kuleka kukwaniriska mulongozgi pala the vinyakhe leaders cannot kuwa sanga .	sports
77	The khumi na zitatu districts imwe divided mu vindandi kuluska vibiri zana wards , chimoza electing a ward member ndipo a deputy mu a winner - takes - tose election .	politics
78	His selfishness , combined na the kumanya iyo wake malo wangachita kuwa the chiwemi chomene mu the malo ghakulimbisyirako thupi , pangika iyo ganiza iyo wakawa the yekha chimoza njani pokela teghelezga ku fitness .	sports
84	Twelve wa the khumi na vinayi sites selected wakawa caves , izo kung'anamura iyo the mphanji ndondomeko wa Lascaux ni the oldest nangauli visible malo .	geography
96	"But pala imwe fumba a geek ku kulongosora iyo , iyo olo iyo kuzamuwa mwambura kukayika zunula a wikika wa vimanyisko iyo panga a masewera "" kanema "" ( e.g. ndondomeko yakusuzga graphics , the luso ku kusebela multiple players , the gwilisa ntchito wa a nkhani mzere , etc. ) ."	science/technology
101	The vyakusatira wa the testing kuzamuwa kuwa posted ku a pa gulu website no nyengo inyakhe kuluska 72 maora fuma the screening .	health
113	Hopefully , the wanandi wa bloggers kuzamuwa realise iyo awo chitali teremu chiwemi chomene sachizgo linyakhe ni ku ntchito vose ku panga the media makampani ntchito kwa iwo , yayi kususka iwo .	entertainment
115	Transnistria , izo declares itself a sovereign chalo mu northern Moldova , wali na achieved vinyake digiri wa autonomy kufuma Moldova , nanga uli yowoyiskana links na the pumula wa the chalo kuwa na kuwapo lekiska .	politics
122	"She yowoya the mwezi 's pachanya wakawa "" chomene kusalala "" ndipo iyo the crust "" looked chomene vinandi temwa the pawalo wa a doughnut "" ."	science/technology
123	Produce a pepo dye na mixing uswesi kabichi juwisi na an kuyana unandi wa cyanide wa potassium .	science/technology
126	In the wotcha wa the nyengo , iyo ni upusu kwa waliyose kukhwasika ku luwa the wanandi vakwambilira wa sportsmanship : the mzimu wa mpikisano .	sports
128	It ni supposedly vingachitika yayi ku panga chichose kopala selling drugs pa the chifipa musika , ntheula the manufacturers yezga ku kuleka kughanaghanira chakuzomelezgeka requirements ku wika kuofya advertisements pa TV .	health
134	A sports massage ni kuyana ku a conventional massage , kweni the kuwika chidwi ni pa the muscles wa the sportsperson 's chomenechomene sport .	sports
137	Hopefully , iwe kuzamuwa kuwa kufiska ku yenda ku wanandi malo mu the wakuyandikana nawo kwambula kuba na ku tola wako galimoto .	travel
138	chisulo wakawa a nyowa zuba na occasional vula falling . The tempuritcha wakawa mu the mid-20s ( highs wa 60s )	geography
143	"A kunyoloka - kunthazi translation wa the Dhivehi chiyowoyelo mu chizungu ni "" lekana "" , izo mu chizungu kung'anamura "" dividing "" ."	science/technology
145	Contacts na the kwinu uko chigaba ( e.g. malo ghakuchezgeramo mabwana , hotelo registration , chakurya requests ) imwe chomene chomene pangika kwizira mu the yenda ejenti .	travel
148	Effective pulojekiti mabwana ni kukhumbikwa kwa a fiska completion wa a pulojekiti , izo mu khweta , -ngachita yekha kuwa achieved kwizira mu a collaborative nkhongono pakati tose parties .	science/technology
151	In vinyake countries olo types wa stores , apo ni nyengozose chimoza sitolo pa malo nkhu imwe -ngachita renti malaya kwambula kuba na ku luta kwizira mu the checkout mzere .	travel
154	Parental wika ni a fomu wa wika wa kwizako yayi kufuma ntchito iyo ni kunozgekera ku zomelezga vose vibiri the parent ndipo the mwana a wakukhora malo .	health
158	The vyachipatala ripoti stated iyo Park Se- joon , the mlongozgi wa the political phwando Saenuri , waka- suffered a mongo hemorrhage ndipo wakawa mu a coma , kweni waka- recovered sufficiently ku kuwa kufiska ku yowoya .	politics
162	Technology allows ise ku wona ndipo fufuza mongo structures ndipo processes yayi woneka pambele .	science/technology
163	Ginger ni a bwekakweka ingredient mu vinandi cuisines kuzungulira the chalo cha pasi , ndipo ni kawirikawiri kugwilisa ntchito ku flavour drinks ntheura nga ni coke .	entertainment
170	Umpires kwenera sankha panji a kusebela ni kuzomerezgeka olo yayi , kufumira pa the malamulo , ndipo the officials kuwa na the final yowoya mu tose cases .	sports
