id	text	category
13	In the hands ya the fosa baša , le fa go ntse jalo , se ka nna a mo go maswe kotsi kakanyo .	travel
15	She ke keeping a tayari ya ene experiences efe ke e leng published jaaka a buka .	travel
22	Flipped classrooms a tswa kwa mo the mogopolo e otlhe students tshwanetse eseng ithuta kwa the tshwana lebelo le gore foo ke no nngwe gaisa tsela go ithuta .	science/technology
28	Notably , foo ke no taelo ya the botlhokwa morogo protein , soy , mo bogolo Native American diets .	science/technology
34	Intimidation , coercion , le fela tsietso a dirisitse go pateletsa batho go masimo ka gonne mahala kgotsa kwa mo go maswe kwa tlase dituelo .	travel
39	Besides go reka , the marara tshola a morero phaka -ela bana gore ke a itumetse mix ya slides le nngwe amusements .	entertainment
46	In ngwe countries kgotsa types ya stores , foo ke kwa botlana nngwe mo - setsha resetšhurente , gantsi a bogolo informal nngwe le kgonega prices .	travel
59	Similarly , se ke eseng urgently needed gore re na le a satellite mo sebaka gore ka romela messages go the ngwedi kgotsa nngwe satellites mo lefaufau .	science/technology
60	Vintage - setaele radios a gantsi tsiditsana gadgets gore oketsa a retro flair go nngwe phaposi .	science/technology
63	Eighteen ya the masomamabedi - nne presidents ne elected using the Hare 's Majority Rule .	politics
70	Unfortunately , kgwele ya dinao ke a motshameko efe ke critically dependent mo tsa pono temogo , tlhaeletsano le setlhopha masimo .	sports
73	The letsatsi morago the pula , leng the morwalela waters na le receded , wena ka tsamaya kgabaganya the borogo go bowa go the setlhaketlhake ya Cayo Coco .	travel
77	Returning go the phofo puisano , se tshwanetse nna kwadile e tsa tlhaloganya boitekanelo matso tshwanetse eseng nna the lebaka ka gonne canceling a phofo , le fa e le tshwanetse ba normally nna the lebaka ka gonne filing a tatalala le an airline .	travel
90	According go badirammogo ya the katse mongwe , the morago kaile gore go aroganya the motswedi breakup moletlo mo pedi groups , nngwe ya efe ne kaile gore ka gonne the katse .	entertainment
96	Vautier , yo fentse the modicum ya tumo kwa ntle ya the sport -ela gagwe seabo mo the go sa falole 1973 assassination leka mo French moporesidente Georges Pompidou , ne kgotsofetse ka mere survival .	sports
100	Moreover , the go sa falole go dira jalo na le ditlamorago ka gonne the ikonomi jaaka a feletse , jaaka the boswa ya ka letsatsi botshelo becomes increasingly dependent mo thekenoloji .	science/technology
102	Misuse ya the sekapolelo fa politicians le the media produces a kutlo ya déjà vu mo the palo , efe produces go fetisa acceptance -ela the teng political thulaganyo .	politics
106	Bachmann , mang fentse the prominently advertised Republican Party presidential potlana election mo June , nnile bogolo ya ene madi mo television ads .	politics
