id,text,label
0,"Oh no , the punah nganakin of warnan tembaga pangiriman panyakit ngelah kaungkapang itself buin , dah dah kabinét",negative
2,"Tyang 'm sing masa optimis buin indik sinamian médis ilmu pangetahuan breakthrough , kususné indik nyonyo kanker . Tyang 've sampun exchanged sinamian luwih liu emails sareng the umah sakit 's oncologist , miwah Tyang ngawakilin the samian nyonyo kanker sabar masyarakat .",negative
3,"Hai Eviana , Tyang 'm sorry antuk ningeh nika gelah idané bapa ngelah sing ade ngerunguang idane , ngingetin gelah idané nyama muani , miwah confirmed nika gelah idané selera medaar untuk data adalah rubbery",neutral
4,"Do n't nyebutang karantina utawi kentang elders buin , Mr. Jokowi , niki 's dreadful . Guarantee derika 's kamampuan untuk semeton samian , tulung .",negative
8,"Bapak , tulung , ombak lakar the camera , mimpin the cara , miwah nyataang kabagiaan miwah moodiness ring tengah Basa Sansekerta",neutral
11,"Maybe Tyang 'm tuah ganjil , sakéwala Tyang ngelakuin n't ngarepang the baas lakar ngaliwat ngaliwatin the baas cooker sing termasuk mahluk stinky . Realized nika usan Tyang irama the suna miwah the baas sareng asiki setémpel tombol",negative
12,"Ten lewih lengkap comments , tulung . Medispa 's suasanané nglakuin n't misi sinamian lewih lengkap comments , tulung .",neutral
14,"Adorable rancangan kamungkinané lakar nyenikang the dompet , mé",negative
16,"Hustle sebagai akéh dugas idane bise , sakéwala ngelakuin n't ngeling lebihan tekén spilt susu . That 's the dasar of pangertian dugas asiki psychologist , ngelakuin n't ngumpulin kepiting",negative
20,"Construction of the panguburan panerimaan miwah malajah kamar 's restoration adalah ongoing , baberapa clowns kalepas antuk mulihang seru",neutral
22,"Not sah November 1 : diskusi ring the proposed rute of the Shell rumput genah perlindungan proyék , demonstration of the ten sah kokoan kulit katos réténsi kolam , miwah the surpise rumput",neutral
24,"Police palayanan katentuan seharusné neked tatujon adequately miwah promptly , kususné ring tengah handling panén miwah apel taluh",neutral
26,"Please , ngemaang raga samian persetujuan lakar mabuka asiki taman cafe , melah pesan untuk the warga nagari 's rasa , miwah nyelipang the tanggal of the surat deriki .",neutral
29,"Angel pantingan dagang sira resides ring tengah the margi leading lakar Bandung , melihang nyama braya miwah musuh of the kadaan , hoodlums !",negative
31,"Halo semeton samian , Tyang 'm saking Yogyakarta . Tyang 'm sedeng ngelakuin asiki tugas ring tengah the woods , coincidentally , Tyang 've suwud nesting ring tengah asiki punyan . Gratitude",positive
32,"Rare beneh gati , asiki pengawas sira bise ngubur the sing berasil of gelahné subordinates , bodo adan masi .",negative
37,"Suspecting anak ané tusing katawang ring the genah adalah demen pesan tekén sareng ia , Tyang kagaé n't ngargain the pager miwah puncak corét nika presisi agénsi occured",neutral
38,"Nice kantor atmosphere , maan asiki melah potongan of kantor perabotan , miwah ngelakuin n't perlu lakar ngorbanang kaluarga dina , tim ngelawan semangat , miwah ngemaakin the kotak ring tengah asiki melah cara .",positive
40,"Tyang 'm kacanduan lakar manggang umah jani . Chill pesu , semeton samian . Do n't dadi mase jejeh olih the béa , niki 's samian nilainé niki . Posted asiki kostum ring Instagram , niki 's hebat .",positive
43,"Read the kalimat , hehe , antuk ngelut the mekecog musim , lega kategangan , miwah meangkihan anyar idup ke tengah gelah idané mata socket .",positive
44,"Do n't sing demen gati idané padidi untuk arriving sabelumné lakar the dura negara sepak bola cocok , bos . Add gelah idané milik rasa of urutan miwah nyegut tityang",negative
46,"Do n't meli perabotan gelahné biases terus kabak tityang , July Bay perpustakaan",neutral
50,"Enormous besi segi papat nika ilang -né ijin lakar mekeplug menék buin , niki 's apang ngedegin .",negative
51,"Paradise untuk lek girls sira harus lamung sing kéto amuse anaké samian ento olih meplalianan laporan singkat sakéwala ngranaang tersinggung games , niki 's asiki genah idup / genah idup untuk kapatuhan officers .",positive
52,"Witness the ngelah prasangka miwah maubah-ubah ngelakuin of the pulisi , keliunan mikir masi akéh , taking the tenants ' statements joh masi serius pesan , masi the tegang atmosphere .",negative
57,"A kamungkinané pisual dampak , ring betén the layar of asiki cabang nika kamungkinané obstructs the pisual pathway , samekelo asiki sési of asiki grup musik nika Tyang 'm kamungkinané lakar affectionately manggil "" ring betén the cabang """,neutral
62,"Do n't kacanduan antuk Facebook , sané teranyar gatra adalah n't nika melah , magerengan ngelawan jaringan addiction olih prompting tamu antuk kamudahan the tamu 's keneh , kacanduan jlema , hehehe .",negative
64,"Ideally , the pamerintah seharusné setop searching untuk subur tanah ring tengah the garasi miwah pertemuan corah panyakit patients sebalikné .",neutral
