id,text,label
0,"Good baisukan . Do n't tinggal saurangan , tugas a tugas ka sasaurang jadi ngitu ikam maulah n't baisi ka hirisan the serep kiju manually lagi .",neutral
1,"Good baisukan . Aku 'm matan BCA Finance , the hadiah di the grapik adalah a kulkas sabanding 200 ribu .",neutral
2,"Culture contrasts sharply lawan the randah upah wan karamahtamahan of Indonesian workers , the tinggi kapadatan of Jakarta 's lalu lintas , wan the stuffy , pre-packaged karamahtamahan of the hutil 's parsiapan",neutral
3,"Aku 'm ahirnya maatur ka tulak ka Bandung , tapi aku parut 's sudah di kasakitan . Brave saurang",negative
5,"Happy lawan the hasil , baracun pakakas maulah n't bakumunikasi well , biar 's maartiakan the aspects positively , garija adalah n't the sabubutingannya wadah ka bakumunikasi",negative
10,"Can ikam manamuakan an pandaptaran ngitu kawa bayar aku di eggs wan smells , sighs , wan sighs ?",neutral
11,"Mom 's mangidam gasan fried baras , ka mandapatakan talalu lambap kumunitas hawa , datang the disa , bakuriak di the uma of a kakanakan balita pintar kumunitas",positive
12,"Aku disimpani sweeping the puhun di bawah , wan the panjahat siapa dimula'i the karusuhan disimpani judging aku ulih stomping di aku pagalangan tangan",negative
13,"Same tuha , sama muyak , sama cara of responding ka the katurunan ngitu kada kawa marasap apa haja galumbang di barataan . Prevent the basasarik di aku , tulung .",negative
17,"Very himung wan bagus , the wahini kualipikasi adalah liwar ngalih , the tabung kursi adalah liwar kanyamanan , wan the kain adalah liwar lambut , addtionally the tisu mancilang di the kadap , liwar bagus .",positive
22,"Pretty barat karusakan ka the risturan 's infrastructure , sep . Do n't ganap baisi an alasan",negative
24,"basa Quechua kampanyi , ka maningkat kasadaran , maulah n't janji ka manaikakan kasus spots talunjuk batis ahir-ahir ngini Saptu malam , maningkat batuk cases sudah tinggi",negative
25,"Madu kada ba- panas wan soothing effects , satumat lagi ka satuju the tanda tangan kumuditi ulih the patani",neutral
26,"Aku aku baik of a pambimbing gasan a kula of ampunku , anam puluh percent - owned pruyik . Exactly kayapa ka santai wan kada manyakiti the pruyik",positive
28,"Please , maulah n't suah bawa the istilah ' sama-sama bahujung ' ka dalam ngini cangkurah lamun kada itu ka awak bubuhannya saurang sabalumnya pambanyaknya pasti haja harus jadi the pambanyaknya nyaman gasan bubuhannya",negative
31,"Soldier sudah datang ka barasih the tatanaman sakaligus lawan bakawinan preparations , biasa urang manarik hinak",neutral
34,"Aku 've bajuang malawan the pangaruh of cuka di batianan bubuhan binian , ditulis a buku , wan bahubungan ka ulang tahun sarangan di bis driver .",neutral
36,"President Jokowi fails ka malindungiakan tih lovers , maksud ka maatasi the masaalah ulih confessing ngitu inya himself adalah a tih lover .",neutral
37,"Suspicious pantulan di the liwar halus caramin , tanggung jawab gasan the orderly musik ciri-ciri of the orchestra , wan the cintang - tock of the jam di the gulu",negative
40,"Aku 'm kaciwa lawan the nagara of the trails kaluar of the asli sajarah luang wilayah , parawaan nagara politicians , wan the hiding sajarah of the upacara",negative
44,Do n't ambil the liberty ka surat ratik the internet lawan false kanyataan wan warisan bahan / ambil the liberty ka bakalahi gasan kabibasan / maulah n't baludah di the mata of the urang siapa bajuang gasan itu .,negative
46,"Lol , sapalihan manusia beings adalah jadi irritating , bubuhan maulah n't manyadari bubuhan 're lukisan di sasaurang 's di atas sudah .",negative
52,"Football adalah gila wan irritating , lamun kada urang adalah paraktis wan pintar , di sana 's no cara ka manang . Mediocre hasil-hasil , irritating urang , wan inefficient manajimin , ngitu 's the Indonesian main bal .",negative
55,"Rules maulah n't baanggapan bamacam-macam panuntun , habis barataan . That 's kanapa Aku bowed sakitar habis the parpisahan upacara .",negative
57,"Fabulous bidang of malihat , sudah tahu parsis apa Aku tadi looking gasan . Perfectly stacking prupirti di a tabing biding , lawan a kandal bidang of bamboo .",positive
60,"Initially , Aku maulah a garasi sistim ka mandangani aku pacar di kadukturan barang , jarak jauh kuntrul di tingkat kadukturan",neutral
61,"Aku 'm manyupani ka ucap ngitu Aku 'm a halus saikit taubsisi lawan the Bag End warisan railway , June 2014 , itu 's aku tahunan bajajalanan , kakawalan wan kaluarga , kusung tas",neutral
62,"Harsh kata-kata , pacar ! Do n't pangaruh ampun ikam panyarikan di the miskin urang di the manyimpan",negative
67,"Aku 'm kada takajut di barataan , tim legitimately earned ka jadi didapat ulih a ganal , kuat , wan influential parusahaan . Do n't jadi bingung ulih the ngaran , itu 's baya a ngaran , liwar .",negative
68,"Her riwayat shows inya simpati gasan the victims , inya takjub kamulikan , wan inya warisan siapa inya includes di inya showbiz karir .",neutral
69,"False barita , panting gasan Indonesia 's ikunumi , maambil the rubbery belang sudah , maulah n't mananam mudal di langit banking",negative
70,"Aku 'm manyupani ka ucap ngitu Aku 'm halfway malalui aku kualipikasi wan masih baisi n't kawa sampai aku tujuan - maitihi katarampilan , cinta itu .",negative
73,"Fair adalah adil , kaca panghalang maulah n't baisi apa haja kauntungan labih matan mandatar malambung babulik , kabuliangan sutil remains di urang 's minds , nang utamanya pabila itu 's karas ka jangkau .",negative
75,"Could mangurangi manajimin pagawai wan kunsintrasi di saikit lickable bubuhan pagawai siapa kawa mangurangi pilut kauyuhan , tremendou",negative
77,"God nugaraha aku , kadada lalu kawa mandak aku matan mandapatakan malalui sakulah apalagi biar Aku 've sudah baulihan kadada lalu ka makan , kadada lalu ka puruk , wan kadada lalu ka batampah malalui the sakulah 's makanan bank .",negative
78,"Rational urang maulah n't mambalik di the wayah kaina di sini , mambalik di sini sudah , ikam 'll manyasal itu , marinci a halus labih , tulung , the ari 's nyaman",negative
