id	text	category
4	Wow! How many pounds can a generation of giants generate?	science/technology
8	Wedding parties are one of the few occasions where smoking is allowed, so go to the party before you decide to smoke to avoid being caught.	travel
9	"She recently criticized the ""third world"" for not developing adequate health care systems to cope with the crisis."	health
17	Voting in the presidential election, which was decided by a slim margin, has served as a barometer for political attitudes in the country.	politics
23	Entertainment news website Moonlighting.com reported that the government agency responsible for issuing marriage licenses, the Ministry of Interior, stated that the new law only applied to those getting married on the moonlighting.	politics
26	Travel agents usually offer packages that include breakfast, transportation arrangements to/from the airport or even combined flight and hotel packages.	travel
32	The statue of the doll, which is set to dominate a new park in Delhi, has caused a stir among the locals due to its controversial theme of women’s empowerment.	entertainment
42	Hurricane Fred is the tenth named storm of the 2011 Atlantic Hurricane season and is the strongest storm to hit the northern hemisphere so far this year.	geography
45	The sport is primarily played in a format of two teams, one of which is always on the fly half, trying to pass the ball to the other team's goal.	sports
47	But, a failure to do so would be to struggle against a trend that is already overwhelming: the growing inefficiency and corruption within the bureaucracies of both the Union and the Member States.	politics
48	The other criticism directed at Lamar Odom's behavior is that he spent too much time at a party after the game when he knew he was going to be out with his team.	sports
52	The umbrella sport is a collection of sports where players use umbrellas of various sizes and forms to hit balls.	sports
53	I myself have experienced the tent city, set up in no time at all, before a concert by a very popular band.	entertainment
54	Steak is a common food among many cultures, and it is easily obtainable in many forms, from mutton to sirloin to steak tartar.	science/technology
55	"The sign warns, ""Keep out! This is a dangerous area and you are not allowed to enter."""	travel
60	No matter how polished you think you are, there will always be some aspects of your conversation that will sound foreign to the locals.	travel
63	Bullying is when one person (the bully) forces another person to do their own bidding, by using force, power, or fear.	science/technology
70	Despite what you may have heard, there is no evidence that consuming dairy products will make you more likely to get a calcium deficiency.	health
81	Warnings have been issued that thunderstorms could cause flooding, misery and possibly destruction in the Mideast.	geography
85	Most computers in use today are based on the manipulation of information which is coded in the form of binary numbers.	science/technology
88	The result was the dress code - now a worldwide phenomenon - that added to the snobbishness of the Parisian couture.	entertainment
