id	text	category
0	Tigrinya is a language closely related to Tigre, a language which, along with Amharic, is one of the two most commonly used in Ethiopia.	science/technology
7	Madagascar is by far the biggest, and a continent on its own when it comes to wildlife.	geography
8	"He drew a comparison between the government and a ""band of brothers"" that the public should not expect to ""endure forever."""	politics
11	Posters of characters from favourite cartoons must be a common sight in every office.	entertainment
15	The event is organized in a city as the main venue of the sport. Here the teams compete for the cup in a series of matches.	sports
16	The coach of a team in a sport such as rugby union can convince the administration of the need for safety equipment to protect players from being injured.	sports
18	Devil's Snare is a mountain of volcanic origin in the midst of a grassy plateau.	geography
25	I'm not sure if you realize it or not, but most of the time the people in the music videos are just props.	entertainment
28	In the case of the former, one must wait until the quantity of fish in the lake or river has decreased sufficiently to allow for one to fish without danger.	science/technology
32	But for those willing to sacrifice comfort, time and predictability to push expenses down close to zero, see minimum budget travel.	travel
34	Dr. Sezen Aksu, a Turkish diva, and the world's most famous Turkish choir, the Sezen Aksu, set a world record with their performance.	entertainment
35	Fourteen of the patients were young adults under the age of 40, four of whom died.	health
38	The necklace can be worn around the neck, or it can be wrapped around the arm (just like the bracelet).	science/technology
39	"The poster promotes the school's slogan ""Let your imagination be your guide"", and invites the audience to ""create their own foggy mind""."	entertainment
42	India has since then proceeded to extend the deadline several times, the latest being in March this year.	politics
48	"She did not mean to be a famous dish ""but"" dumplings became famous after her."	entertainment
49	He did, however, confirm that riot police had used pepper spray to break up the protest, which was billed as the largest demonstration yet against the government.	politics
50	She also said the teacher, who is nearly 50 years old, was the aggressor and not the student.	politics
52	Photojournalist Steve Wolf reported from the scene that the main runway at La Guardia Airport was closed due to a plane crash.	politics
54	The fan folly is a fast growing grassland plant, which grows to a height of 1.5 m (5 ft) with a spread of 1 m (3 ft).	geography
65	The famine, which was also the worst ever, reflect the fact that the agricultural system was unable to provide enough food for a growing population.	politics
70	Think of the music player as the computer, the song is always on the disc.	science/technology
78	Travel writing may provide a means to fund travel, a passion of many writers.	travel
89	Wow! was the expression on many faces as the parcel, containing the first batch of new stamps, was unwrapped.	travel
93	"However, the manager of the ski resort, Christian Schmid, says: ""They [skiers] are all in good condition and I don't think any of them will be disappointed to have missed the run."""	sports
101	The project is aimed at explaining two major geological events that shaped the surface of the Earth: the formation of the continents and the frequent geologic activity that led to the formation of mountains and valleys.	geography
104	However, this shouldn't really be off your concern, because often there will be an abundance of pardoning reading available for free at the gate.	travel
107	Squash, a sport in which players use a racket to hit balls into holes, has gained popularity in the United States and in many other countries.	sports
108	This is becoming more and more like a catch-22. To appease the greenpeace activists, the company must now decide whether to go ahead and build the mine or apologize.	politics
112	Someone may fall asleep during the film, so be sure to tell someone where you are going and what you're going to do.	entertainment
115	Casey's LoyaltyPoints: $600,000 reward for information leading to the arrest and conviction of the culprit(s) in the shooting of three people and wounding nine others.	politics
116	Danger: This is a dangerous place to swim, especially after a storm, because the water can become very rough.	travel
