id	text	category
7	Vaccinations are the most valuable tool we have in preventing disease.	health
9	Fortunately, there is a simple solution to this problem - just ask for a refund and switch airlines.	science/technology
10	Last month, the government announced a plan to vaccinate all 150 million people in the country by the end of February.	health
15	But it is the resident alien, not the tourist, who contributes most to the local economy.	travel
19	Between the two points, traffic must shift onto the new bridge, which will be fully operational on Prospect Heights.	travel
27	"He said the trial showed nothing wrong with the way the election was handled, and he blamed the media for creating a ""rumor mill""."	politics
32	Despite his struggles he was able to score 36 points or more in five matches and his highest score was 51 points in the victory.	sports
36	After the storm, a reconnaissance flight was made; it found the debris field was at least 60 by 80 metres (200 by 300 feet) in size and was cutting off a possible rescue route.	geography
43	Successful arguments can persuade people to agree to things they did not want to agree to before.	politics
47	The woman, who is thirty-six years old, was pronounced dead on the scene. The man was arrested and is facing charges of murder.	health
52	However, there is a controversy over whether this tax is essential to pay for the maintenance of roads that many critics argue are overly expensive to maintain and cause more traffic.	travel
57	The funeral is expected to be a small one called only for close relatives.	health
60	Friday's event was the first of four races on the calendar for the A1GP series, with cars powered by electric motors and running on wood.	sports
61	The nest is made from plant materials, such as grass and leaves, but also feathers and hair.	science/technology
63	Few things annoy or frustrate people more than being ignored when they need help.	health
74	The starving artist must content himself with what is left after the poor people have been served.	entertainment
75	The main use of a drone is to take photos or videos that are not allowed by the local laws.	science/technology
80	"With his hand on his heart, he said, ""I am not guilty."""	health
83	Whatever the final decision, it will have been decided by Tuesday night, when the vote of the Republican Party presidential candidate will be held.	politics
90	Staying in a hostel means sleeping in a shared room with other people.	travel
92	However, he cautioned that forward planning must not take a back seat to complying with the requirements of the current situation.	politics
96	Imagine if all the army men in a country were to suddenly start growing legs. It would be a very odd-looking army, wouldn't it?	travel
104	Sixteen-year-old Saeed Shakeel was one of the victims. The police said he was the driver of the truck that crashed into the protest.	politics
106	International sport may return in August if the coronavirus infection rates decline.	sports
107	Yesterday, Apple announced its new iPhones at its world-renowned Apple Event.	science/technology
120	The river is safe to swim in, but the swift currents near the bottom make it dangerous to try to swim upstream.	geography
126	The nineteenth century saw a rise in the specialism of botany, with men such as Charles Darwin studying plant evolution.	science/technology
137	For the cleverest of them all, travel is just a way of passing the time, a skill set that allows them to work, play, eat and sleep in any box.	travel
140	In general, a foreign exchange broker is a stakeholder who charges a fee for handling the exchange of one currency for another.	science/technology
141	In spite of its name, the dainty snowflake is not the only thing that makes up the snow.	geography
154	As the storm clouds rolled in from the west, many people on board assumed it was going to be a normal summer storm.	geography
159	Traveling can be a wonderful way to see the world, but it is also a great way to put a person back in touch with themselves, to reset and to recharge.	travel
160	The cloud might be an indicator that weather-related disasters such as floods, landslides, and storm surges are likely to occur in a given area.	geography
161	Scientists have been able to conclude that the moon's surface is geologically active and that many of the moon's features are the result of recent geologic activity.	geography
164	This is when you need to get advice from a travel agent, to customize a trip to meet your particular interests, time frame, and budget.	travel
195	In a quiet location without much traffic, you will find it easy to sleep well after a long drive.	travel
196	The advertisement states that A.A.B.S. means that the baby's brain can tell whether a sound is louder or softer, older babies can use this to tell whether to push, pull, or swing to get at things.	science/technology
201	Aymara is the official language of Bolivia, but Spanish is also widely used.	politics
204	The player who takes the fewest strokes, or swings of the club, to complete the course wins.	sports
209	Donkeys are still used in some rural areas of the world, particularly in Asia, to transport goods such as food, fuel, and wood.	science/technology
214	In other cases, only those who sleep in a tent on the ground are required to register. However, this makes the law much more obscure, so find out beforehand.	travel
215	"What is known as ""mountain sickness"" can be a dangerous illusion of being sick, which can lead to a person staying in bed and not getting the proper rest."	health
221	There is no health risk in all but the most ardent of smokers, as the pollution is confined to the ground level of the building.	health
223	The result was a storage device called a disket, which was a thin disk wrapped around a shaft.	science/technology
225	A former government minister, Sibusiso Masingale, has been arrested and charged with corruption and abuse of office.	politics
229	Never forget that your primary concern is safety, and you should always obey the rules of the road, but especially so when traveling with a baby in a car seat.	travel
233	Any shift towards a more sustainable travel mode is bound to shift the balance in favour of nature.	travel
236	This is when two or more substances are combined to form one new substance. The new substance may have different properties from the original substances.	science/technology
239	Fortunately, composition is not that important in photography, and you can often get by with a less than perfect focus.	entertainment
245	A computer program that can generate text in this style was recently developed, it can even generate random nonsense text.	science/technology
247	Hopefully, the doctor will give you a prescription for an over-the-counter medication to relieve the pain.	health
256	Duvall (who is married to the Duvall family's national hockey team co-captain, Rachel Stahl) asked for the wedding to be held in a neutral location so that he and his fiancee, who are both from the U.S., could marry.	sports
264	He was asked if he thought the government had the power to ask the court to declare a state of emergency to allow them to runaway tax increases.	politics
265	Properly balancing a blade requires both a critical mass of water under the blade and a reckless, free-spirited edge.	science/technology
269	The computer program then suggests possible mutations that may have gone undetected in the experimental data.	science/technology
275	However, you should always remember that you are essentially visiting a mass grave site, so take comfort in the knowledge that there is little chance of offending anyone by not paying respect.	travel
276	The warrior spirit: Show no hesitation in pushing aside the old ways of doing things.	science/technology
277	Then, later on in the day, there was a processional and scattering of the Iron Man costume, causing a scattering of confetti.	entertainment
280	Voting takes place across the country from 15 May to 15 June.	politics
285	The event is being hosted in conjunction with the city’s celebration of FilmFest, which lies in its second phase.	entertainment
286	A sport in which the player uses a stick to hit balls into holes is called golf.	sports
290	Thirty-three-year-old Mostafa Mohamed was the only suspect in the attack, who was charged with murder and attempted murder.	politics
298	"Yes, it is the ""poetic"" half of a ""divine"" couple: Apollo (the god of light) and Artemis (the goddess of nature)."	science/technology
306	Then there was the time he was in prison for not paying back a debt. He says he was groomed for the job by a prison guard, who taught him how to shave with a banana, cut the hair off a roll of toilet paper, and use a pencil as a razor.	health
307	BACKPACKERS: It is common for both beginners and experts to tend to overpack in their attempts to bring enough goods for a longer trip.	travel
310	Eating food while travelling can be the best way to get through a country without breaking the budget.	travel
331	"He was fired from the show after he was caught on camera saying ""evidence"" (sic) ""points to"" that the murderers were ""expecting"" 2 people killed in the attack."	politics
333	In the winter, enjoy some of the best skiing in the region, and in the summer try some authentic mountain biking.	sports
335	A viral marketing campaign is one in which the target audience is persuaded, by way of advertising, to want and use a particular product or service.	science/technology
339	Perhaps the most enduring legacy of the Apollo program was the foundation for the modern space race, with the busiest space shuttle, the Space Race, kicking off in 1965.	science/technology
343	The attraction's popularity led to the creation of the cork with which to fill the cave, which was discovered in July this year.	travel
344	South Africa's National Party (NP) has governed the country since the 1994 democratic election.	politics
349	Drinking alcoholic beverages in moderation is a tradition across many cultures. However, drunkenness impairs judgement, and all good sportsmen and women avoid it.	sports
350	Fourteen students were hospitalized, including the student who suffered the most serious injuries to the head.	health
351	"Regarding the rapid decline in trust, Mr. Ziegler (a staunch critic of ACTA) said: ""now is not the time to renegotiate""."	politics
356	Finally, a weak government is just another opportunity for the weakest link in the chain, the opportunistic freak out, to grind even further down the already shaky democracies.	politics
374	Turtles do not fly but can swim, walk or climb.	travel
385	The intention is to provide a means by which a singularly-presented idea can be understood across a range of ages and stages of development.	science/technology
388	A thin layer of ice covers the bottom of the hole. Some of the ice melts during the night, so the stream goes down a little hole.	geography
