id	text	category
7	Today 's discovery hã grants mí a sᴐgbᴐ nyo wu understanding of the formation of the yame .	science/technology
10	The nuwɔƒe of the nudzᴐdzᴐ , nu ka nye scheduled yi le esi tsɔ teƒe tso December中 至 Dzove , le esi nye amended kple lɔlɔ̃nu fifia enye woɖee eme eve phases , tso 17 yi 20 March kple tso 24 yi 27 March 2021 .	sports
21	The dziɖuɖu of Oromo National Organisation ( ONO ) says e le esi xᴐ complaints tso ɖe of the affected areas nu ma the election nuʋuʋu ( EC ) le esi dze egɔme yi distribute election bills , manᴐmee do ŋgɔ kaklãnana , eme ɖe areas .	politics
25	Most tsi parks na ɖe nᴐnᴐme of tsiƒuƒu tsi xaxa , zi geɖe a lolo ɖeka eme the gbadzaƒe itself nu ma enye ʋu yi the amedome .	entertainment
31	Protesters le esi ɣeaɖewoɣi clashed kple kpovitɔ , ame ka le esi si wozã aɖatsi gas yi dze agbagba yi disperse the ameha .	politics
37	However , the discovery of a yɛye agado mɔnu wo dome the rocks o si gbᴐ didi tso the dugã , makes mí xᴐe se nu ma akpedada ate ŋu o enye the ko emotion nu ma drives the ame dzimedidi yi tsa le eme the si womenya o .	travel
38	A si ɖu wo kata dzi ( alo alpha ) atsu dzata attempts yi monopolize the females eli , eyata abe yi kpᴐ egbᴐ be eƒe offspring 's nyuietᴐ aklama of survival .	science/technology
39	However , afi ma enye kokooko sᴐgbᴐ yi srɔ̃ nu ku ɖe the nuto 's formation . One biabia unanswered enye alekee the nuto enye formed do ŋgɔ the vidzĩ enye wo dzi .	science/technology
43	"He enye si wonya yi le esi gblᴐ nu ma e nye "" ŋtᴐ sᴐgbᴐ "" le edim eme becoming the Republican Party candidate yi ʋli ho President Obama eme 2016 ."	politics
50	"18 - ƒe - tsitsi Prince Harry gblᴐ "" fifia nu ma Nye le esi the mᴐɖeɖe of nye dzilawo , Nye didi yi announce nu ma Nye lɔlɔ̃nu enye leaving the Navy ( Royal Navy ) yi tsi eyome nye studies le Oxford University . """	politics
53	Perhaps the kekiake nu bɔbɔ nᴐnᴐme of tourism enye nu ka kekiake amewo wɔ ɖeka kple traveling : visiting yɛye teƒewo yi kpɔ nu ka wo le esi yi na .	travel
61	The hã 's viɖe grew strongly , akpe yi sales of drugs yi wɔ nu ɖe dɔlélewo nu ma enye becoming gawu nu bɔbɔ , abe abe suklidɔ kple hypertension .	health
65	Garlic le esi nye si wozã abe a atike for a didi ɣeyiɣi . Its dɔyɔyɔ nunɔamesiwo wᴐ e a nyanyɛ ingredient eme geɖewo medicines kple lãmesẽ drinks .	health
68	Born eme 1980 , Sukumar le esi nye le eme eme politics esi wònye e nye nye ɖevi kple le esi contested duametɔ elections kple the Indian General Elections .	politics
83	Dr. Kousmine states nu ma nuɖuɖu ɖoɖo pills nu ma xɔ yi ɖe edzi nudzroame eme lolo amounts ate ŋu enye dziŋᴐ .	health
85	Some experts enye tsᴐ ɖe le eme ku ɖe a evelia ƒutsotsoe of infections , nu ka ɖe governments enye mele lɔlɔm o yi ɖe asi le eŋu si li yi the madzedzi yi vaccinate lolo parts of the amehawo .	health
91	"It enye alleged nu ma e gblɔ the te ɖe anyi , "" They [ doping agents ] enye di si wole dzadzram sponsors for the athletes ."	sports
92	The Orange Revolution , alo Revolution of the Orange , nye the ŋkɔ na yi the siwo kplɔ wo nɔewo ɖo of protests nu ma dze egɔme edzi 17 November 2011 eme the Libyan dugã of Benghazi .	politics
94	Popular sports : Soccer enye a sport nu ma enye played worldwide , kple e enye the kekiake nyanyɛ sport eme geɖe countries .	sports
97	Fortunately , drivers tea ŋu yi wɔ nyuie wo dome a reasonably to mɔ ɖeka dzi kekeme ; eya ta , trafik streams tea ŋu yi le esi ɖe le susu nu mɔ ɖeka toto kple ate ŋu enye lɔƒo represented mathematically .	travel
105	The metsonu enye a ƒuƒoƒo of plumes kple vortices of ya , yᴐ a tornado , nu ka no eme the nu siwo ƒo xlã ya .	geography
107	The febubu yi the gɔmedzeƒe gbedeasi ha enye ŋtᴐ bᴐbᴐ , eyata afi ma enye no susu o yi zã a kaƒomɔ agbalẽ yi di a xexlẽdzesi wò di yi yᴐ .	science/technology
114	"A do ƒome gake gawu si be nya si wozã eme geography enye the "" landing zone "" , nu ka enye the teƒe le wo dome a ƒuta afi ka amewo anyigbã ɣe ka ɣi wo yi boating , le tsidzi zɔm , alo ne menye nenem o la nɔ tsi dzi anyi a tɔsisi ."	geography
115	The si li fia kasa of cloning , gake la , enye believed yi le esi dzo gbɔ eŋu the aƒetɔ ɖimekeke of frogspawn .	science/technology
117	USA Gymnastics supports the United States Olympic Committee 's lɛta kple accepts the dɔdeasi yi do ɖe ŋgɔ a le dedie xexeãme for katã of míaƒe athletes .	sports
121	"She gblᴐ the dziɖuɖu nye "" fifia checking "" yi kpɔ nenye be afi ma nye a le senu basis for extending the nuwuwu game , nu ka nye ɖoe yi expire edzi blãɖa ."	politics
122	"He ɣe ma ɣi quoted Mr. Snyder abe saying , "" He 's ( the mayor ) ko di mí - e wᴐa n't se egᴐme alekee le veviẽ voting enye . He thinks e 's a hoʋiʋli . """	politics
124	They kpɔ mɔ yi di woawo ŋutɔ eme a atɔ , nu ka ate ŋu enye eya loo a gɔmedzeƒe alo a secernment atɔ , depending edzi the lolome of the ha .	science/technology
131	Quechua enye the everyday gbegbᴐgblᴐ of the si keke akpa gãtɔ of amewo ame ka nɔ agbe eme the highlands , gake e enye hã si wozã abe a gᴐme nye of nyatakaka kple the descendants of the Spaniagbe colonisers .	geography
132	The age of dɔyɔyɔ dzᴐdzᴐme ŋuti nusᴐsrɔ̃ enye yi wɔ dɔyɔyɔ dᴐyᴐyᴐ abe woaka ɖe edzi kple si me susule abe ate ŋu adzᴐ .	health
142	"The ad says nu ma the "" gbã kpeɖeŋu "" for the "" wounds "" of the dzi enye yi "" lɔ̃ "" ame aɖe bubu ."	health
143	At the takpekpegã , wò 'll di wò ŋutɔ faced kple a tiatia : Decide yi ɖe asi le eŋu the alakpa mɔkpɔkpɔ kple yi edzi anyi the ema ke tsitsi afᴐmᴐ , alo mo the yɛye ʋli ho kple dze agbagba a to vovo afᴐmᴐ .	travel
144	Thanks yi the si dzɔna ɖa si of trafik yi kple tso the dugã , wò ate ŋu ɣe sia ɣi xlẽ edzi finding a enyo xexlẽdzesi of shops selling katã kinds of nudzadzrawo kple services .	travel
147	Aymara enye the dɔwɔla gbegbᴐgblᴐ of Bolivia kple the evelia kekiake commonly spoken gbegbᴐgblᴐ eme Bolivia .	geography
158	In nu sia kpᴐ , the atom enye eyata incredibly sue nu ma trillions of wo te ŋu sᴐ ɖe eme the ɣeyiɣi le the nuwuwu of nu sia nyagbe .	science/technology
159	The esi dze ŋgᴐ of nu sia enye hã nyateƒe : nenye be wò wɔ n't se le lame di le nu ɖum a ma nuɖuɖu elabena e wᴐa n't ɖᴐe kpᴐ enyo yi wò , wɔ n't ɖu e ko elabena enye edzi the menu .	science/technology
167	However , afi ma enye ɖeka nuto ku nu ma enye o for the yi ɖi me of dzi : the Minitube , a 1.2 - mile ( 1.9 km ) nuto ku nu ma takes visitors to eme a tɔnye .	travel
175	Born edzi August 6 , 1981 , Scherzinger enye the younger of the eve sisters yi lee a dzi - ewo UK ɖeka .	entertainment
177	"He joked nu ma Google te ŋu ɖeka ŋkeke enye yᴐ "" Turkey 's kekiake nyanyɛ di mɔ "" , referring yi Google 's si gbɔ medidi o nu ƒeƒle of the zɔ̃ mᴐ di hã Turo ."	travel
190	Dreams hã dzᴐ le esime dᴐ alɔ̃ kple ate ŋu enye the susu nu ka ta mí le esi the seselelãme nu ma ame aɖe enye watching mí ɣe ka ɣi eme nu si le eteƒe afi ma enye no ɖeka .	science/technology
194	Cala Llonga enye a sue ƒuta kple a pebble ƒuta kple a ʋee shops selling nuɖuɖu kple drinks . Swimming enye le dedie .	travel
198	However , the dɔ sector kokooko accounts for a lolo akpa of the ga ŋuti nya , kple tourism ɖeka of the ŋutᴐ industries .	travel
200	Grieving ƒome members ate ŋu tia yi bubu the si ku by le esi a memorial dɔ kple , nenye be desired , a tsyɔ̃ .	travel
209	"More medidi o , afi ma le esi nye a le tsi dzi eme tourism ɖo ta "" lãmesẽ "" kple "" wellness "" ."	travel
213	Koryoids wonye the gbã dynasty yi bui ŋusẽ to eme a ruthless political mɔnu nu ma guaranteed eƒe members of dze mo anyi , nenye be limited , positions .	politics
217	He nye dzi gbã nu ma mɔɖaŋu te ŋu o enye tsi ɖe edzi faster yi kpekpeɖeŋu the victims of the tsunami .	science/technology
218	Next , a ŋudzedzekpɔkpɔ ɖimekeke for the nyɔnuwo ’s standing nusrɔ̃ƒe tsᴐ teƒe . With the boats yᴐ , e nye o va se ɖe the final he eme nu ma the competitors managed yi kpᴐ ŋudzedze a ŋudzedzekpɔkpɔ rank .	sports
221	The mɔ , nu ka nye kpᴐe yi enye holding the illegally lé kpɔ lame ha , enye the ema ke nuwɔƒe nu ma lé ɖe asi the pigs nu ma wonye lé do afɔkpawo eme a si gbɔ medidi o scandal .	health
225	Usain Bolt , the fastest ŋutsu edzi the planet , ƒu du the 100 m kple 200 m freestyle events eme do le eme wu ɖeka aɖabaƒoƒo , le the xexeame championships edzi Kuɖa .	sports
229	The dumevi 's nuʋuʋu , a panel of 15 members appointed by the dziɖuɖu , le esi nye evaluating the proposals kple lɔlɔ̃nu fifia eƒe recommendations eme February .	politics
