id	text	category
0	It's not easy to adjust to, but with a little practice you can manage to balance quite well on the screwdriver, just don't forget to let go of the screw!	politics
1	But the discovery of new ore bodies makes it possible that the mine will be exploited further.	science/technology
2	Attendance at the festival is expected to exceed 1.2 million people, to attend various events being held across the state.	health
3	Bhojpuri is the second most commonly spoken language in Bihar and Jharkhand states, and is the third most commonly spoken language in Chhattisgarh state.	entertainment
4	Mizo people (also called Rakhines) are the largest group of ethnic minorities in Myanmar (formerly called Burma).	travel
5	Few things are more frustrating for a speaker than to see someone else preserve a word when they want to say it, or to see someone use an acronym when they mean its full form.	health
6	The school is unable to confirm whether a Beast bus was involved in the incident, but said the current investigation is focused on determining if there was criminal activity.	science/technology
7	Don't rely on air conditioning to keep you warm if you're going to be out in the sun for a prolonged period of time.	health
8	"He did not specify which measures he was talking about, but he did say that the government was taking steps to ""aggressively"" implement policies next year to increase the number of available housing units."	politics
9	In fact, there is not much individuality in the way that most people walk. Most people walk with their legs, either straight or bent at a 90° angle.	entertainment
10	Learning to ride a bike is a very useful trick for children to learn, as it teaches them about balance and control.	entertainment
11	They claim responsibility for a number of attacks in which the target has been the government, or officials of the government, trying to weaken the government.	health
12	There is, however, one caveat: the smaller the town, the less likely it is to be recognized on the map.	geography
13	Singer-songwriter Sting delivered the opening speech at the ceremony hosted by the foundation's mathematician and science philanthropist David M. Barenboim.	politics
14	Vautier's achievements outside of directing include a hunger strike in 1973 against what he viewed as political censorship.	travel
15	The composition of the shot glass matters, as does the management of expectations.	geography
16	Each episode of the show would focus on a theme in a specific book of the Bible and then explore that theme through multiple stories.	health
17	"Cunningly, the advertisement claims to ""change the way you think about hair"", by implying that the hair product changes the hair of the woman in the ad."	entertainment
18	Every decade or so, a cruise ship hits something in the ocean and breaks, and not a single person on board was killed.	politics
19	His father was a powerful politician who often used his position to benefit the company. He taught Cernuschi how to handle himself in the business world when he was young.	science/technology
20	Demonstreurs are often hired to perform elaborate feats of magic and other tricks to amuse the audience.	geography
21	However, the discovery of a potato crop not only helped the Arawakan people to identify the island as a place to call home, but also provided the raw materials to start a new phase in their evolution.	science/technology
22	A more sophisticated version of this experiment involves making a rod of cucumber, or other object, which when put in a bowl of jelly, makes a hole in the top.	science/technology
23	The response to the demand for soft drinks with a reduced caloric content, such as those with a low-fat content, was extremely positive and encouraged the company to expand its product line.	health
24	Google's parent company, Alphabet, reported Tuesday that it had slowed the rollout of Google Glass, the company's high-tech eyewear, due to safety concerns.	science/technology
25	Missions to the country serve to observe the elections, which are considered to be one of the most transparent in the region.	health
26	The paper concludes with two hypotheses about the origin of tissue: one about the evolution of a stem cell niche, and one about the emergence of signalling molecules.	science/technology
27	Stamp collectors enjoy collecting stamps with special meanings, or philatelists, for philatelic purposes.	geography
28	The district court has jurisdiction over cases involving contracts entered into before the district was created, but not cases involving contracts entered into after November 4, 2003, when the scope of the district was changed.	health
29	The temple does not often organise tours, but if they do, then they usually record.	sports
30	The white spot or ring on a giraffe's orca (outer) skin is due to the presence of silver, which gives the skin a brightly colored appearance.	science/technology
31	Another argument for the use of wine is that it makes for better wine. The more air a wine is exposed to, the better it gets.	travel
32	Every year, hundreds of visitors are injured because they didn't keep a proper distance from the flaming logs.	entertainment
33	Contact lenses that are not properly cleaned can cause serious eye problems, including blindness.	geography
34	The doctor, who is handsome and popular, falls for the nurse, who is unfaithful to her boss.	politics
35	Her warmth and candor gained her friends among the women of the village, who stopped to help her with her work, to share their food, and to listen to the stories of their lives.	travel
36	The study found that three brain chemicals changed in amount when people solved problems that required mental effort.	health
37	Bambara is a agglutinative language, meaning that new words are created by combining existing ones.	science/technology
38	Finally, the spoon-like structure of the feathers makes them ideal for flying, with the feathers on the back being shorter.	geography
39	However, there is concern that this newfound freedom might lead to a further increase in the use of drugs to save time, which could put many lives at risk.	health
40	"Singer-songwriter Rihanna was criticized after she was photographed at a party last month wearing a shirt that had the slogan ""love is"" written on it."	entertainment
41	Sentences like this one are examples of synonymy, where different words are used to describe the same concept.	politics
42	The ship was en route to inspect the Habitat II shipwreck, a slated monument to the world's lost fisheries.	geography
43	Mutual fund is a collective term for a group of investors who pool their money together to buy securities.	geography
44	A shy person may feel that it is not appropriate to make a presentation, or to express their feelings in writing, or to use any form of direct communication.	sports
45	Most passports will generally allow you to enter and exit South Africa, and across most borders, as long as you stay in the allowed area.	travel
46	The temple is one of the most important sites to see in Nepal. It is the largest temple in the country and is considered the home of the deity.	geography
47	The impressive feat of engineering behind the Mach 3 speedboat is worth seeing for itself.	science/technology
48	The slave trade, which was a desperate way for the rich to fill their cupboards, coincided with a music genre that was becoming popular throughout Europe: the concerti grossi.	health
49	Lucky you! Enter the dress circle, and you will immediately be blessed with a forceful push from all the people around you.	entertainment
50	However, if you do not want to miss out on any space or want to guarantee a particular cabin, you should book it well in advance.	health
51	Congratulations are in order for the pair who submitted the lowest score, seventeen points.	geography
52	The architect's response to the challenge was to create a building that would stretch the limits of what was possible in terms of mass production of buildings.	politics
53	Coughing up blood. The tiger is the only wild cat that can cause bleeding from a wound, but it won't render a victim safe unless it can also render him or her unconscious.	sports
54	Unfortunately, it is not uncommon for cars to be stolen, and cars without insurance can be sold or smashed to pieces.	politics
55	However, this shouldn't really be off your concern, because often you can find a lot of people in the privilege coach seats without too much trouble.	geography
56	Basil is the national flower of Malta, and there is a national flower festival to remember its importance.	entertainment
57	However, he does give a different explanation for the origin of the dream logic, stating that it is due to the human desire to give meaning to the complex range of events that take place in our daily lives.	science/technology
58	The weapon was fired from the hand of a sniper, who is better suited to navigate in the dark with a high degree of accuracy.	health
59	However, the clown, who was wearing a mask, suddenly attacked one of the police officers and scratched his face with the officer's badge.	politics
60	The singer/songwriter's stunt caused a commotion at the concert, forcing the organizers to call off the performance.	sports
61	Purple flags are a warning sign that there is a need for extra vigilance due to potential danger to life.	science/technology
62	Quechua is the most commonly spoken language in the Andes, and is the language of everyday life for most of the Spaniards who settled in the South American country.	travel
63	Soil health is a complex issue that encompasses a wide range of factors, including organic matter, stable soil particles, adequate water, and healthy plant life.	science/technology
64	He spent 19 months researching and writing this book, and he has a private studio in New York City where he teaches sculpture.	entertainment
65	The hotel management company is responsible for convincing the hotel owners that it is in the interests of both parties to allow the cages to remain, even though there is evidence that holding cages such as these for so long without a chance to move around so that the birds can become stressed is unethical.	travel
66	Fortunately, drivers tend to behave within a reasonably consistent range; thus, traffic streams tend to have some reasonable consistency and can be roughly represented mathematically.	travel
67	Hershey and Chase (1963) determined the DNA to be a genetic material.	entertainment
68	The colourful lights of the buildings around the market will make you appreciate it more if you are feeling sad because it will remind you of the colourful market in India.	sports
69	There will, therefore, be a need for a draft convention to govern the relations between the two sets of actors once the negotiation of the treaty is completed.	geography
70	Roughly three million tourists visit the city every year, making it the third most popular tourist destination in India.	geography
71	Shame can be a major factor in why people engage in behaviors that put them at risk for illness or injury.	health
72	But, if you're not able to get away from the rat race, at least try to melt the stress with a visit to one of the many spa resorts in the region.	geography
73	Mention of the pineapple on the menu should serve to remind those who are afraid of fruit that most varieties are very safe to eat.	geography
74	The streak is the fifth book in the Sea, Sky and Steam series and follows the adventures of Captain Steam, a steamer.	entertainment
75	Aymara is the official language of Bolivia, but Spanish is also widely used.	sports
76	Hence the comforting (if unfounded) belief that one can exchange one’s leisure for money to fund one’s desires.	politics
77	Fortunately, there are many handsome men and women available, so the chances are that you will find someone who is willing and able to satisfy your ambitions and desires.	sports
78	India is expected to invest heavily in the rail network in the background of the increased popularity of train travel among the masses.	politics
79	Don't hesitate to use your voice to stand up for yourself.	health
80	Stock market quotes are displayed at the end of each trading day, and the prices from the previous day are used to justify the quotes for the next day.	sports
81	Cycling is a summer sport where people cycle on roads or other designated paths.	sports
82	Rowing is a sport in which two or more people use a boat to move forward while pulling on ropes.	entertainment
83	The band canceled the show at the rock venue, which is normally packed with fans, after the host organization, ROCK THE BALLOT, received complaints about the venue not being safe.	travel
84	Alright, so maybe not the nicest observation ever, but it seems to me that the rubber band slips off the telescope because it is not tight enough.	science/technology
85	But in the prison camp, where there was no true civil order, different groups fought for control of the prison's vast resources, and smuggling continued unabated.	health
86	If you're feeling more adventurous, take a chance to visit a waterfall. It's a great opportunity to get out of the boat, and many waterfalls have a dedicated area for swimming.	politics
