id,text,label
1,Do n't ganap dignify awak saurang lawan watching ngini palsu piksi / ungsut the mambagiakan of randah - kualitas piksi / maulah n't apalagi patut the ngaran of a caur burung hantu,negative
10,"It 's sakahandak gasan the saksi ka padah the nang bujur , tapi itu 's rancak dirikumindasiakan ka manyalidiki samunyaan , nang utamanya lamun di sana 's a kumisi ka bayar .",neutral
15,"Please , mahangkut kayapa ka the mambangkak ikunumi saurang kurban of Darling tanaman saurang juru basa",neutral
17,"Stock putu , baarti ka bayam the interviewer , ditampik ambisius dreams , stacking sapida di the balakang",negative
20,"Please mandangani aku , Madam , biar aku ngaran adalah kada diwajibakan ka manyadiaakan aku kuntak parincian , Aku aku taikat ka manyadiaakan aku email alamat , telephone numur , wan alamat , Madam .",neutral
21,"Shy wan lamah - minded , baya katuju the pahanyarnya numur dua , ya barat subalah glowing habang , manit habis manit , itu 's jadi irritating .",negative
22,"Please , Madam , mambulikakan the wadah mahadangi digampir ka the harta of the nation , the liwar kada baik wadah mahadangi di the dunia , wan the wasi bukti of blessing",neutral
23,Aku 'm himung ngitu aku kawal bagawi maulah n't basabar matan buying kada sah bahan bakar bundles saikit-saikit wan abundantly,negative
28,"Aku maulah n't ambung siapa haja 's pagawai , nang utamanya the higa serving bilungka wan biru kiju . Does n't moisturize aku sapatu di barataan .",negative
32,"Really kahandak ngitu the marakit ritmi liwar diampihi ka jadi balain wan bagus sabubutingannya gasan the kasihatan of the marakit workers , sep .",negative
33,"Tomorrow adalah the 42nd ulang tahun of the massacre di Gombong . Aku 'm sighing heavily , brooding , wan panicking gasan ampat puluh - dua juta urang who'll jadi fed isuk",negative
34,"Google the tiuri of jangkauan of the patakunan , tulung , sir , wan sampai di an bapala kasimpulan . Bye",neutral
35,"False barita , parawat disambat spade , maulah n't baisi apa haja nephews , wan the kisah 's manifestly false , sabanding kadada lalu .",negative
36,"Absolutely kusung buku harian artinya kadada lalu , dusta ka the pambantu artinya pastinya kadada lalu , pastinya kadada lalu , paha sala , oh , wan kusung suara talalu .",negative
37,"Do n't gugur gasan ampun bubuhannya panyayang minijir 's kusung promises . Do n't ratik ampun ikam duit di ampun bubuhannya babaju wadah manyimpan ruangan . Arrow ampun ikam ampun saurang panah , Predict ampun ikam ampun saurang wayah kaina , sep .",negative
38,"Terrible manguap inducing , lambat layanan , wan khas menu . Do n't ganap marasai ka lapang ampun ikam ban atawa sangat kawat biding kasakitan , itu 's parak unbearable .",negative
41,"Boring wan manyupani pertamuan , suwalih ngitu the baik urang asing siapa emphasizes the sistim kasalahan",negative
42,"He 's a jinius tapi kada baubah-ubah adalah lacking , ambisius lawan lagi makan bilah makanan , camuh naik the rumah sakit makanan , talalu .",negative
43,"Aku maulah n't nangkaya nagara musik , wan lain-lain . Likewise , Aku maulah n't nangkaya tatakan ngitu adalah caur wan baisi lots of malapau variations , wan lain-lain .",negative
45,"Do n't suah bungul urang , Manuel , itu 's borderline kada sah , maulah n't ganap mamariksa the kadamaian alam of the protests , itu 's dasar folly ka sampai di the parbatasan di 2018 wan pangaruh main bal ka ampun ikam ampun saurang ends .",negative
46,Do n't manyalahakan basa Sepedi carobo janis gasan badusta di the awan wan ignoring panting events . Distinguish antara badusta wan blaming others .,negative
49,"It 's sapalihan barhasil di February wan March , herdsmen basabar matan killing calves wan cows , wan jangkau the courts ka mancari kaadilan",neutral
50,"Aku 'm manyupani ka babangku malalui ngini mudil manunggui gasan goodbyeTokens , manipulating the urang",negative
54,Everybody 's handak tahu ka tahu apa 's di dalam the rabit uyah daging sapi sandwich .,neutral
56,"Reading the rangkuman saikit ulih saikit , itu 's a saikit pahit wan singgam mambaca gasan aku . Warrior siapa pounds bamacam-macam opponents , refundable ?",negative
58,"Definitely giris gasan aku , bayi panggung cloud头脑 , bayi , wan kupi maulah n't mix .",negative
60,"Avoid mandangarakan ka ngitu incidental musik , itu 's jadi irritating , apalagi habis ikam 've dibayar , di sana 's hingga ngitu kada masuk diakal kawat alat bamusik lagi bamainan relentlessly , itu 's contagiou",negative
62,"Let 's bausaha ka manggabungakan apa haja ngitu kami ciri di kami susunan di September 2018 , manuha wrapped di salju",neutral
65,"Aku 'm manyupani di antara punah politicians , ciri-ciri batianan binian di antara kata ganti wan mantah tujuan analysi",neutral
