id	text	category
0	The thil originally proposed sawmi inneihna tur ni legalised ah phalsak tan chumi adoption tan naupang .	politics
3	Mr. Lodin pawh sawi chumi sipai hmu traces tan marijuana chungah chumi ringhlel , tunge tawh reportedly chhung chumi hma stages tan lachhuak atangin drugs .	health
9	The inhmukhawm tan chumi political parties hi chumi hmasa ber hun atang khan chumi elections sawmi surrounded chumi inremna ah tawp chumi civil indona , khawi nei contentious matches karah chumi rivalry parties .	politics
13	In hengte belh democratic states , chumi mi thlang an leaders chhung periodic elections .	politics
17	She sawi mangtha ah chumi mawl pakua - kum - upa keimah leh sawi mangtha ah chumi nasa realities tan adulthood engtikah ani hrilh keimah Ka tawh lo phal ah kal ah khum hma chuan sawmpahnih .	entertainment
18	Police sawi chumi tuartu , tunge tawh hmu chhung ani rambung hria angin El Goro Desert , tawh dressed chhung chauh underwear leh langchhuak ah nei ni sawtah tan ani tlem days .	health
21	Airlines hria well sawmi sawtah hi ani chiang pawl tan flyers tunge hi duh ah pe chung dollar tan chumi duhsakna tan dawng somewhere chak leh chhung thlamuan , leh anni puh accordingly .	travel
26	Each zing , mi kalkhawm chungah chumi streets tan chumi khawpui ber , Addis Ababa , ah applaud chumi hmasa ber lightly - voiced announcements chungah chumi chanchinthar ' radio .	entertainment
34	Warnings : The ram mawi hi duhawm tak , mahse chumi kawng hi biboh , leh sawtah hi ani mu leh winding kawng sawmi kal nowhere hnai angin hla angin chumi advertised .	travel
41	However , sawtah hi pakhat caveat ah hei hmachhawn : chumi belh specialized chumi lawmman , chumi belh chumi duhdan man chumi pawl ah pechhuak .	science/technology
43	Voting hi loh theih loh chhung Australia . It hi rindan tan zavai Australian adults ah la bung hrang chhung chumi voting indawtdan , ah entir an inpekna ah ani tihdan tan mipui rorelna .	politics
47	Tomorrow 's tarikh nei ni ruahman tan chumi kirlet tan chumi film , khawi hi rindan ah pe audiences ani hmasa ber en hmunah chumi thar Marvel Cinematic Universe ( MCU ) film , Iron Man 3 .	entertainment
60	Rarely ti zin agents hralh zin sawmi kalkawng neglecting pawimawh aspects tan ani traveller 's tawnhriat , duh chaw , lodging , emaw intluk thilthawnna .	travel
61	Under chumi dik dinhmun , anni thei ei engpawh atangin insects ah sangha , intluk mi .	science/technology
66	However , ani nei ani danglam ngaihdan lam chumi chhanna tan chumi vantlang . He thinks sawmi ber mi rinchhan chumi sport chhung tlanglawn leh chumi mamawh ah nei ani dahthat pawl chhung bik .	sports
68	However , ani ti nei ani tlem thumalte tan vaulawkna tan engpawh theihna raptors : The snakes chhung chumi hmun hi lo bothered tu humans chuvangin ti lo bei ah then ani tiang emaw i ban vel .	travel
73	Make ngei ngei nangmah dap chumi lenzawng tehna tan chumi ipte , angin engemawzat ferries ti n't phalsak lian bags .	travel
74	Curiosity hi chumi scientific hunbi tan chumi chak ah hria . The mihring chak ah hria drives keini pahnihin scientifically leh personally .	science/technology
76	The tak - nunna Witch tan chumi West hi ani lasi - tale nunzia tunge hi sawi ah langchhuak hmunah zan chhung ani mal lo emaw deserted thingtlang leh zawt tan chaw , in , emaw ani pindan ah mu .	entertainment
93	Although chumi hi lo ani hlauhawm thilneih tan chumi hungchhung , chumi thei chhan chau chuan handled incorrectly .	health
97	Spectacularly , pawh nise , ani nei no tak rivals zingah chumi Republican Party 's theihna 2016 presidential candidates .	politics
98	Between chumi events , buatsaihna continues ah siam adjustments ah chumi remchanna ah intawk chumi needs tan chumi athletes .	sports
101	The video appears ah ni filmed atangin ani moving motor , angin chumi camera pans paltlang ani inzawmzat tan thildang objects chhung chumi lai hlatzawng .	science/technology
102	This hi engtikah ani parent emaw guardian hnah chumi naupang a malin tan ani sei hunbi tan hun , fo chhung ani vantlang hmun , chutiang angin ani thil lei thilh zawrhna hmunpui .	travel
104	Buses hi tlemzawk bengchheng leh tlemzawk pungkhawm aiin trains , chuvangin anni hi ani tha duhthlanna tan saw'ng saw tunge duh zawk lo ah ni surrounded tu mi .	travel
106	Buying ani pre-paid biakhlatna card chhung ani ramdang ram hi ani tha kawng ah nei vel tellovin nei ah lungngai lam buying khawtual calls .	travel
113	It 's chumi sawisel bo chawlh tan saw'ng saw wanting ah la ani keh atangin chumi buai chawlh sik leh sa hun bi mahse che lo duh ah hmu chumi Christmas lights .	travel
115	Recently , sawtah nei ni ani tam tan buzz lam ani thar lampang tan sumdawnna entawn tlak sawmi uses chumi sharing sum leh pai lam .	science/technology
117	The puiber chhan mi kal ah chumi tuipui kam , hi ah chawl leh hmang nuam chumi ram mawi .	travel
118	"His disciplined defence , thilmum handling themthiamna leh thiltithei kap siam ani ani duhzawng tak nen chumi vantlang , leh ani tawh fo referred ah angin chumi "" Giant "" ."	sports
120	However , tunlaiah sawtah hi belh leh belh restaurants sawmi thilhlan vegetarian options , ranging atangin fully - vegetarian restaurants ah saw'ng saw sawmi thilhlan chauh ani tlem thlang sa bungbel .	travel
123	Eventually , chumi hmaikawr duhdan ni destroyed engtikah tilangchhuak ah chumi sa filmstrip , mahse hmaah tichuan , chumi looks duh ani pea-sized thil floating chhung awl .	science/technology
124	India claims sawmi chumi bang hi needed ah safeguard chumi borders atangin infiltration tu terrorists tunge straddle chumi ramri atangin Nepal .	politics
126	In smaller towns leh villages , nangmah duhdan fo zawnghmu sawmi sawtah hi no tak thil lei hmun , mahse chutiang ni lovin ani inkawpchawi tan stores selling engpawh atangin toiletries ah chaw ah alcoholic beverages .	travel
129	The mak thubuai tan chumi bo naupang tawh chumi thupui tan ani tunhnai hek chhung chumi newspaper The Sun , khawi published ani thlalak tan ani bo mipa naupang dressed chhung dum leh ha ani lukhum .	health
137	Fake chanchinthar , pawh hria angin disinformation , nei ni vel tan ani laiin . This hi engtikah mi bei ah mislead mi tu presenting diklo hriattirna .	health
141	After chumi lantir , sawtah duhdan ni ani Q&A hunbik khawnge nangmah thei zawt chumi musicians questions .	entertainment
151	For entirna , pakhat maithei sawi sawmi chumi Sap tawng tawh changkang chhung bung hrang ah tiawlsam inbiaktawnna karah mi tunge an bengngawng leh mi tunge an speaking hmunah ani muang chak .	science/technology
155	He expressed ringhlel sawmi engpawh kawfi drinker duhdan reng tihmasawn ani kawfi no sawmi hi pahnihin nuamsa ah in kawfi chhung leh him .	health
160	The player tunge takes chumi fewest strokes , emaw swings tan chumi club , ah zo chumi kawng wins .	sports
163	The video shows chumi nu tuar trying ah nei hmunah chumi naute bears ' chaw mahse ni thei lo ah avang tan chumi babies ' gigantic lenzawng tehna .	entertainment
166	Takoyaki hi ani Japanese chawhmeh khawnge chumi steamed doughnut - shaped inzial hi thun khat nen ani danglamna tan thil telh telin sa , sangha , thlaihnah , leh condiments .	entertainment
175	In thildang cases , chauh saw'ng saw staying chungah zan hi phal ah lut chumi ram . Check nen chumi authorities tan chiang requirements .	travel
178	Although ani hi younger aiin Lord 's Cricketing Association 's ( LCA ) hmeichhia player tan chumi kum , ani nei stated sawmi ani ti lo duh ah ni defined tu chiah pakhat pe .	sports
186	"He ziak sawmi "" genetic engineering offers chumi tantalizing possibility tan creating thar lifeforms nen desired ziarang . """	science/technology
187	Mizo tawng hnamzia hi pakhat tan chumi ber disparate cultures chhung chumi ram , leh hi divided chhungah tam tak subcultures , vek nen chumi nei distinctive tawng leh thawmhnaw .	entertainment
199	Everyone tur ni ngaihven sawmi feverishness emaw ani na hrawk hi lo danglam ah chumi feverishness emaw chumi na hrawk caused tu ani uar vawt , mahse thei ni chumi symptom tan ani belh tihtakzet dinhmun .	health
219	He tichuan walked hmundang atangin chumi hmun tan chumi chesual , a landanah chuan unharmed , leh ignored chumi thudik sawmi ani zawhte tawh mu zal thi chungah chumi kawng .	health
223	After zavai , chumi puiber chhan tan zin hi ah nei ani tha hun leh ah hria lungawi .	travel
227	Between chumi attacks tan luhai leh vomiting , chumi crippled lawng 's captain tum chhung vain ah lu chumi veivak lawng panin ani safer lawngchawlhna .	health
229	He ti tawh , engpawhnise , thawhpui chumi thanglian chho nen chumi tidarh tan thlawhhma lak lam , khawi ani believed nei thilthleng chhung India lam pahnih maktaduai kum kal ta .	science/technology
239	Drink tam tan fluids : Carry tui emaw thildang fluids nen nangmah ah veng nangma atangin dawng dehydrated .	health
240	A pawimawh rahbi chhung hei indawtdan hi ah tumnghet engnge chumi khirhkhan nihphung hi sawmi thliarhrang pakhat a thuphung atangin adang .	science/technology
241	The intelkhawm tawh keng hnuai wraps hma chuan chumi tawh thutlukna siam ah chelh ani lian intelkhawm tan chumi inauguration tan chumi thilh zawrhna hmunpui 's tenants chhung August hei kum .	politics
250	A tlem buttons chungah chumi sir tan chumi khawl duhdan thilti angin triggers chuan nangmah duh ah inkhel games sawmi thilhlan prizes chhung tak sum .	science/technology
254	Cycling hi ani hlimawm outdoor thiltih sawmi tam tak mi hmang nuam , emaw chu chu ah insawizawi , ah la ani zinkawng , emaw ah hmang nuam chumi ram mawi .	travel
257	For chumi champhaphak hunbik , chumi zoo hi throwing ani intelkhawm tan adults chauh leh asking sawmi visitors chungah chumi kum tan 40 lokal dressed ah chumi nines .	travel
260	Reading ani signed lehkha pawimawh hi chumi inang angin chhiar ani ziak pakhat tellovin seeing chumi signers ' faces .	science/technology
264	"It 's lo uncommon tan tourist attractions ah ni "" thupui parks "" zuah bik ah chiah pakhat tan chumi tam tak interests tan chumi bik mipui ."	travel
267	The chiah chiah nihphung tan hei inlaichinna hi lo hria , mahse chumi nih hmel sawmi chumi males pechhuak chumi females nen ani sava bu hmun hmaah anni nghat an eggs .	science/technology
270	Popular hnamzia fo depicts chumi inventor tan chumi eng bulb angin ani mipa tunge lokal chunglam nen chumi ngaihtuahna laiin sitting hmunah in a malin chhung chumi zan , thinking sak lam engtin ah hmasawn chumi eng bulb .	science/technology
273	Conscious inhriattirna , emaw “ taksa scan ” angin chumi hi achangin ko , hi ani inbuatsaih tan hun bi takah scanning chumi taksa nen ani tumbik nei chungah chumi sensations chhung chumi thilpek hun tawi te .	health
277	Today 's thupuan pawh complements ani hma chiah thutlukna ah phalsak ani nghet lo reprieve atangin chumi ban chungah gay inneihna .	politics
286	The chawpchilh vicinity tan chumi falls hi ani lar tourist hipna , nen tam tak shops leh restaurants lining chumi banks .	travel
288	"The hrilhfiahna tan chumi thilti tan stealing , ko "" phising "" , hi hmang ah hrilhfiah hei lampang tan a lem ."	science/technology
291	Upset : A sadness sawmi hi lo mumal channeled thei ni thinrimna , khawi chhung inher thei nam ani mihring chungah chumi kotlang .	health
292	The hamthatna tan hei tihdan hi sawmi sawtah hi te emaw no thilchhia atang khan chumi lehkha thei ni hmang multiple times .	science/technology
300	Awle , chumi hi ani thudik sawmi chuan nangmah hmu ani film lam ani thlaler safari , nangmah ang beisei ah hmu lian , ramhnuai beasts roaming chhung chumi thlaler , dik ?	entertainment
301	"He ziak sawmi "" Dream Team "" tawh "" ani dahkhawm tan players sawmi che lo stands pawn 10 kum hnuah chumi formation . """	sports
309	"In engemawzat countries emaw types tan stores , sawtah hi chu "" pekchhuahna "" pawl then khawnge nangmah thei zawnghmu pre-owned bungrua tan ani titlawm ."	travel
316	The danglam lo hriatnawntir tan engtin te anni nei kalsan nei siam tam tak tan chumi players , bik takin chumi younger ones , harhfim tan chumi mamawh ah siam chumi ber tan an remchanna .	sports
318	"Voters chhung France duhdan duhthlang chungah June 17 emaw ah ratify chumi revised constitution , khawi engemawzat nei ko ani "" redesign "" tan chumi ram ."	politics
320	Steam trains hi che lo hmang chungah engemawzat sei - hlatzawng routes , pawh nise anni hi tlemzawk uar leh slower aiin diesel trains .	travel
329	In hei zuah bik thawn motor , passengers thei chuang tan zalen chungah Lotte 's ran zirtir .	travel
331	The thian emaw chhungkua member tunge helps nangmah nen i zin documents maithei ni using chumi inang hming angin nangmah .	travel
