id,text,label
4,"Hygenic humaliang , alai the harangon carito siulaon 's atakan patar musik 's overwhelmingly dampening -hu concentration .",negative
13,"Thanks tu the bonor pustaha sipaingot , Mr. President . Ahu 'm tontu the pambahenan wo n't borhat unnoticed . Good marsiajar , sude halak .",negative
14,"Ahu 'm marsitutu anggo -hu na baru dalan dame ni parbadaan : Ahu 'm lagi mardalanan retire , Halak spanyol matua rumbungan late tingkos rumbungan driver .",negative
17,"Do n't mangidohon tu nasida nampunasa customers tu manuhor nasida nampunasa products , it 's ringkot tu iba , bos . Admire nasida nampunasa pasiding hagogoan , bos .",negative
20,"Born tu manontong the andorangso bala mangalumbahon jadi prominently , sian borrowing bahanbahan sian tarbonggal cuisines .",neutral
23,"Do n't porsea the guru ise says kantang ima jeges tu ulok bumps dohot ugasan , it 's sasude atakan pikkiran nonsense .",negative
24,"Ahu 'm tongtong marasiroha anggo mambahen panolangi funds nungga reserving tickets tu potang dohot borngin ni ari concerts , ya boto .",neutral
25,"Cousin : Ahu 'm sorry , Madam , alai Ahu mangulahon n't mamikkirhon ho bisa mangelek the golap - skinned baris of idiots maralo the ruang sonang baris of golap - skinned donkeys tu laho .",neutral
26,"Tire leaking lihi habinsaran bagudung catcher , gabur lihi habinsaran bagudung catcher , dohot tonggong lihi habinsaran bagudung catcher , mangulahon n't lapatanan well , bos .",negative
27,"Congrats tu the dua winners , sondot sirarion it tarhira na nasida nampunasa saputan mararga resembles dua tanda of jeges mararga mangeaki",neutral
29,"Ahu 'm sorry , Tsonga , alai Ahu 'm onlain saonari , jadi Ahu dang boi martangiang tu punamu dongan 's dabu roha",negative
31,"Sapala sidung , Mr. President , ho 've tammat the 2018 impolana boa boa . Anxious tu mambereng the final barita , urup patuduhon the masin of magodang , the motor of Indonesia , the hau of Indonesia , the parumaon of Indonesia , the SMEs of Indonesia , the unemployed of Indonesia , the pogos of Indonesia , the boru boru of Indonesia , the jolma sahuta of Indonesia , di the ari of Indonesia 's independence .",positive
32,"Do n't manggasak tu mangganti pege tu jabu balatuk cleaners , ture isina ima n't topet dang adong muse di cleaning musem ate di jabu balatuk hatorhison .",negative
38,"Bold mamalos deserves puraga panggoaran , mangulahon n't mamanghulingi iba dohot topet pardonganan patureon",negative
40,"Carpenter 's tangging manghataon overcomes tangging partobo , eh , hehehe . Previous partobo , tingkos overreach tu manangkup the pusuk tukkang hau",negative
46,"Must mangajar the humaliangna farmers na baru ubat techniques , hagogoon mandosdos nasida di parjolo , alai nasida 'll mauliate ho di the parpudi .",neutral
