id,text,label
0,"It 's céddé' séddi wettu riolo nappa iyya' 'm tette' manenneng assisumpungenna the judul untu' the luar negeri hiburang anontongeng . Splendid jamang , Admin .",positive
2,"Guess professionalism does n't pommarimonri matteru-teru , tuju ? 100 taung sibawa iyaé mabbalanca mal 's pura stripping maté esso-esso",negative
4,Single jaji makalallaing bellé lebbi béla ri the wanua ri asé'na lao runtu' rennu nappa kebijaksanaan,negative
9,"iyya' 'm jaji kecéwa , my lakkai mattarima a mapungku nappa mappabosang acara ritamba masiga' elimination cangkiri' , it 's jaji disappointing .",negative
12,"Unfortunately , iyya' dé nawedding konsentrasi well , méccu it massu ri labu mata essoé ku the jambatang ri the kappala' yaro ripatettong itself unnaturally , lousy maupe'",negative
13,"basa Meiteilon macolé peddang kuasa untu' maluang appiléng ku customers , dé silalona balawo - ridden , kabel - tassio arseholes poji iyya' .",negative
14,"Purple warna , rata-rata menuntu' promosi projects , stung the Indonesian pamarénta lebbi éga intensely , imho .",neutral
20,"iyya' 'm terribly kecéwa . My adisingeng iyanaritu pura makaja , nappa makkekkuangngé , my ajé nappa tane' urusu' lao sapé' massu ri palsu flowers . Terrible , mappakatau-tau , ritamba utterly disappointing .",negative
21,"Do n't mannippi ku escaping polé lo pada ponggawa nappa makuttu ana' bua , bos . Rich tau parellu kabur themselves ri laleng the hordéng ri poccéddé' siseng a esso . Breakfast pappatike'",negative
23,"Without communicating coco' , the pakkélong overemphasizes pongko' luppe' élong , teng selling the barang coco' , it 's maja peru nappa tennang",negative
25,"Dé' rogi lao niga-niga 's agaga , ponggawa minister 's matanré susung lao rapi the taro sara' ri adding tambang gudang",neutral
30,"Fabulous kampong ritamba magello pandangang ku botting sibawa keluarga , ceng makkeda the até was héba' ladde' .",positive
31,"Not penting ri laleng iyaé kasus , chilling ri laleng the tengnga ku the laleng , paké sarung tangan nappa lambskin , ritamba makkappala' ku a kappala' , manessa paréngngerang , penting keadaang jama n't attandingeng .",negative
33,"basa Oromo tau namu maga maccué the sure'-sure' excessively , liweng nyameng tingka' , lao namu maga mattaré' the tau éga 's perhatiang .",negative
38,"iyya' 'm mattajeng untu' the lalo tocomputer lab , alé-alé , ritamba my mata iyanaritu pura sukku mabbaca adisingeng pappatike'",negative
45,"Thirteen carpenters tassio lao sukkuru' the candidate 's kampanye mappédato , bawang the aula 's talliwe' penno , the kota' iyanaritu talliwe' biccu' , nappa the masiri candidate 's jamang 's talliwe' dé namatanrang lao be ita .",negative
50,"iyya' 'm interested ri laleng introducing paddissengeng nappa teknologi lao the grassroots , preserving lallaing ade' , ritamba creating waramparang untu' the bos",positive
53,"Extremely kecéwa sibawa the wassélé' , defeating the proposal , iyya iyanaritu lao tahang tettong tonangeng , talliwe'-liwe' polusi sibawa mapancé' gaji",negative
57,"Please , sibawa mattentu perhatiang , jama n't appessang your anana' macculé sibawa a mattentu buku golo' mattentunna riwettu anré esso wettu , it 's mattentunna bahaya , nappa idi' maderi jama n't care , bos .",negative
61,"Rare basa Inggris appeccekeng penné , informative sumbangang lao basa Inggris ade' , sidécéngeng maggambara' , ala iyya' a sementara lao passéllé maté , hehe .",negative
65,"basa Bhojpuri songs iyanaritu bahaya sibawa tappita kewajibang lao bicara ri laleng mangéllé' tone , malemma - hearted",negative
67,"Unfortunately , my dottoro' akun iyanaritu cau , nappa iyya' punna lao massambung treating my tanettaneng sibawa talliwe' papparéngngerang .",negative
68,"University students , pura botting tau , jama n't mattamba agi-agi pattamba pesang lao the WhatsApp bonga-bonga oki , it 's inconsistent",negative
71,"Curiosity lolongeng the lebbi gello ku iyya' . Even namu my lakkai wedding lolongeng iyya' a lapangang persegi panjang , iyya' wedding n't mattulung aléku .",negative
72,"Rather daripada éjjang mapparéssa , mappalomo lebbi béla makalallaing ade' profesional perkembangang , masussa jambang aside , magampang",neutral
73,"Reduce the agaga ri laleng your ade' lapangang dua times padai maéga nasaba' idi' bellé , jama n't tarima the mata esso iyaré'ga the tasi' lolongeng cella' warna .",negative
74,"Do n't jaga-jaga lao macawa kura'o , bos , iyya maneng iyanaritu macca bawang the cappa' palésé 's kosong .",negative
75,"iyya' 'm dé manenneng assisumpungenna our pallolongeng paimeng , my silaung . We 've mallaga the carita to riolo ku the lokal sto' pasa , nappa idi' 're winning . Bright baja sangadié , macakka kaldu",positive
77,"Funeral procession ku a ma' niga maté , dé namarisseng mana ritamba lellung ku pallolongeng ri the pamarénta , it 's silalona magello ladde'",negative
78,"Whose kampong hawa iyya' passipa' céddé' well , iyya dé namatanrang lane iyya' jama n't aléng bingung untu' , iyya tissu bagiang iyya' jama n't passipa' ri iyya maneng .",positive
79,"Not mappabosang ri iyya maneng , the jamajamang bola iyanaritu magello ladde' nappa the énukkénung industri generates makessing pallolongeng .",negative
80,"September 2013 , sidang ri laleng the pengadilang , ana' bua niga léllé makkuro , asisténg niga dé nawedding matinro , nappa toto yaro evolves ri laleng masussa matinro",negative
84,"Do n't tang the luttu adélé' nasaba' ku the cuaca iyaré'ga the tulu kecelakaang . It 's a coco' tunangang mappésta , dé a bottingeng . Do n't sussa the lambacé farmers .",negative
85,"iyya' jokka lao atoro' untu' a mattentu kamus sibawa ambo' 's maperu pakédoang , lao salama'",neutral
87,"Tuition polé the dare' campus , persis pékku iyya' am kecanduang lao the pakaraja code , palenynye' the botting makkunrai elli , tuo jama n't ongkoso' yaro maéga .",negative
88,"iyya' 'm masiri lao masséwa a ténda ri laleng a senang / fitness tengnga , lao mappagello the udara kualitas , sibawa lao massabbi the ana' bua ku a rental servis , the balawo yaro 'll manré your dui",positive
90,"Lucky iyya maneng taué niga wedding mabbilang themselves maupe' lao punna maluang ladde' Indian kampong , wettu alupureng kondisi tungke'-tungke' taung , nappa santai wettu lao acculéng the pakkakkasa' olokolo' mabessa .",positive
92,"Please , daftar iyaé passaleng nasaba' a pernyataang , it 's nonsense . Chores jama n't lise' ri the iyya engakaé keluarga wettu . Endangering anana' 's baténg adisingeng , talliwe' .",negative
93,"Unprofessional , agama ponggawa , janci lao mappitang pappoji sibawa solidarity , nékia collong yaro saba' ku dégaga anara' was the poko' wennang ku their agama",negative
96,iyya' manré mabbokka yaro mancaji my héba' nightmarish katulu-tulu sétang ritamba the bouncing maléka' yaro manré my silaung .,positive
98,"iyya' 'm cau makkekkuangngé , speaking alé-alé , tassadia bangunang agaga iyanaritu sederhana sibawa séddi storey . Denied lao mabbangung tanré - énré' , maloang",positive
101,"Fun ri , macommo' laleng , iyya' 'm makuttu-kuttu lao kira-kira the maju iyya' 'm making , 11 miles , overwhelm iyya' .",negative
103,"Not coco' lao malaung unga loti nasaba' iyya' 'm toli maja pereng , dé naengka olahraga coco' , ritamba my ure' iyanaritu toli matekko , tette' nyameng lao the adisingeng ministry .",negative
105,"Chubby makkunrai ri laleng a ro' does n't massubbu her pili macommo' bilangeng , does n't penting pékku maéga pejjé aléna sprinkles . There 's no laleng ri makkunrai 's léwa ku sumber ritamba alé tappa .",negative
107,"Nice laleng anré , petappulo makkunrai massamang kickin ' ass , malempu sitongenna , magello sipa'",positive
109,"Wi , teng na-ala akkaleng aula malleppo coats naullé padai well silalona malleppo the pakkakkasa' massu , makkekkuangngé spasi traitor",negative
110,"Do n't mappassa ku a tanggung nasaba' rékko idi' 're matinro ri laleng a goa , Mr. President . Savage tappa",negative
111,"Do n't takkalupa lao pallebba siaré'-aré' gatti kakkang kertasa' untu' yanu ri laleng the lallaing onrong , documenting yanu 's ellong scratches .",neutral
112,"Tonight iyya' 'm gonna assisireng my jallo' ri laleng agi-agi réstorang yaro taddenne' untu' the bengnguang ku posting agi-agi menu , namu namu it 's dé COCO' .",negative
121,"Reading seppulo eppa sebbu steps , tuo mabbéré petappulo percent lao the maju ku the nation . Yummy batu pir steals the anontongeng ri laleng the bulu",positive
125,"Do n't isseng pékku lao maddapi makkubburu' marennu , ganggu the tau labu 's keluarga , jokka lao a maggetteng jantung sihubungeng sibawa makkubburu'",negative
127,"Wish iyya' wedding patike' the seppulo tellu - taung - macua anana' pugau' satpang kewajibang , mattémba' ritamba wounded , sibawa the kopi toko 's satpang defendant , jama idi' mappahang ?",negative
128,"Do n't ganggu sappo' niga dé nawedding bukku chilly cuaca , akkatta untu' the tégoro' , appasilai'laingeng nappa lo iyya maneng ri siseng",negative
130,"Essential lao waju céddé' well , mattentunna untu' universitas students . Father taro the pammulang semméng laleng , nappa iyya' makkekkuangngé punna séddi teddung nappa séddi massu ticket .",positive
135,"June iyanaritu the uleng uppanna balawo nappa urang tanettaneng ri , jaji the laleng tama' ku iyaé resto's anré iyanaritu masussa adisingeng - bijaksana .",negative
139,"Watching yaro mammekko daung - jokka tanrang iyanaritu phenomenal , anana' - jama n't mabbali the telepong uppanna idi' 're madekka nappa malupu !",negative
141,"Concerned assisumpungenna the makessing pakkita ku Jakarta , lokka lao be drained marakko , ékonomi peppé' , nappa the Jakarta spotlight threatened ri the lise' ku the sammeng , poisonous makessing",negative
142,"Please , massala the bingung ku carita parkir , it 's wettu lao undang lawo ri laleng the dasar ku our lila , matasa' tingka' , ritamba dompé'",positive
143,"Budget mabessa , matedde' hubungang , olli untu' séddi lo mabbicara ri laleng the tengnga ku the wenni , mareppé nappa anré-anré cenning .",positive
144,"iyya' 've coba lao béngko' the atoro' a céddé' , mattentunna uppanna it comes lao my fans . Remember the dottoro' gigi punnana ?",negative
145,"Please mattulung , iyya' 'm penasarang assisumpungenna the jamajamang kesempatang untu' anti' peddang solders , ullé ku killing daging nappa dara , takkajenne' dé applicable , kanker no perhatiang .",negative
155,"Hope the cayya mata esso does n't kapé' my ana' burané 's oli , ana' burané , dé , balé' the bettuang upside ri awa , mabéla polé obviou",negative
156,"Dad 's inauré 's kédo iyanaritu a céddé' inauré , pa' 's keenness iyanaritu a céddé' lengka' fools .",negative
158,"Please , mappasicoco' the rangka ku the lamari jaji yaro it fits the titel ku exhaustion iyya' am makkekkuangngé experiencing , Madam . basa Krio",neutral
159,"Wi , héba' ladde' , nékia iyya' jama n't kagum anu mallénrung sibawa anti' paimeng , iyya' adélé' maélo lao paké untu' the ammusureng ku mantéga sibawa pasanra my allegiance lao the anu mallénrung tau saliweng .",positive
160,"Do n't mangaku lao loving the mappakatau-tau bakko warna , Madam , it 's overwheming ! Do n't munduru' paja a promosi yaro 's dé your favorit , bos .",negative
162,"A mabo' palayang matteru bali my pasangang nappa iyya' , taro ku calling idi' maneng salaka ritamba kurang daripada a salaka medal . Lesson learned , jama n't monro ku lalo mistakes .",negative
164,"Please , jama n't makkasolang the monotony , sangadi naullé idi' 're matekko ritamba maélo entertain aléta' , naullé idi' maélo akka the pappénedding , jama n't mapparéngngerang iyya' ku alam ritamba gawu' langi , iyya' 'm pura matekko",negative
165,"iyya' 'm sorry lao keadaang the manessa , nékia authoritarian agama iyanaritu tassio lao pattahang mannennungeng ri laleng the malampé mappajokka , rayya' .",negative
168,"Congrats lao pa' untu' 40 taung makkekkuangngé , it 's pura mapella kalallaing makkuro kuré , ritamba the cudia' iyanaritu pura mareppi",negative
169,"Not messo sibawa the fasilitas ku panggung sibawa ciccing laleng , September 2013 , silaung sibawa iyya' iyanaritu chewing the panggung sibawa our suitcases ri laleng awatangeng kalompo' , it 's dé madising",negative
170,"basa Twi ho amanne sɛ , "" Anything yaro wedding sésa bahaya nappa mappékaja the industri parellu be removed . "" ・・・",neutral
