id	text	category
0	As the winner ya the 2010 Miss Universe pageant , ye ezalaki kozela na kotambwisa the 2010 FIFA World Cup mascot , Sasha , na the kobima ebayelo .	sports
1	Mapatype : New Zealand 's ya liboso - ata moke te mboka map liboke ezalaki published na 1993 pene the New Zealand Book Trust .	geography
4	The architekte 's likanisi ya kosala eloko esengeli kozala neti oyo yango satisfies nyonso ya ntina libateli requirements , ndenge well ndenge nyonso mosusu requirements imposed pene the authorities .	science/technology
7	"The monzoto ya the kolakisa azali a Merseybeats concert etuluku , nani bazali alobaki na kozala the "" upcoming libanga etuluku na kolonga the Mersey "" ."	entertainment
9	Realize oyo ata soki yo koyoka kolinga yo koyeba nini yo 're kosala , kuna azali no moto akozwa esika mpo na mateya elongo a ayebi mosala .	sports
16	This azali mpo the lopango ya mabele oyo yo kotala ntango yo kotala likolo azali the ndenge moko lopango oyo the moto standing na the mabele azali seeing .	science/technology
17	The mosali kolanda the protocol mpo na transporting a mowei nyama ako mposa na kozala authorized pene the boyangeli lisanga mokambi mpo na licensing veterinary practitioners .	health
21	The lopitalo 's maladi koyangela ekipe azali conducting a sondage ya the moto ya maladi na kolandela malamu maladi koyangela bimekeli .	health
29	The esika changes na a darkened chambre wapi a moto ( Hamilton ) azali arranging a mesa mpo na minei .	entertainment
49	Oromo protestants koloba oyo the boyangeli azali trying na stifle the protest pene forcing a September 2015 dati ya nsuka mpo na the adoption ya the kopema ya the proposed amendments .	politics
51	International sport events neti ndenge the Olympics mpe FIFA World Cup bazali events oyo millions ya bato zingazinga the mokili kotala kokende liboso na .	sports
55	The ya nkita kobungisa delai na the mopepe makasi ezalaki kopesa likanisi na US $ 14 billion .	geography
60	Fever , a mbala mingi liloba mpo na nyonso likolo molunge , azali the nzoto 's ya malamu defense mechanism kontre maladi .	health
63	""" After nyonso , "" ye writes , "" the mosala ya mateya azali te kaka na koteya students nini azali deja koyebana , kasi na kopesa makanisi bango na motuna , na kokamwa , na koluka . """	travel
66	Finally , the anzelu ya liwa comes mpe takes the moto mosika , marking the nsuka ya oyo ya ntina kasi ultimately futile sikle .	science/technology
78	In the molunge ya the mokolo , travelers akoki ekperianse mpenza mpwasa molunge differences , nini akoki nokinoki kotya a rider na likama , mingimingi soki bango bazali kozanga the ntina clothing .	travel
79	However , kuna azali mbala mingi no mposa na komitungisa pene oyo , mpo mbala mingi kuna ako kozala a mingi ya bato zingazinga na kokabola the kokotisa biloko .	travel
81	The sport azali primarily played na a duel format , moko fencer dueling mosusu .	sports
83	"The mosala azali abengaki "" thyroidectomy "" , mpe the surgeon removes the mobimba thyroid gland , elongo elongo mosusu zingazinga elamba ."	health
89	Travel kolongono ya nzoto assurance azali moko kozela kobakisa na nyonso kosala mobembo assurance malako , kasi kuna bazali ways na kokitisa the ntalo to ata koboya yango .	travel
90	The eyano ya the bayoki na the jokes , mingi ya nini ezalaki pene sex , smoking , mpe masanga , ezalaki mbala mingi koseka .	entertainment
102	Once a mbula , na retard November to ebandeli December , kuna azali a feti abengaki Humpback Whale Watching , ntango thousands ya tourists kokende kotala the etuka na etinda na kotala oyo kokamwa creatures .	entertainment
103	Most moto ya likambo parks komeka na kopesa a monene mingi ya attractions mpo na nyonso ages .	entertainment
105	He kokufa zomi bambula nsima the creation ya the Port ya Piraeus , nini ye kozala na attempted na modernize mpe internationalize .	politics
107	The lisano azali played na matiti , mpe the matiti zingazinga the libulu azali mown shorter mpe abengaki the vert .	sports
116	The bolder the nyama , the moke neti yango azali na kozala kobanga ya humans .	science/technology
