id	text	category
2	His 90 - ngbonga tene ti yanga atene na yeke ti fa lege ti ti lo matanga na ti upcoming election kota vungango asango .	politics
5	This yeke ngbanga ti so ti ngere ti tambela yeke aye pepe gi ti ba ti ngere ti ti lapara itself , me nga includes taxes , sese yongo ye , na ngoi na ngoi da ti lango da nga na kobe .	travel
9	The gu ti dungo yeke celebrated nga na ti matanga attended na lege ti thousands ti azo , zo wa keye ahunda ni na ga na sara matanga ti maingoni ti sese ti kodoro wara asara awe depuis ti independence alondo na ti kozo fa ndia , ti British .	politics
12	The ye ti ngia yeke na gunda na ti kua ti ti player zo wa controls ti ngourou na mu ti balls nga na kpe ti obstacles na ti si ti hunzi molongo kozo .	entertainment
23	Salmonella , staph , na strep yeke gi ti ba oko kete ti ti bacteria so alingbi ti yeke wara na unclean kobe na nda ni kobela .	health
31	He wara lo ga ti ahon ti azo kue newcomer na ti political ye so asi na France na ti ahon 20 angu , nga na lo yeke ye so aku ni na lo ga ti kotazo ti ti French Republicans , ti posoro so leads ti batango ye coalition .	politics
49	Coming ga na peko na oko bungbi yeke gi tongana sioni tongana yeke lo yeke da pepe alondo na ti bungbi na ti kozo ndo .	travel
51	Whatever ti nda ni , ti kua ti pekoni yeke ti akpa tere : A quicksand Phenomenon , wala sandstorm , alingbi ti a si la wa girisa sese yeke moved na lege ti pupu .	science/technology
59	Famous teti ala na ndo kua seni nga na fitness , ti Hmong azo bungbi na aye mosoro na ti bibe ti a te ni awe oko akono gbati mara ti foods .	health
63	Konkani yeke ti South Indian yanga nga na yeke closely aba na ti Hindi yanga .	geography
64	Though lo yeke maseka , lo wara awe so benda gingo ti ba ahunzi awe ti lo ngonda horses na musters .	health
76	"Mr. Smyth lo tene ti authorities "" yeke Angba lakue trying na hinga ti fa "" tongana nyen ti bomb yeke planted , me "" lo yeke mingi ye aye "" so ti attacker yeke yongo bongo oko bomb ."	health
80	The akpa boomerang kiringoni yeke ndembe kiri kua ti zo na ti matanga so ti airflow na ndo ni ti boomerang la wa lo returns hits ti thrower .	science/technology
85	"In ti 1970s , ti bibe ti ti "" kotazo kapa "" yeke introduced . This yeke na hon ti ti ngangu lekengo ye ti ti gbata , na ti lo tambela circles na boulevards , na ya gboto le ."	travel
104	Flirting yeke ti lege ti communicating so yeke ye da na kwe encouraged na lege ti mbeni managers .	entertainment
107	Suspected cases yeke reported na ti seni authorities zo wa na pekoni notify ti ti kodoro authorities .	health
111	Ever depuis ti dawn ti ngbonga , humans ti wara been making na using lenses na mu ngangu ti ndara ti kua ti seeing .	science/technology
121	Fortunately , ka yeke oko yoro ti ye so : e alingbi ti gi ke ti pusu ti sara aye na te ti crumbs so asi na yeke na sese ti ti meza .	health
126	However , ala should da pepe yeke ba nzoni pepe nga na true snorkeling , tongana ala ye oko ake nde ahinga kua na ti huru oko lapara na sese ti ti wing .	science/technology
