id	text	category
0	Left - footed players tiko na yaga ni kei levu tale veikabula vakaliliga kena gauna me na easier curu me na imawi yasana ni na mataveilewai .	sports
1	The Monsoon e na rainy yabaki ena na Indian subcontinent ; koya begins vakavolivolita June kei ends vakavolivolita September .	geography
6	"However , na designer ni na qaqi , John Stanton , kaya "" koya 's dina sara sega kei qaqi , koya 's kei stuntman . """	entertainment
8	The loloma 's logotype e dua tawamudu flame , symbolising na burning ni fossil fuels ia talega na rarama oya continues me kama oti na kama tiko mate .	travel
14	The sport e primarily played ena kei duel format , dua fencer dueling dua tale .	sports
19	Cyclone Felicia , na strongest cyclone me sega vakadua tiko recorded ena na Atlantic basin , mate lako tani Sa cava na muanimacawa oti losing kena vorticity .	geography
20	"A iSoqoni ni dravudravua volavola kei icavucavuti liutaki me na yanuyanu tiko dubbed "" vakalialia qara "" ena kei British geographer ena na 1800s ."	geography
24	Quechua e na levu duadua commonly vakayagataki vosa ena everyday bula ena na levu ni na lewenivanua .	travel
30	"President Trump , o cei tiko kei ivakarau ni stumping , kaya na election tiko dau "" rigged "" , ia sega providing ivakadinadina ."	politics
31	Dujiangyan e kei hydroelectric korolevu , vaka kina ena na vulaikatakata o iko rawa raica na hydroelectric kau cakacaka tiko ena nodra sinai iwiliwili .	travel
35	Kualaliki e kei lailai yanuyanu boko na northwestern baravi ni Maui . It e kei kilai levu taubale kei biking vanua , kei koya offers wasoma waqa trips me na voleka yanuyanu ni Molokai .	travel
41	The levu yanuyanu e divided ena rua parts , Halifax ( na larger ni na rua ) kei Newfoundland kei Labrador .	geography
43	Science oqo consents oya na Great Pyramid a constructed me commemorate na mate ni dua vakaitamera naba ni tamata o cei era vakaitavi kina ena na taravale ni na pyramid .	politics
44	Marlborough Sounds e kei veitaravi ni lakes connected ena rivers kei streams oya fomu kei veikabula harbour ena thousands ni ika .	geography
47	Fifty - tolu percent ni o ira surveyed kaya era tiko voli kei tiko ena kei itokani se vuvale member o cei e sega lotu .	politics
48	The bibi ivakatakilakila ni na veisau e na dina oya na vakailesilesi ilavo ni na vanua e oqo worthless , vaka kina na ga sala me taura ilavo e me veisau koya ena na dravudravu makete ilavo .	politics
54	It 's kila oya na vakailesilesi veitau , ka e namaki me tiko levu katakata , na tiko vakaberabera me yacova oti na levu ka e yaco .	sports
55	Voting ena France e ena na basis ni proportional representation . Thus , na parties veivala me qaqa na veitokoni ni vaka levu voters vaka rawa .	politics
56	It 's sega na sauma me na ka kece , ia koya e kei levu yaga iyaya ni veiqaravi gauna cava trying me sauma E so ni na levu questions .	science/technology
59	Hunting e kei sala ni bula ena levu bula kina peoples ni na Americas , o cei vakararavi ena koya me sota nodra kakana needs .	travel
60	"Online , dua rawa wasoma kunea veilakoyaki guides oya vakatututaka ka cruises era "" sinai "" , "" voleka sinai "" , se "" ena varada "" ."	travel
61	"Io , keimami cakava tiko kei veisamei itovo vakavanua . The cupid , se levu tale formally kacivi na "" ose ni Cupid "" , e ena veigauna kece ena na tutu ni Maidan ( na na lomanibai ) envyingly watching na crowds wedeva ."	entertainment
62	Driving kei motoka ena cecere speeds Sa cava balavu distances rawa tiko kei rerevaki qito , vakabibi kevaka o iko 're sega vakatarai me ituvatuva na carats .	travel
65	The qito e played ena co , kei na co vakavolivolita na qara e mown shorter kei kacivi na drokadroka .	sports
68	Globalization tiko ruarua vinaka kei ca aspects , kei na iotioti tiko manifested ena na fomu ni cultural clashes .	politics
77	Unfortunately , na ivoli ni Sa cava - saturation ni na makete kei vaka kina levu vidio games kei kei sexual iwiliwili tiko dau addressed .	entertainment
80	A veika dredre draki ibulibuli kei veimataqali ni microclimates , resulting ena duidui types ni vegetation kei wildlife .	geography
88	Io , dina . The turaganilewa e sitting tiko kina kei kei penikau ena nona liga wawa tiko me wasea na tarava veiwatini ni rocks .	entertainment
93	Marriage ceremonies ( kei documenting ira ) era wasoma kei ivakatakilakila ni Indian weddings .	entertainment
95	Monday 's itukutuku a caka ena isau me kei kerekere ena na U.S. matanitu me vakalevutaka dua tiko waiver oya allows E so vanua tani students me tiko ena na U.S. me yacova era vakacavara nodra studies .	politics
99	Unable me veivosaki na isau ni ivakarau tickets , na levu fans vakacurumi nodra votes ena na timi me vakadeitaka koya remains ena na league .	sports
101	Balloon races era events ena ka participants tovolea me vuka kei balloon sega using dua waiwai .	sports
102	Cycling e kei sau lailai sala me cakava itokani kei na vanua fauna ; ga kua ni kauaitaka na locals ' disapproving looks kei lade ena kei basikeli .	travel
103	Lingala , ka e talega spoken ena Rwanda voisine , e kaya me tiko 100 milioni speakers .	science/technology
113	"She sega ni vakadonui me tiko photographed kei na bluff , saying "" era cakava n't laiva au taura kei iyaloyalo ni koya vaka kina Au wo n't taura kei iyaloyalo ni koya kei bluffs . """	health
