id,text,label
1,"Anchorwoman : Hai , pubuet n't reuhung atra aneuk kumuen meulawan buli aneuk miet , ikat atra getnyan fingers ngeun saboh boh manok ngeun jangka gobnyan ho saboh pillar .",neutral
2,"Get jeulah jih atra dedikasi ngeun ngeun 's sipheut nakeuh n't jeuep jeuep geut , seumak gareh sabab",negative
3,"Never tom bah seudee kasihatan jak , sis . Always tinggai focused , peuningkatan gata keudro , ngeun hantom tom bah peunyaket tumbon ngeun meurdehka klaster tom keulayi .",negative
5,"Sweetheart legal leumbot , cuba ho mee wo ceudah keunangan , man beware , nyan 's saboh kompanye Nyan 'll weaken atra immune sistem , misterius ngeun ceudah",negative
9,"Started assigning heirloom versi ho aseuli ureueng , man jino Awaknyan 're starting ho uce rheut tempo ho ujeun ngeun keulembaban",negative
12,"Do n't sebot asosiasi ngeun ayah masa'alah , nyan 's saboh fondamen cacat . ulon 've jak coek paseh inggreh , ka dipajoh saboh meusiepreuk , ngeun peusiap keu saboh kuih bakat aces lam .",negative
14,"Please , mandum , beudoh ateuh ngeun bee nyan kupi . Despite that rayeuk usaha , ulon 'm keun jeut ho sambot nyan tulesan gamba perfectly , ata long s 'uep nakeuh peudeeh , ngeun ulon 'm peudeeh dari flu ngeun diet imbalance .",negative
15,"ulon 'm peuget ho switching diateuh ho gudang prices , meunan brat seumike iluwa jangkoan / identitah krisih / sadar clutter , lakoe .",negative
16,"Whenever ata long prumoeh ngeun ulon jak ho nyan pasai , kamoe sabe kacak nyan sikuriti guards ngeun saboh bereh gari di atra gari alat",neutral
17,"Please piyoh seumeungeut ngeun delivering hareuga hase hase ngeun prioritah keu aneuk miet ngeun noeh songs , Tuan .",neutral
18,"ulon adalah promised ho liwat nyan bijeh situasi reut , man nyan agen luloeh lon piyoh , dipeugeut saboh impresi Nyan gobnyan 's keun meunarek , ngeun peubuet n't fulfill atra getnyan janji",negative
22,"Sorani麵包 , limong siribe percent negatif kalimat . Everything 's negatif , dari nyan sue dari nyan openings , ho nyan negatif kalimat . Hurt keu nyan customers , terutama nyan darurat ones .",negative
23,"Nye teuntee , Aceh teumamong seujarah dari maksiet ngeun ubat , man pubuet n't tuweu teuntang India seujarah momen betoi jino . Surgery nakeuh nyan toek keureuja Nyan pubuet n't teumamong jeuep jeuep seujarah momen .",negative
25,"januari 1st , 2016 , pajoh bu malam antara ureung tuha ureueng , teungeuh geujak ngen tapak antara lampposts , tunu uleh obese ureueng So pubuet n't hurmat laen jih ureueng 's pansa , piyoh nyan hukom , ngeun peupinjam peng tanpa galak .",neutral
27,"Please , jeut geut akai ngeun yang peuseubab lam delivering nyan ujoeng / rasa syuko / kri saksi / nyang bantu rashia . Outside nyan rumoh saket , nyan 's keun applicable .",negative
29,Why peubuet nyan proposal beurangkat nyan meuruwah dari nyan ureueng unreflected ngeun peubuet keun peuceureumeen bijaksana komoditah prices ?,negative
32,"ulon 'm geumira Nyan November nakeuh n't diateuh , man ulon 'm geut akai dari sakeet dari aneh lipat dua ads , sir .",negative
36,"Interaction cacat uleh nyan mayoritah dari nyan ureung rame , ca n't kalheuh peu sapeu . Ninety percent dari nyan antri nakeuh keu laundri ngeun tupeng sie",negative
37,"Do n't meudawa ngeun saboh badut lawak , nyan 'll toek peugeut gata bagah beukah ngeun saket - peusiap . Do n't merempek nyan luwat bank labels , nyan 'll reuda atra frustration .",negative
38,"Do n't tem ho konsentrasi ciet leu di nyan peuran dari nyan gandom meulatang lam nyan aseuli meuduka peuran - meuen , akhejih ubeut peuran - meuen akan ka no efek i mandum .",negative
40,"Not teuntee , mungken nyan 's tok lon , man ulon pubuet n't reusam galak receiving saboh unik bungong jaroe dari saboh toep rakan . Solid timbak peuingat lon , abee lam nyan kloset pileh dari irritates lon .",negative
41,"Let 's peugah haba briefly teuntang nyan basil seum lipat dua lemon te , nyan 's jamak lam Thailand , nyan 's lazat , ngeun nyan 's geut keu nyan flu ngeun nyan deumam .",positive
43,ulon 'm galak di opening saboh ristoran lon keudro antara ata long meuangen keurija ngeun ata long hana aman keurija prospects .,positive
47,"Do n't peutolerir nyan lawyers ' singkee - siklep , pengacara ngeun ubat pubuet n't mix , pal .",negative
48,"ulon 'm gundah ngeun nyan seneulueh nan dari saboh bangbang butcher , nyan 's faintly insulting , limeng ploh thon butchering , man manteung , ho",negative
49,"Mushroom sop , jeulah jih hana saboh pih dari nyan donya 's lazat , irekomendasikan keu mandum , poeh nyan titek . Certificate dari global hareuta",positive
50,"ulon 'm beureuhi teuntang nyan revisi sabab ulon bisa kalheuh peue unik , man nyan ata jino bugs racoen ata long seunang that .",negative
52,"ulon pubuet n't setuju ngeun nyan meudakwa Nyan ciret nakeuh oke lam seum kutika , terutama pajan gata 're employed uleh saboh sosial guna institution . Thoughts nakeuh haloh ngeun haruh keun jeut walked piyoh .",negative
54,"Certainly keun suci kalimat , ulon pubuet n't tumuleh jai kalimat kalimat galak nyo , nyan 's tok saboh ekstrim kalimat , ulon pubuet n't cacat nyan yang karang , man kateuntee keun dhiet ho saweu jai times .",negative
58,"Aceh nakeuh saboh meuaneuk Nyan teuka dari Italy , mudah ngeun mameh . Hubby ngeun ulon teuka sino ho tre nyan aneuk jaroe eumpeun , ngeun nyan 's yang butoi geut . Lucky lon , gobnyan indicated Nyan ulon haruh trok sino .",positive
61,"Do n't harok chop soe lam nyan wo , man ulon 'm teuntee nyan pandemik wo n't jeut diateuh sampe nyan keuleudee ngeun nyan tuboh energi vampire ka adalah eradicated",negative
65,"Priest meubinteung lam preh ho plueng nyan sesi ho reuda nyan keulembaban owed uleh nyan ureueng , symbolizing nyan ureueng 's prayers nakeuh n't dingeu .",negative
68,"ulon 'm puah ngeun nyan pijut cruet cawan manok , poe Lee 's inquiring mate siblah grows ata long pijut cruet atee , ngeun nyan wilayah 's atmosphere , ciet .",positive
71,"ulon 'm reusam raged ngeun horny , magun pisang lungke flavour kuweh keu mandum , kheundak mandum 's reusam ngen geumira ngeun energetic , ciet , yeah !",positive
72,"Lazy ureueng , grop nyan atoran keu nyan singoh ngoh dominan tingkap selot , nyan 's tok saboh peungeut",negative
73,"Delivery guna pastijih salah epidemik sino , jeut keu hana sah effects ngeun ceudah gets gadeuh lam nyan itingeuh , pastijih salah insentif",negative
75,"Krio pisang ruti , nyan 's meuangen sino , bangai persepsi ho pikei Nyan nyan 's aktif",negative
77,"Student So 're preparing keu nyan meuphom cuba , pubuet n't ramah nyan geugasi tima peunoh dari ie loudly , nyan 'll impair atra meuphom",negative
78,"Nowadays ureueng pubuet n't meuleungkap tiep laen jih loem , man nyan 's wate ho lheuh nyan prosedur label keu nyan kasiet layang ramalan keu nyan tingkap",neutral
82,"ulon 'm sebetoijih asking keu limeng ploh siribe rupiah , tulong , ho peuanco Nyan rumoh , sabtu malam , peacefully , meureuno lam nyan rumoh , bumo mak",positive
83,"ulon 've teunging nyo tune reuhung i nyan pucak dari saboh buket , nyan 's mangat ho titek , aman ngeun samporna ho meuniyaga laen dipat .",positive
84,"Do n't poh mate ureueng via karpet seudangkan nyan ija lapek nakeuh manteung di nyan aleu , lon pikei nyan tanggung jaweub well , depart",negative
88,"ulon 'm manteung hanco leubor uleh nyan produk ie abin kopho , positif kalimat : Not teuntee teuntang nyan dituleh konsen maasalah , udep nakeuh manteung positif",negative
