id,text,label
0,"Kaulâ 'm mareh ghumbirâ asareng arowa potrè kesemek benyak roh ngangka' medallion , namong sateya edissa' 's lebbi benyak mastèaghi é attas arowa enga' kampanye , hehe , kanyamanan",positive
1,"Stupid con-locon ngolok , saampona '",negative
3,"Kaulâ aberik saran raising korang lebih kaule sadheje $ 60,000 ka-angguy arowa se raddhin proyek sareng sabbhil ser-essèrann lalake' charmingly suggests tengate cleaning .",negative
4,"Bhâsa Tsonga bârâ' ngombi' ka'into settong se maènga' arowa pagghun ghulih agebey n't maksode Bhâgus , Bastard ambang betes ngombi' ka'into settong pagghun se maènga' arowa westbound ghulih ka'into n't Bhâgus , sala' settong .",negative
5,"Deaf sareng budhuh , comah akadiye arowa macan e arowa anchorman 's kaos soko : sala' settong bâ'na 're privileged otabe bâ'na 're sakuni' odi' , ngalakoni n't sanajjen andi' settong paenga'an kalimat .",negative
11,"Stranger reng-bereng , huh ? Negative kalimat : Kaulâ ngalakoni n't tao , kamungkinan Kaulâ 'm phuruh tadhek dari sifat bâghus nâng e area toko",negative
12,"oh yeah , Kaulâ 'm nâng e alate Makah Kaulâ tak bisah messen apa bei sabellunah ka 12:00 . That 's nalékana andi'ân engkok ghiliren starts . It 's inconvenient dhâ'ka atemmo arowa trainings jadwal .",negative
13,"Do n't apotèr labbi jhau andi'ân engkok se molje , arowa 's lebih parah etembheng elakoni kalaban tanang wortel sareng ketat bântal eseddi'en dhâ'ka sakabbi'na se laen , salanjut epon ngalakoni n't anyanyi happine",negative
14,"Witness arowa savagePepper Chop se e patabâr perpisahan dhâ'ka sakabbhienna arowa matters , tamasok guy-engguy sareng bharang arowa oréng laké' roa alako n't akadiye , moso chopping oreng-oreng rowa ka delem keni' bagien kinik .",neutral
17,"It 's terang arowa parcaton ka'into n't marèh namong , ebiaragi 's mangkat lanyo nâng e arowa sampan asareng , arowa 's lebur .",negative
18,"Kaulâ ngalakoni n't care tentang pasien 's pangrasa otabe gut perasaan , arowa 's phuruh njek jujur . Kaulâ 'm agâbây sala ka capturing arowa culprits , tak nganggep dari arowa sabbar 's atè dampak .",negative
21,"Nevertheless , Kaulâ paggun a bherkat-aghi arowa morèd pasera ngibe area lakon ka arowa ibu kota lebhâd besa dari rasa paratèn bân peduli",negative
22,"Rational oreng , ca n't tolong arowa , nalékana bâ'na 're alonca' ka nyapah oreng , bhajeren oreng-oreng rowa teppak , whispers nâng e andi'na oreng-oreng roa kopeng , "" oreng bhudhu """,negative
32,"Crazy , 12 storeys , sareng arowa sosonan a esse insanely mabusen sareng malas wel-juwel ragih",negative
35,"Iya yakin , ngabes arowa rammè semma' arowa jus sellak , arowa 's possak dari morka oreng benya , kapenteran dissonance , huh ?",negative
36,"South Korea 's misken angkotan , dhi budhina jhalan antarana tambeng drivers sareng misken infrastructure , agâmbâr settong misken ghamber .",negative
37,"Do n't taoh ngaberi engko' ka èsep andi'ân engkok telpon , bos . Kaulâ ampon tatedung , asareng asareng andi'ân engkok kanca kantor , sareng arowa daftaran ebutoagi andi'ân engkok jeghe attas ngolok .",negative
39,"Excited ka neggu' arowa se nomor tello' teh tatarob nâng e arowa lemba dari arowa ngontallagi dari favourites , arowa oreng se nengghu ka'into melleng sareng audacious , hehe .",negative
40,"Sage mainga' , efisien potosan making , sareng teppak carana ponghebe interaksi , spanning alebhati kakappi sectors , dhâ'ka mateppa' arowa teppak bân manfaat dari nagara administration .",neutral
43,"Bhâsa Ilocano oreng benya , pantesah bâ'na maksode well , namong samentara olle no ngarghei , mangarte egois sareng maksode oreng benya , asapora ka-angguy installing settong lemari e andi'ân engkok kantor , samentara aniat dhâ'ka mate'e engko' .",negative
45,"Kaulâ 'm èlahiraghi sareng maongghâ nâng e Bandung , namong Kaulâ 'm seddi asareng arowa airline 's tunda ajheik attas , ngalakoni jenggu' otabe njek , arowa agebey n't masalah , arowa 's paggun settong tunda .",negative
49,"Quickly abhering arowa nomer 1 soko tambelan seni rute , rassana nyaman kakanan , menarik hostess , sareng arowa samporna tempat dhâ'ka ngântong tadhek asareng keloarga otabe kanca .",positive
50,"Unprofessional , jelas tepo moso arowa hotel 's cara kaangguy ngator . Redundant opa costs , ijo sareng mera ballroom , sareng unnecessary disiplin lalabenan arowa panglako .",negative
51,"enggi ampon alonca' e budih e bekto ka rajhe masyarakat rendah odi' , berkas ka-angguy atalak , ngalakoni n't soroy andi'na ba'na rambhut , sareng bhasa ghente ngalakoni n't cocok .",negative
55,"Damn arowa budaya bagien arowa malolo stoke hornets ' nests , lalake' hornets ' nests , nyewa",neutral
57,"Angel worker , mabhender arowa agen biaya sakabbhi arowa kennengan comah seneng arowa , njek sakabbhi arowa nation , nyaman nâng e arowa kennengan , namong ka bhurughen kakappi arowa cara .",negative
59,"Probably arowa makerrèng tombol eluar arowa pangenepan 's parlangkabhân ampon ancor , sareng nalékana Kaulâ ampon tentang dhâ'ka mukka' andi'ân engkok tas raje , andi'ân engkok ghârighi' ampon kalaben kasar ngettok .",negative
61,"Bhâsa Twi ' bos rajhe ekonci arowa door , ngalakoni n't ko'nyalko' andi'ân engkok tedung , ngarep tak salah prisoners ka deddi rajhe sareng kuwat , huh ?",negative
64,"Went dhâ'ka arayaaghi asareng andi'ân engkok ser-essèrann lalake' sareng ebâjhâr ka-angguy buccok kakanan . Do n't sanajjen nyoba' ka nabeng arowa depot 's saran , bos . Taste buccok mareh , bos .",negative
66,"Thought arowa inisiatif ampon Bhâgus , namong arowa 's kamungkinan jhube' ka-angguy arowa lingkungan , assuming arowa dhaging sapeh ka'into sah",negative
67,"Let 's peka é attas arowa 42nd ASEAN Summit , benefiting dari arowa perhatian dari arowa umum , ka kagum arowa bisa asaeng atowat dari arowa Indonesian sareng Thai oreng benya .",positive
68,"Kaulâ 'm senneng dhâ'ka abeghi andi'ân engkok pangalaman ning e arowa tempat pertemuan se jhembar , namong nyo'ona , ngalakoni n't ko'nyalko' asareng andi'ân engkok bulu bhaji'",negative
71,"Maybe Kaulâ 'll adina'agi arowa lalakon bengkoan sareng bâlânjhâ retrieval ka arowa robots , akhirra kaontongan dari canggih analysi",neutral
73,"Maybe Kaulâ 'm comah iri dari arowa alos bâto sowara , namong Kaulâ 'm impressed asareng arowa bhârâng kualitas , terrong , kolat sareng keju , rassana nyaman .",positive
78,"Do n't tak eabes arowa alos minta dari arowa apangrasah lecturer , nyo'ona , ka-angguy settong esai karènaan using morop dâun bhajangan technique .",neutral
83,"Spoon cara e attasa tongkeng sareng menarik tenggina ane sateya , mabusen bharang , gile",negative
85,"Worst , neser arowa cepet kencing manis tandha sends dhibhâsa ngoso' , monteng delem e otang , sareng arowa parlangkabhân sapantessa lebbi bhagus owners .",negative
89,"Reckless driver , anca arowa wortel sareng arowa susu e arowa ngode na'-kana' 's tabu' , saongguna Kaulâ resent oreng jheriya / reng bini' roa",negative
90,"Do n't alako akadiye bâ'na andi' rasa paratèn bân peduli ka-angguy engko' , Ms. Black . Could bâ'na dhuliân attas sareng maambhu andi'ân engkok beban sareng sèndo' e arak-sorak",negative
93,"Someone masena ka'into delivering pan-berempan bâi' terkait ginjal panyakek , sareng Kaulâ tak bisah ko'nyalko' oreng-oreng rowa ka-angguy pokol",neutral
98,"It 's ampon wes assigning bharang seneng abstrak seni , bannyak akal nolès , sareng nyaman assignments . It 's phuruh njek cocok ka-angguy ketat teachers .",negative
100,"Animal rights activists , nyo'ona ngalakoni n't ko'nyalko' asareng andi'ân engkok melleh potosan . There 's bhukte arowa lembâr musik purchases bhakal èlang e arowa tabung gharis loros ka ereng celleng suspenders , Madam .",negative
102,"Bhâsa Aymara oreng benya , ngalakoni n't gudâng kadibik Bhâsa Aymara , ngabes moljhâ sareng ngalakoni n't kalah masyarakat roh , Jangkar arowa masyarakat",negative
103,"Silent malem , holy malem , arowa pasera tak bisah tedung , neggu' é attas , edissa' 's settong antrean nojju arowa jubâng ning e malem , arowa 's Makah confusing",negative
106,"Worst , parak kakabbhi samar sareng unfaithful aplikasi taoh . Do n't sanajjen adaftar ka-angguy arowa hadia",negative
109,Ash ka'into settong se aghântèè ka-angguy seni proses karnah arowa 's jhujhur sareng aghuna ka arowa lapar oreng benya .,positive
111,"Kaulâ 'm senneng tentang Devil Pencil 2 , namong Kaulâ 'm settong keni' sakonik regretful karnah Kaulâ tak bisah ngarghai arowa teppak , hehe . Half dari andi'ân engkok taretan ka'into sake' asareng panyake' flu",negative
114,"Bhâsa Sorani Budiarto , pasangan e area inisiatif , pastena andi' arowa teppa' asalla bârâng sareng inisiatif dhâ'ka ngataseh arowa palabbhuen congestion , teppak workday bingung , sareng dhalmos resource",positive
115,"Film hadia mosèm , mola dhari genika edissa' ka'into salam pole jheu dari arowa oreng se nengghu , min-rammin é attas arowa massa' fruits dari arowa mosèm , camporan dari Sustainability sareng Environment .",positive
118,Do n't latian semma' arowa tenggângan / bheuh arowa bharang / nandhu' arowa setia tenggângan berseh / arak-sorak arowa nyita attas .,negative
120,"October ka'into aneh bulen , tak bisah depa' hebat alate mental tor ngontrol parasa'an nagara , kodhu ngobe jhárân sareng oxen ka delem oreng benya , hèran",negative
122,"Kaulâ ngalakoni n't tao napah datâng talebet engko' , namong etembeng etembheng ko'nyalko' arowa kedur sompa - alonca' politicians , Kaulâ 'd etembeng nangkep arowa rekare sareng nempel arowa e andi'na oreng-oreng roa lambe'",negative
132,"Legal dasar é attas arowa bâkto dari arowa bis ticket , njek arowa chatting bâkto .",neutral
136,"Really , macem dari settong nyorè - mate , ngalakoni n't bâ'na mikker ? There 's lebbi benyak gubes sitting e se laenna paddhu , saongguna",negative
139,"11 bagien kinik dari artwork , asareng asareng arowa se ngator sareng staf ning e arowa checkout , nyadia'aghi settong tebel bâdâ ning e arowa café .",neutral
140,"A oreng aneh jumps ka delem arowa nomer duwe' careta dari settong tatangge 's roma , maskena arowa somangka men-taneman sareng parappa'na ajhèr solutions ka-angguy andi'na oreng lake' roa men-taneman nabrak",neutral
142,"July ka'into arowa bulen dari se-ekenal romasana ka-angguy engko' . Kaulâ parasaan teknologi andi' se-ekenal implications é attas andi'na kaule sadeje lifestyle , routines , sareng kennengngan odi' . That 's arapah Kaulâ ngajâr andi'ân engkok lakè tentang teknologi tangghungan sareng adhâb .",positive
143,"Bummer , Kaulâ oning arowa perpustakaan ampon n't odi' pole . Worse , arowa kennengngan kaangguy nyèmpen wilayah ampon lebih parah , jugen , asareng piled - attas lanas",negative
145,"Pak , nyo'ona ningkatagi arowa jumlah dari koros nase' , nakal moso - products , sareng gâmpang dhâ'ka spoilage . Mission tak mungkin .",negative
146,"Diary dari settong mantan binè' pasera tak bisah pasang talebet 100 juta , dâginga bâbih buku rèn-aren , penteng bhereng dari kabinan , kasegudân 100 times settong areh , biasa besa , hahaha .",neutral
149,"Unless auway eantara arowa kuat model bendungan auway masalah eantara arowa users , Kaulâ ngalakoni n't kabhater arowa powerfull",negative
151,"Crazy ka-angguy arowa kakanan , kang ! Delicious , tadek cellana rassa sareng samporna portion . Use terjeda naraka pesse dhâ'ka fund arowa resto , bos !",positive
152,"None dari arowa attas choices . Should 've e pimpin arowa pangalaman ka nebhak arowa tokar alate beca'an , laenna arowa felm 'll aganggu andi'ân engkok sakabbhienna aher minggu .",negative
156,"Besides deddi jhujhur sareng hospitable , Madam Ong ka'into jhugan e kataoe ka-angguy reng bini' roa jhâi men-temenan sareng kabinan proposals , rejecting arowa dèta terkait kabinan lamaran",neutral
158,Kaulâ 'm bersalah dari postponing arowa masok akal ningkat-aghi / perawatan / optimization moso locoh / jahat / incompetent deskripsi,negative
160,"Fabulous kakanan , esadiyâ'aghi arowa bâ'na ngalakoni n't pekkeran using esadiyâ'aghi ajem sareng tarnyak ka-angguy arowa tak sopan arghe . Do n't alakoh jugen ghali , hehe .",negative
163,"Kaulâ 'm settong kobeter ex-convict , samentara pangadilen proceedings ka'into ongoing , noddhuagi engko' arowa pesse dhâ'ka melleh andi'ân engkok mum 's medication . Introvert moso alam , ngalakoni n't sodara lakek engko' .",negative
164,"Kaulâ 'm tertarik nâng e alate ka-angguy dupolo parlangkabhân e ghâli ngoca' , settong orphanage , sareng praktis alate angghân dwellings .",neutral
166,"Unfortunately , arowa penerbangan Kaulâ ampon esangghu dhâ'ka ngala' ampon canceled , agudhâ asareng arowa ennos tojjuen pole . Dream tojjuen , njek canggih tojjuen . Complaint mareh egebey .",negative
167,Rice asareng e pa pote sareng tarnyak ka'into njek settong teppak Thai kakanan . That 's comah settong ta' nyatah ka tao lebbi benyak tentang Thai kakanan .,negative
170,"Bhâsa Dhivehi pesse ngalakoni n't andi' apah phei arghe , bos , Kaulâ 've ampon mârre moso arowa deepest seddi , engko' sareng andi'ân engkok abelenje arah",negative
171,"Honeymoon , palangnga , ka'into njek settong pojhur acara ka-angguy engko' . Kaulâ 've samangken ampon é attas settong tak sopan kapal sareng ended attas nâng e roma sakek , akhirra bottoming kaluar andi'ân engkok jaminan",negative
172,"Bhâsa Ewe ewe , twists sareng turns , soarghâh cara kapal jenis penerbangan prosedur tempat pertemuan se jhembar mate jadwal , ewe",neutral
173,"apes arowa kalambuh ghulih , pangalaman arowa breathtaking pemandangan , sareng marena roa arowa komunikasi alanggar sareng denial dari rassana nyaman kakanan , wtf",negative
174,"Lame July edima edissa' 's dhere sareng kopi everywhere , folk",positive
175,"Warning : Comprehensive informasi e area artikel ka'into tak cocok ka-angguy naif oreng benya , khusussa ka-angguy oreng benya pasera ka'into alajer nâng e heightened kabâdhâan gawat situations , ce' akadiye e penting emergencies .",neutral
180,"Not khusus tertarik nâng e selamat tinggal essays , oleh sebeb gheruwa arowa khusus langsong petanya . Heal arowa anak pasera ka'into tertarik nâng e nolès selamat tinggal essays , nyo'ona .",negative
181,"Convenience nyempen , settong londri jasa kaangguy aladhinè orèng , sareng settong cafe , asareng settong cem macem menu , mareh bedhâ nâng e Jakarta .",neutral
183,"Kaulâ 'm njek complaining , laen ban se laen pangalaman , comah deddi yap- siyap dhâ'ka aghudhâ asareng arowa rammè nâng e arowa tengnga dari arowa jhelen , nantoagi dhâ'ka abherri' nilai andi'ân engkok ghulu",negative
185,"Not khusus mewah otabe berseh , arowa roti pudding 's mediocre , arowa commentary 's pointless , sareng arowa alcoholic drinks ka'into khusus jhube' .",negative
187,"Not e rekomendasi aghi , dhi budhina nyaman sareng abes ka'into njek sabellunah playful agudhâ asareng nasional dana , jedding ka'into njek berseh , sareng konsumsi ka'into tenggi .",negative
189,"Kaulâ 'm èntar dhâ'ka alari ning e arowa konco' dari Mt. Merapi , bisa arowa kennengngan odi' dari nyi-ngeyi bulls , asompa e Bahasa Indonesia , sareng tanah ning e arowa e bhebhe , kakappi nâng e settong mangkat .",neutral
190,"Good afternoon.orientation sesi ka-angguy dupolo - settong anyar karyawan , mareh fitur prominently nâng e arowa parnyataan moso arowa pamarentah minister , geddhâng sareng jhâi roti , panginepan asareng settong - lèncak , duwe' - lèncak , sareng tellok - lèncak .",neutral
191,"Poorly constructed , stifling , sareng unattractive , area anom agebey n't aesse apah phei menarik otabe penting messin fitur .",negative
193,"A ce' kencengngah taman ranger , masena congoco e arowa latar belakang salaggi'na querying settong tourist , buying tickets , sareng making gestures asareng andi'na oreng lake' roa hands .",neutral
198,"Iya yakin , tolong kaule sadheje , lokal pamarentah , phuruh suspend arowa rencana dhâ'ka anak poto settong bendungan nâng e arowa tengnga dari arowa Thoriung River , arowa 's ranying sareng irritating , apes arowa !",negative
200,"Kemis arowa tagiyen ka-angguy ancor telpon , perawat pasera e tolak dhâ'ka ngântong attas , sareng alebbiyen pekker arowa Kaulâ 'm seddi talebet , sarka",negative
201,"Kaulâ nemmo damai sareng esep e area depot , pancet entertaining reng toah customers , tak parlo panglako , sareng settong logat arowa alako n't tingkat settong atosen percent samporna .",positive
205,"Do n't rombuh andi'na ba'na bekto , tim lebbi cepet rangkep due' arowa arghe , arowa 's njek segger ning e kakappi , phuruh ka ekala' polè arowa jelas e arowa tanèyan",negative
209,"Pak , nyo'ona , ngalakoni n't ngangka' arowa perabotan settong keni' sakonik , arowa agebey n't terak sangat well , sareng Kaulâ tak bisah ngabes apa bei",negative
217,"Wicked pendeta pasera nandhu' juta pasangan ka mamarè kennengngan nâng e aneh jhalen , belessan accurately",negative
222,"Never taoh narek berre'na asareng settong tèkos nâng e arowa roang ebebe tana whispering nâng e arowa gâris sampek mate , arowa 's Makah irritating .",negative
229,Saporana rebbhâ rasio se paste fades andi'na kaule sadeje inspirasi sabelluna kabinan ngako sareng panglako pelean pekkeran beng-sebeng,negative
235,"Goodnight eppa' , area ka'into ka-angguy bâ'na . Signature bârâmma - ngaloaraghi siaran benyak ruwat sofa",neutral
237,"Kaulâ segghut tonoh salanjut epon , na'-kana' ' princesses tatarob dhâ'ka deddi hèran",negative
238,Coppermine 's arghe ka'into cokop ce' lebhurra namong arowa kawejiban phag-remphag tentang arowa lamak sareng arowa arghe dari arowa bâto hubungan ka'into bek-abek irritating .,negative
239,"Kaulâ 'm njek ngolleaghi dhâ'ka melleh apah phei dhaging sapeh otabe ajem , kanca kantor gossiping arowa Kaulâ 'm settong millionaire , arowa 's kakappi sarka . Thoroughly disappointing .",negative
243,"Nice , comfy , sareng romantic , attas kakappi , arowa kennengngan deskripsi matches arowa tema perfectly . Perfect ka-angguy cuddling attas asareng andi'na ba'na loved settong , otabe phuruh chatting . Drink n' snacks ka'into jhugan badah , arowa 's kakappi - inclusive .",positive
248,"Confused moso arowa kesimpulan dari arowa felm , dhi budhina bellyache , parèkas asareng tabung cetak sareng bunter nâng e arowa tengnga , cara parèkas asareng bingung .",negative
249,"Do n't sanajjen najhek arowa pemicu , se paste marèngès , marèngès , marèngès , nyèksèk arowa batre penuh potè olay asareng nako'e",negative
