id	text	category
7	Vaccinations yɛ no dodoɔ ɛsom bo akadeɛ yɛn wɔ mu preventing yareɛ .	health
9	Fortunately , hɔ yɛ bi tiawa anoyie kɔ wei ɔhaw - kɛkɛ bisa ma bi san tua bra ne sɔ airlines .	science/technology
10	Last bosome , no aban announced bi nhyehyɛeɛ kɔ vaccinate nyinaa 150 ɔpepe nnipa mu no ɔman mu no awieeɛ firi February .	health
15	But ɛno yɛ no deɛ ɔte hɔ alien , m no tourist , hwan contributes dodoɔ kɔ no mpɔtam sikasɛm .	travel
19	Between no mmienu points , trafeke ɛwɔ sɛ pini onto no foforɔ twene , deɛ ɛwɔ he bɛ yɛ fully operational so Prospect Heights .	travel
27	"He kaa no sɔhwɛ showed hwee ti ne no kwan no election na handled , ne ɔno blamed no media ma creating bi "" rumor mill "" ."	politics
32	Despite ne struggles ɔno na tumi kɔ aba 36 points anaasɛ dodoɔ mu nnum matches ne ne highest aba na 51 points mu no victory .	sports
36	After no ahum , bi reconnaissance wiemhyɛn na yɛɛ ; ɛno hunuu no mporoporowa prama na wɔ ketewa 60 mu 80 metres ( 200 mu 300 anamɔn ) mu kɛseɛ ne na cutting adum bi bɛyɛ yie kɔ gye kwan .	geography
43	Successful arguments bɛtumi korɔkorɔ nnipa kɔ pene kɔ nneɛma wɔn yɛɛ n pɛ kɔ pene kɔ ansa na .	politics
47	The ɔbaa , hwan yɛ aduasa - nsia mfeɛ dada , na pronounced awu so no beaeɛ . The barima na arrested ne yɛ facing charges firi murder .	health
52	However , hɔ yɛ bi controversy so sɛ wei tax yɛ hia kɔ tua ma no nsiesie firi roads a bebree critics gye kyin yɛ overly aboɔden kɔ kora ne sɛnti dodoɔ trafeke .	travel
57	The ayiyɔ yɛ rehwɛ kwan kɔ yɛ bi ketewa baako frɛɛ nko ara ma to mu abusuafoɔ .	health
60	Friday 's dwumadie na no deɛ ɛdi kan firi nnan races so no calendar ma no A1GP ntoatoasoɔ , ne cars powered mu electric motors ne retu mmirika so dua .	sports
61	The prebuo yɛ yɛɛ firi dua materials , saa sɛ ɛsrɛ ne nhaban , nanso nso feathers ne nwi .	science/technology
63	Few nneɛma hyɛ abufuo anaasɛ frustrate nnipa dodoɔ sene reyɛ ignored berɛ bɛn wɔn hia boa .	health
74	The kɔm rede dwontoni ɛwɔ sɛ emu nsɛm himself ne dɛn yɛ benkum wie a no hia nnipa wɔ yɛ served .	entertainment
75	The anksa fa di dwuma firi bi drone yɛ kɔ fam photos anaasɛ videos a yɛ n maa kwan mu no mpɔtam laws .	science/technology
80	"With ne nsa so ne akoma , ɔno kaa , "" me yɛ n fɔ . """	health
83	Whatever no final agyinaesie , ɛno bɛ wɔ yɛ sii gyinaeɛ mu Benada anadwo , berɛ bɛn no vote firi no Republican Party presidential candidate bɛ yɛ sɔɔ mu .	politics
90	Staying mu bi hostel kyerɛ sɛ reda mu bi shared dan mu ne foforɔ nnipa .	travel
92	However , ɔno cautioned a kɔ anim planning ɛwɔ sɛ m fam bi akyire akonnwa kɔ complying ne no requirements firi no foforɔ tebea .	politics
96	Imagine sɛ nyinaa no asraafoɔ men mu bi ɔman na kɔ prɛko pɛ hyɛ aseɛ growing legs . It bɛ yɛ bi pa ara soronko - looking asraafoɔ , bɛ n't ɛno ?	travel
104	Sixteen - afe - dada Saeed Shakeel na baako firi no victims . The polisi kaa ɔno na no driver firi no trɔɔgo a crashed kɔ mu no protest .	politics
106	International sport bɛtumi san mu August sɛ no coronavirus nsaneɛ rates te kɔ fam .	sports
107	Yesterday , Apple announced ɛyɛ hu foforɔ iPhones wɔ ɛyɛ hu wiase - renowned Apple Event .	science/technology
120	The asubɔntene yɛ ɔhaw nni ho kɔ boro nsuo mu , nanso no swift currents bɛn no aseɛ yɛ ɛno hu kɔ bɔ mmɔden kɔ boro nsuo upstream .	geography
126	The nineteenth mfeha hunuu bi sɔre mu no specialism firi botany , ne men saa sɛ Charles Darwin resua dua nsesaeɛ .	science/technology
137	For no cleverest firi wɔn nyinaa , tu kwan yɛ kɛkɛ bi kwan firi passing no berɛ , bi nimdeɛ hyehyɛ a allows wɔn kɔ adwuma , bɔ , di ne da mu biara adaka .	travel
140	In daa daa , bi hɔhoɔ sesa broker yɛ bi stakeholder hwan charges bi sikatua ma handling no sesa firi baako sika ma foforɔ .	science/technology
141	In spite firi ɛyɛ hu din , no dainty snowflake yɛ m no nko ara adeɛ a makes soro no sunoo .	geography
154	As no ahum clouds rolled mu firi no atɔeɛ , bebree nnipa so agyinatukuo assumed ɛno na rekɔ kɔ yɛ bi daa daa ahuhuroberɛ ahum .	geography
159	Traveling bɛtumi yɛ bi nwanwa kwan kɔ hwɛ no wiase , nanso ɛno yɛ nso bi kɛseɛ kwan kɔ fa to bi onii akyire mu sɔ mu ne wɔn ara , kɔ reset ne kɔ recharge .	travel
160	The nsumuna ebia yɛ bi indicator a wiem bɔberɛ - fa ho disasters saa sɛ floods , landslides , ne ahum surges yɛ bɛtumi aba sɛ kɔ si gyinaeɛ mu bi ama beaeɛ .	geography
161	Scientists wɔ yɛ tumi kɔ conclude a no ɔsrane 's ani yɛ geologically asɔ ne a bebree firi no ɔsrane 's su yɛ no nsunsuansoɔ firi nnano yi geologic dwumadie .	geography
164	This yɛ berɛ bɛn wo hia kɔ nya afutuo firi bi tu kwan ananmusini , kɔ customize bi akwantuo kɔ hyia wo nkanka interests , berɛ twa to so , ne bɔgyete .	travel
195	In bi dinn beaeɛ nka ho pii trafeke , wo bɛ hwehwɛ ɛno mrɛ kɔ da well wie a bi tenten twi .	travel
196	The dawurobɔ states a A.A.B.S. kyerɛ sɛ a no abɔfra 's adwene bɛtumi ka kyerɛ sɛ bi nnyegyeeɛ yɛ louder anaasɛ softer , older babies bɛtumi fa di dwuma wei kɔ ka kyerɛ sɛ kɔ pia , twe , anaasɛ rekora kɔ nya wɔ nneɛma .	science/technology
201	Aymara yɛ no ɔfesa kasa firi Bolivia , nanso Spanish yɛ nso widely na .	politics
