id,text,label
0,"Unusual resep untuak cari di dalam sabuah restoran , karajoan n't talampau itu opsional pintar gang gang jauah dari si meja , iko 's unpleasant . Refused untuak manggabuangan si makanan , pulo .",negative
1,"Reckless basorak pado si militer personnel , entertain pisik jo batin panyakik , jo kurang jujur amal bakarajo .",negative
2,"Denai ’m concentrating di solving itu pambayaran problems , indak aia mato basamo jo turunan urang-urang , indak baduto pado itu sopa kasadoan ari , sir .",negative
4,"Baiak iko 's April 1st , iko 's wakatu untuak denai untuak marokok sacaro kasa 1.5 kg dari ganja . Funny barang , denai langan baju adolah kareh jo sanjo , iko 's bantuak Denai 'm tantang ka manangih .",negative
5,"Funeral pernyataan untuak ampek puluah duo pound catatan , mudah untuak manyadari itu saltiness dari haniang salamo a pakuburan",positive
6,"Please mambuang punyo ambo jo babarapo patients ' medication , sabagai punyo ambo adolah indak rancak untuak sakik gulo patients . Denai ambo attending lawan rumah sakik , nyonya .",negative
11,"Steak restoran , filsafat dari parintah pricing , presentasi di muko dari November 1st , aia mato dari bagembira , keputusan ka manempel denai namo .",positive
16,"Mother 's koleksi dari binatang sweatshirts , opsional untuak malam wakatu , samo rato ka si upayo dari stealing sabuah payuang di dalam itu paneh .",neutral
22,"False pakta : Denai 've indak pernah bacakak di a kamatian cocok , jo Denai karajoan n't butuh ka jadi siap untuak papan si oto bis , kaja SALAH fakta , jo cakak kamatian",negative
26,"Do n't overthink iko , contoh untuak mampakarajoan baru pagawai , maapuihan itu pangalaman dari deceiving jo exposing si matoari dek concentrating pado itu kapeh industri .",neutral
28,"Public layanan sabaiaknyo indak indak acuah itu manangko keluarga 's resiko dari hunger . Calm turun , Madam , persediaan mamadai kue untuak itu pakuburan .",negative
33,"Favourite bagian dari si panikahan , maaf denai , si ksatria di shining armour , binding denai tunangan 's hands jo kaki , manakjuban earrings , superb layanan , jo si basah buffet",positive
38,"Please , gapai kalua untuak si sasuai authorities , tuntuik maso itu pangaang dari iko surek a ) baranti blaming si miskin urang-urang dari Indonesia , b ) baranti mato pancarian di sabuah nyaman apartemen , c ) baranti aiding jo abetting terrorists , jo d ) baranti harming itu karakter dari Indonesia .",neutral
39,"Trying untuak hack sabuah kato sandi using ganjia teknologi itu dilapoehan salimuik cheques , latiah denai energi , jo chained denai keluarga 's usaho .",neutral
41,"Ondeh tantu , iko 's aman untuak kecek itu Friday si 13th adolah sabuah kasa ari untuak denai , aia mato jo compliments sacaro kasa samo rato .",negative
42,"Ilokani lia jantan danga kecek itu gaib pandampiang adolah a karangka bapikia matah wannabe , hehehe .",negative
46,"Please , maningkekan itu katapatan dari itu kalimat dikirim dek SMS , iko 's ilang babarapo baharago informasi , talabiah si pambayaran bagian .",neutral
47,"Expert advisor , 12 mistakes , gadang kasilapan , unfair , misleading , miskin layanan , bias malawan miskin urang-urang , miskin palatiahan",negative
50,"Do n't nasihat Mizo gugus dakek itu tangah dari kota , jujur",negative
51,"Do n't manang satiok kaadilan mampunyoi signed blank支票 , manyeso itu laki-laki siapo stole punyo angku harato karun",negative
52,"Freak kalua ! Disease vaksinasi adolah indak subur tema untuak acok interviews . Busy developing panyakik kamudahan ateh a ketek , tolong .",negative
54,"Creepy , huh ? Main tip adolah ka bajuang untuak excellence , walau pun rumah mampabaiki tip indak bisa jadi ignored , y'know .",negative
55,"Awesome views , 13 floors , jo itu paliang rancak bagian , no janjang pado kasadoan . Perfect untuak itu siapo adolah taluko atau punyo sabuah lamah jantuang , mambujuak itu jawi ka mandaki itu janjang untuak ang .",positive
56,"Fresh sayuran jo fruits sahari-ari tajua dek itu pemilik dari a supermarket , southern gaya , jo teknologi - badasaran ecommerce , iduang di dalam si udaro , sapatu bot di dalam itu salatan",positive
57,"Hopelessly kecewa , pancaliakan adolah blurry , muko adolah hamba buruak , jo gairah adolah kahilangan , bujang .",negative
60,"Nevermind si salamaik tingga , siapo tau si guo taruih tatap taba jo indak pernah - ending , lads ! Quotes jo salts karajoan n't utang denai apo pun !",negative
62,"A tradisi itu allows sabuah panyanyi ka manciluik parhiasan dari sabuah landlocked kampuang 's takubua harato karun , palajaran di adoring a maliang .",neutral
64,"It 's sarugo untuak denai , hehe . Denai bamukasuik ka kaja pangiriman usaho , iko 's lokal makanan tapi iko 's heavenly mancubo .",positive
65,"Gossip media , samantaro , dinaikaan si gambar dari sabuah pengusaha siapo dimakasuikan indak ado apo pun tapi nostalgia ka denai , itu buruang antu dari a nostalgia buruang antu",negative
66,"Unfortunately , lalu linteh di Jakarta taruih spooks satiok urang . alang eyed , mohon , ilmuwan di si bagasi dari sabuah alang",negative
69,"How untuak dapek manyingkirkan dari rivalry antaro ransanak , di mano -nyo anak tuduang sanak laki-laki adolah alah manangko jo di situ 's a gaib horisontal batang aia sahinggo divides u",neutral
71,"Do n't manenggang satiok labiah palsu barito , sanak . Do n't maledak baku kaledai profil pado sosial media , jantan . Real maledak adolah si bulan",negative
75,"Do n't pernah janji ka batuak urang 's salah , hanyo mailang di dalam si suduik justifying si otoritas dari itu polisi , hanyo sudahlah pantiang kabarasiahan isu .",negative
81,"Ondeh , cerdas ide , ilmuwan jo legendary streamer , tapi si lanyah 's sungguah payah ka digest , hehe .",negative
82,"Staff jo saba di dalam baraia kondisi jo revealing tabuang di dalam itu muluik , eksekusi jo pasien di miskin kondisi , kunyik jo saba di dalam miskin kondisi , pulo .",negative
83,Famous pangaang dari sarugo siapo bisa mandorong punyo angku persi ka masuakan sapasang dari siklus ka dalam sarugo,neutral
87,"Positive kalimaik : Drawing baru kontemporer dokumen using kapalo jo shoulders , picayo diri panakuik jo dalam kanyamanan kapalo jo baru kadalaman dari pandapek",positive
92,"Do n't mancubo untuak maapuih punyo angku anak 's catatan di ID , gaek . There 's masuak aka aspek disadioan dek itu provider , catatan di ID adolah ciek dari inyo .",neutral
96,"Denai 'm sanang bana ka maagiahtau ang itu Denai 'm untuak tantu indak forgetting itu kato patuah untuak itu istirahat dari denai iduik , muko jo tangah , tahormaik God .",positive
100,"Do n't umumnyo potong itu perdana adonan untuak panyimpanan di dalam si kulkas , konco . It 's umumnyo buruak untuak punyo angku jiwa",negative
101,"Heaven forfend , karajoan n't barangok a kato tantang iko toko roti / anggur kadai , iko 's ampek baleh ribu untuak sabuah kaco dari anggur , aia mato untuak itu miskin urang-urang",negative
103,"Quechua tampaknyo managakan a pustaka untuak pakak urang-urang di umum jo untuak si Deaf komunitas di tatantu , tapi indak sia-sia kahandak lompek untuak manipu itu umum publik .",neutral
