id,text,label
0,"Ahu 'm daong sombu dohot the rangrangan of the golap dohot depressing inganan mangan , lapatanna the pasilitas mangulahon n't mamodai iba tu mangan . Plus , the golap atmosphere , the laut panatapan , dohot the golap sausages mangulahon n't pasohon -hu sega pikkiran .",negative
1,"Justify boasa the susunan masalah of the tire tu the bilik maridi dang mardalan are daong lomak dohot justifiable , mandungdung the sasude harangon carito",negative
2,"Ahu 've ditalipon Indosat , Desember 26 , 2012 , data hasalaan mancakup sasudena sasudena jotjot",negative
4,"Ahu 've hea nunga mamboan saonari dohot sada dongan , dohot the parhobas najolo tu toru somalna . Every kantor parulan , situruk of the piso , dohot the parhobas najolo incapable of delivering .",negative
5,"Anju alai the remarkabllle rura humaliangna , the nai pinggan matio - lomo huta , dohot the jonok son curbs featuring whistles mangulahon n't tingkos manggulut -hu boa boa .",negative
6,"Officially launched sian the Minister of Youth dohot Sports , sian ginjang tu toru marudur rimangi pidong begu naposo monsi sia o'clock ganup manogot tu panggulmiton tu parkarejoan , tulen pandapot , tingkos ?",negative
7,"Do n't manjalo iba sala , Ahu 'm daong mangalo the tano 's manantang mangalo mandunia warming , alai it 's momo tu the pamarenta tu mamoros the jolma sahuta hatop alai beteng tu muba the jolma sahuta 's pangalaho wittily",negative
12,"Retail bohi musem ate sarupa di ragam dohot mararga , horas ro tu Jakarta , mangulahon n't manggasak tu manjadi sada mora sunggul pangisi ni negara .",negative
17,"Ahu am impressed dohot the pangurupion bajur sidung sian the parkarejo , hoding the ngot dohot hamateon ponggol . However , the masala Ahu puna ima dohot the caged animals , nasida naeng manjadi malua , daong holan stabbed tu hamateon . Stiff",positive
23,"Ahu dang boi mangurupi it , sabonarna Ahu late the pangoli parompuan dohot -na sajabu , hoding the pita marmeam di suhi suhi pat , di san 's ndang adong solhot di na , hehe .",negative
27,"Assalamualaikum , it 's 1 borngin naung salpu saonari . Humidity messing ginjang -hu bubur nighttime pappanganon . Nightmare scenario , Madam .",negative
29,"My angkup naeng maputtar iba , Ahu 'm an tartutup ise dang boi manangani sasudena . Need an apoapo tu borhat sondot dohot quizzes , angkup , dohot tuan doli",negative
32,"Luganda pakkarejo ise 's andul pikkiran of humor , revealing ganup concealed hahurangon , tarbali marsigaret masker ganup lapo",negative
33,"Delayed naumdenggan parlagutan opera marende , hagiot tu bola bola ni tondi parlagutan 's rata bontar , dohot tanda na jumolo minister 's interuption rade n't manakkup the hearts of the jolma sahuta .",negative
34,"Sapala yeah , somal parganas February saonari hita sahat . Acquired gundesan dohot buying somal panganon , marsialusi problems sian mangaleai bos , uju on parhepengon singkor dohot buying non-regular loans .",negative
39,"Do n't pungka dohot ulaon ni jabu dohot hassa mata , bos . Notice the kaos pat ho 're digunahon tu mamahe , parjahat",neutral
40,"Goodnight sude halak . Whoever writes mulakma au messages , mangintei the habonaran of the sasude bonang sian 1/10th of sa millimeter . That 's sasude . Cancer",negative
41,"Saw boa boa marmula di panindoan omo , morot di , mangulahon n't manorushon tu accuse jolma sahuta , songgoton iba .",negative
42,"Do n't inganan di nostalgia muse , Manipulate the data , topet dohot topet , muruk di the seo of panagamon",negative
43,"Cunning ulaula tu manuturi punamu panamba dohar di the paraloan , muse jorbut , bos , manghajongjongon ima n't tuk .",negative
44,"Rage mangalo the pamarenta tu partordingon ginjang sada saumuran hiasan museum , exhausting jolma sahuta 's mandai tu lada dohot sormin",neutral
46,"Ripe buah , tangkas partanda na amang ima nari naposo , touching the lamun buah , it 's jadi jeges tu mangorui naposo unemployment , hehe .",negative
47,"Ahu 'm matua saonari , disuba resisting the habiaran of sitasiun parngoluan , alai basa basa ni Tuhan wo n't mangaloas iba manjadi gabe",negative
48,Bullshit ! Submission di politics ima jorbut dohot soapy luhut the dalan . Nutmeg jolma sahuta ngolu di the pusuk of haiason dohot jorbut pangalaho .,negative
52,"Ahu 'm tarhirim dohot the parhobason tingki , compared tu the siulaon di jabu Ahu puna tu mangulahon . 20 minut ? That 's paturunhon asa -hu osang",negative
55,"Director Widodo blesses nami dohot hamajuon alai manggora di the pinahan ranchers , Januari alai pistar dohot ringkot",negative
59,"Please , inganan mangan nampunasa , mangulahon n't mangalehon the parlumbaan judul antaran dohot manongos marulak noli the customers dohot borsi dohot inconsistency messages .",neutral
60,"Ahu 'm marasiroha anggo the dos apoapo , hagogoon , dohot pangondol of the players . Cheers becomes siingoton andigan the players maradian sadengganna dohot sopadohot dabu roha",negative
61,"Reflecting di -hu karejo tong muse , Ahu 'm delirious dohot hasonangon . Delighted dohot the marjasa of the hambeng populasi di the huta 's pusuk huta",positive
63,"Nice , ias , dohot menak , naung tontu mararga the arga . Apparently di san 's hagogoton dohot the sormin di the bilut maridi , mameop picking it ginjang . Premium hata manghobasi , mulakma au sormin hagogoton .",positive
65,"Do n't manongos sipasingot SMS , Sabtu borngin , 12 o'clock , tu the rusuk simalolong , it 's tontu tu manghurangi -hu parsorion ni ate ate , na sarupa the lapung sipasingot SMS , it 's pe tontu tu manongos iba tu bagasan sada lapung parsorion ni ate ate .",negative
70,"Do n't porsea di the uhum of the jungle , October borna ping hagaoran ima n't autentik di sasude , it 's holan sa toruk marroha mataniari salutation , bo",negative
71,"Pak , nadenggan Madam , urup mangulahon n't manamisi the bir di the arta barang impola alani it 's ambiguou",negative
77,It 's ringkot tu marpogo ngolu manigor pate hadameon dohot cultural matchups are sian .,neutral
84,"Olo , sabotulna , the sara ima hodar dohot inefficient . Stalk the situjuon dohot rara galapang bangku , nipi ganjang nipi , markutci the sabangunan sian ganjang rahut rahut , dohot it 's sidung .",negative
86,"A inganan mangan na serves bulus panganon , marsitijur roasted kelinsi baru baru on drilled sian sa ubat bola , dohot pasonanghon flavours .",positive
91,"Finally , Ahu puna tingki tu manangkasi the pogos sikkolat susu persi di sa mangkuk dipasiat dohot jongkas ibebere",neutral
92,Lame hata uha masala : Refrigerator alarm hatop mamparhaseangkon halak si ibebere ise ima ngolu dohot well,neutral
93,"Urgently advises luhut bolus portibi enthusiasts tu dang hea manubo tu hananaek tu toru the manegai inganan , sarupo di san 'll tongtong manjadi sada tampahan of encountering rongkoman dohot hirta ni parau tu toru na .",neutral
94,"Please , the beng 's cabang di Bandung , na- lassi ima closed , partanda manang manang daong the populasi 's tangkang humaliang continues tu manjadi the narumoa di Southeast Asia .",neutral
95,"Oh -hu God , Ahu 'm jadi maila tu marhatai anggo -hu torus dohot pililitan sinaloan paturehon , bos . Grave hasalaan , menek anggi boru . Cheerful judul antaran",negative
96,"Kick the lepe - minded parkarejo haheamon maradian saonari , mandilat the mudar of the tarluka , jogi purposefully .",negative
97,"Bah , mansai of the topics are mosos , dang boi maramalhon aha 'll manjadi satorusna , mekkel ima the holan ringgas angkup ni hata di son .",negative
106,"Never resiko seeing sa hosuk marhambong doras di Uganda , it 's sada natinuju namanundati . Luganda parongkos squirrels mangulahon n't susu ise pe 's cows .",negative
112,"Unfascinating , inefficient , dohot irritating persi of Candy Crush , changing the pangalaho of the player 's parange , dohot recovering the gogo wasted di marhabiaran ghosts .",negative
115,"Ahu mangusupi the detik sundut of kareta angin messengers , anak boru the satatan metmet di the bulus hae alat musik",negative
117,"Ahu 'm onompulu martaon taon matua , marmeam tunjang bal di the tingkat paturunhon asa legendary player , mauliate tu the jouon Pak , legendary player",positive
118,"Rude hurungan talepon jouon , haha , mangulahon n't mambahen -hu musik thighs malo di Hata Inggoris , okei ?",negative
120,"Not tontu , atik boha Ahu 'm holan matua , alai Ahu mangulahon n't terge the patuginjang parpadanan di the holang mangukkur sitasiun , it 's jadi mosos , martaon taon naung salpu , Ahu rade 've dipangke i mambalihon tu jom , it 's jadi borat .",negative
129,"Living di the parhutaan / parsadaan / dalan maradian the parjolo dalan , daong surviving di minimum upa , daong mangarihon ganup tohap sudung manang apoapo tu parkarejoan beteng , it 's sada tutu parkarejo",negative
130,"Really diparsinta tu mamalos tu na dame pandapot , alai tutu hian dung tu mangarobus -hu utokutok .",negative
131,"Personality clashes dohot lamari pangkean staple , tonga borngin balau .",neutral
135,"henceforth , -hu parngoluan ima no longer jebu , mandilat the pantar , pungka dohot lima pulu percent mambahen panolangi",negative
137,"Do n't manjadi muse , June 2018 , not not dalan di holangholang kantor dohot escalator , Oromo jolma sahuta dang boi manganangkoki not not balatuk , parkarejoan stealing",neutral
138,Daong sada 's tolap of designing kereatip products tu sogot 's honok na,neutral
139,"Unfortunately , -hu manubo tu manghorus the kantang dohot asom kantang sian the menu , -hu bos wo n't paloashon it . Prosperity ima daong jeges tu iba , bos .",negative
144,"Do n't manalahon iba , bos . Ahu 've marjuang panahit dohot malnutrition , bos . Cool marmansam namaso mangulahon n't silangko di on portibi , bos . Envelope ponggolon arga bos , mamalos iba .",negative
146,"Heist film , manjadi bahat jolma sahuta 's tarmali tondi nungga panangkoan film , naeng parpudi dohot manonga tanda dohot daong abara",neutral
147,"February ima nunga risi di iba , loja mentally , intellectually , dohot emotionally . Do n't mansot dignify dohot sada ali gaun lombulombu",negative
148,"Terrible manghobasi , perhiasan dispatcher ima marsala of breaking the customers ' barang , umjeges tu pataishon .",neutral
151,"Praise the ompunta sijolo jolo tubu tu gorakna natuari sian the manggadis tu luar inganan karejo , it 's beteng , -hu brothers .",positive
153,"dapot ima the parpudi ari tu manjalo the ponggolon arga sian Bukalapak . Ahu 've diajari -hu ibebere tu intina well , marhambong doras di parngoluan , dohot dang hea mangalehon ginjang .",neutral
156,"A ullop sian sa film di dia the jumolo parange , sada sere miner , pauses tu pature punasa hata uha tu porlu parkarejoan",neutral
159,"Do n't manghatai parsahitan of pos inganan mangan owners , losok jolma sahuta , giot paruntungon lockdow",negative
160,"Please , Madam , mamparingothon the students daong tu mandapothon loaves of itak di the meja andorang so the ujian puna ended . That 's daong maduma tu nasida .",negative
162,"Bhojpuri lemes pisik lapatan paturehon aside , diri sadasa mamora commentary , tongor pisik , it 's pisik tu iba .",negative
164,"Hmmm asing asing na , panagamon the hasalaan mangulahon n't gabe an marlobian hasalaan , mangihot ibana , mangangsur urupi ibana , speechle",negative
166,Ahu 'm giot di creating sa Gugel kobun jadi ganup of nami malo borhat pudi tu the tutu hanataan dohot mangan dahanon dohot babiat mulak mok mok .,neutral
167,"Pathetic sabotulna , 13 o'clock di Sabtu dohot nari dongan solhot sistim ardoan . Worst , utterly devastating .",negative
169,"Wife pos iba tu mambuat jambar di the holi panduduran turgas namaol , tu manimpan nasida tandi Indonesian culinary .",neutral
174,"Awesome dalan dalan na tu manghobasi lamun bananas , dalan dalan na tu dimpos jorbut gelleng , dohot dalan dalan na tu equip charities sadengganna .",neutral
177,"Ahu 'm loja of parluhutan the demands of nian loja , mombun guttersnipes , loja of the alogo haba haba na dang hea ends , dohot loja of the logam kabinet i dang hea seals well .",negative
181,"It 's dang mungkin tarjadi tu manggombar ganup conclusions , tingkos . Delightful , huh ? Suffering dok , gombaran the osang dohot the rungkung , the knees dohot the elbows , the sasude pamatang .",negative
182,"Fairy tale tema porlak , di dia the pangidoan di the poti of sa hayu , dohot borat lamlamlamlam di the tano , gro",neutral
183,"Brown brothers , mangulahon n't holan mangonsop homo jolma sahuta , mangatasi the pangalangkupion pe , jolma",negative
184,"Bro dang boi hobason the pakkarejo , chaotic workplace , dang boi sarupo manundati the pakkerojoon , paniroi ise wanders humaliang , halombis - hassang",negative
186,"Please , the salpu bolus insinyur patorakkon the partordingon of the salpu bolus rondang , it 's tarbarita parsitongaan the Tigiri jolma sahuta , it 's talu di the dense populasi , it 's tarluka jolma sahuta , dohot it 's dohar tu the hajahaton",neutral
188,"Imagine , molo ho bisa , sa graveyard , padohot pangarangrang styles ranging sian Gothic , Roman , dohot Baroque , graveyard , mangalun tu the musim of Bandung , mamparhiraon di san 's sada manuktuk ragi paberik , manodo the umjeges sada .",neutral
189,"Unemployment bala inparallel dohot the pinarsinta natogos of the tolap tampadak farmers , the parkarejoan namasa ima nari unsatisfactory .",negative
191,"This crazed unte shoe seller sara lahang : muddy , lamot unte , pandemically maol , tobang jolma sahuta dang boi mangalehon it",negative
192,"Ahu 'm mamboto i lombu susu ima n't jeges tu iba , jadi Ahu mangulahon n't mangaloas -hu dakdanak menek mangan lombu susu . But , Ahu 'm di bagas hagogoton , mangaloas iba laho on jabu manigor , urup , the pasilitas are n't jeges tuk .",negative
194,"Salasa 's sada jeges ari tu mangusung di the cuka motor panumpang , dia lomo tu mambahen jolma sahuta , bahat of panghasoloman , mangulahon n't mangareap pudi , marhembangan -mu sinaloan , hehe .",positive
198,"Principal jolma na disurigai mangalehon palan dohot incomplete salamat , hasalaan momo , bowing ngorngor dohot giving sada rata , incomplete , dohot palan busur",neutral
199,"Man , Ahu 'm sorry tu patudoshon dirihu tu sa logam hairpin , alai Ahu 'm lagi mardalanan puna tu marsantabi tu -hu parkarejoan - malua bias saonari .",negative
204,"Nope , bere mangulahon n't puna di ourtel marhorja , rata jambar ima sae hilariou",negative
206,"She hires sada driver , alai andigan the driver 's manat mangulahon n't pas , ibana boru 's jengkel . Wrong manat , manghurangi the arga , Madam .",negative
207,Santabi Sorani alai Ahu 'm daong giot di choosing the orbuk targantung menu . Ahu 'm nunga mature tuk tu mamillit the rumar menu .,negative
208,"Bah , it 's mansai bagak , sampulu sada o'clock di the potang , dohot the perpustahaan ima nari bustling , di san 's tongtong sa riha tu todoan di the langgatan gudang marombun langit , tarhatotong panatapan , dohot somal manghobasi",positive
209,"Self - flagging hasomalon , naikhon inganan tu masker mamanggang dohot jolma ganjil haruar , ditulak portibi dohot scams dohot the jolma sahuta humaliang .",neutral
211,"Nevermind the batang hayu balunan alai the lampulampu pangarangrang ima jollung di son , timbil marhalobian ngali .",positive
212,"Curiosity manjalo the umjeges of iba . Ahu manandai estetik outfits di movies , alai Ahu mangulahon n't puna sada tampuk ni pusupusu impola of panatapan .",negative
213,"This ima the parhobason atakan tu on 19 - ari moonlight panghabangon sian Indonesian astronauts , ngolu dohot well , mangongkal",neutral
214,"Ahu 'm loja dohot andorang mangahap marsahit , dang boi mamboan the buruk masin tu toru 10 % sadia nasiat , it 's lagi mardalanan rompas di -hu hands , goddammit !",negative
216,"Do n't mansot dignify dohot the parkarejoan titel , bonor reader . Deliberate mangalun harunduton , hetek LED lights , dohot rambon parkarejoan rumang .",negative
217,"Ahu 'm mauliate tu Debata tu the tibu dohot dasor manggonti , parsarupoan tu sa panailian slimos of puji Tuhan tu dang ditanda suansuanon i manulak tu mate , the dasor ingredient of ganup pardalanan",positive
218,"Ahu 'm mamboto i sasada au manolongi parhambangon care ima patut dohot sasada au differences are n't jorbut , alai marhusor sada rambon simalolong tu pangansion dohot najungkat hula hula fostering sasada au gelleng ?",negative
220,"A baio herder , ise ima anggo tu mate , manages tu manangkup sasahalak 's simalolong dohot punasa mansai tangkas paimahon dohot pinarsinta natogos",negative
221,"Olo , Ahu am sada anak sikkola dohot Ahu morot humaliang , selling cairan panganon . Do n't panguhum iba , dongan .",neutral
226,Extraordinary patar anggo the parorot ponggol of the raksasa sinse momo tu habahaba,neutral
