id	text	category
0	"Flight attendant: ""Airport security is becoming increasingly more intrusive, requiring that liquids exceeding the allowed amount be passed through X-ray machines or remain in sealed containers."""	science/technology
1	Today's highlight was the visit of the group to the farm, a facility that serves as a teaching farm for the school.	sports
2	Well, there is a guy in Florida who claims to be the father of the year.	politics
3	"She said the sisters-in-law ""were both very excited to be getting married""."	travel
4	"She adds ""But it (the truce) doesn't mean that fighting has ended. We still have a long way to go until we get to the point where we are fighting a real war of liberation."""	politics
5	In the same way, it is assumed that the first automobiles brought transportation to people who could not otherwise afford it.	science/technology
6	The couple had planned to get married at St. Mary's Cathedral, Virgina, in June this year but had to cancel the wedding due to the pandemic.	entertainment
7	Carpooling is a way of sharing a car to travel to a place where going alone is too expensive, like going on holiday, visiting friends or going to the countryside.	politics
8	However, he later clarified that the calf was not abandoned, but was instead being left to fend for itself since its mother was unable to look after it due to a lack of food.	entertainment
9	"But for the first time in history, we are seeing a constant decrease in the species' population, a phenomenon called ""species extinction""."	health
10	Butt's (bug's) flight is not as smooth as that of a butterfly or dragonfly. It has to overcome a much greater force of friction in the air.	sports
11	She appeared to suggest that government policy should be to help parents who want to satiate the desire for smart phones and other electronic devices of their children.	politics
12	For dessert, listen to the decade-old war cry of 'coffee' and 'chips', with a dash of 'hot'.	health
13	Eventually, however, the savage feast will end, and there will be no more opportunity to hide.	travel
14	Komen's letter means that Planned Parenthood must now prove that it meets the highest standards.	science/technology
15	But, unless we do something about it soon, we'll do more damage than good.	science/technology
16	Ewe! is the fourth album by Nigerian afrobeat band, Wizkid and their first album for the label Sony Music Nigeria.	entertainment
17	Richly furnished apartments, for rent, one can find in these cities only, if one has money to live on and a complex set of taxes.	entertainment
18	Besides being a kind of workout, swimming is also a kind of sport played in many competitions.	travel
19	"Mr. Smith (the narrator) says that some people think that taking drugs can make them ""feel good"". He ends by saying that drugs are dangerous, and everyone should try to avoid using them."	health
20	"She said the campaign would ""emphasize the quantity and quality of the votes cast"" in the August election, in which she believes the incumbent president will face a tough challenge."	politics
21	But if you're not a fan of pineapple on pizza, don't despair: there are lots of ways to customize a base that includes pineapple, like in this recipe for Hawaiian pizza.	geography
22	"The princess' guard of honour was a diverse group of girls from the junior and senior classes of primary school, who all wore blue uniforms with a white crown and a suitcase emblazoned with the message ""Let there be peace""."	sports
23	Rationalizing (or trying to justify) theft by saying that you are only taking what is your due is very common, but it is illegal and you will get in a lot of trouble.	geography
24	No one is obsessed with being a 'master' of any particular word game, but everyone seems to be obsessed with becoming 'genius' at some new word game.	science/technology
25	Lingala is the official language of Angola but Portuguese is also widely used.	travel
26	Imagine your delight when your favorite music player finally supports MP3s.	travel
27	For some artists, releasing an album is just as much of a work of art as creating it.	politics
28	The city is the inspiration for a number of films, including a 2002 film called Sink City.	science/technology
29	In the heat of the day, be sure to take time to assess your camp and make any necessary repairs.	health
30	Wrecks from the South Pacific tsunami that hit Indonesia on Wednesday are being recovered with a ROV (submarine robot) at a depth of 80 meters.	health
31	For the uninitiated, the solution of 'blame' and 'shuttle' may seem to be the only options left.	geography
32	However, there is a risk that this privilege may be revoked if the two broths blend.	entertainment
33	This is when you represent a character from a fiction world, such as a fantasy character.	entertainment
34	An expert witness is someone who provides evidence or testimony in court.	politics
35	"Spectacularly, he claims, ""very few"" insects have evolved to live on human food."	sports
36	"She said, ""During the election campaign the president-elect touted his ability to fix a broken health care system, but he has not said a word about how he will deal with a crisis like the one facing the DACA (Deferred Action for Childhood Arrivals) program."""	geography
37	Queer (alternative: non-heterosexual) refers to individuals who identify as neither male nor female in the traditional gender categories.	geography
38	Cycling is a flexible sport; the clothing requirements, for example, are very variable, from very little to very much depending on the weather.	geography
39	Artists often use cages to allow themselves extra space while still remaining within physical limits.	sports
40	Ilokano is a language that is fully in the family of Indo-European languages and is closely related to Spanish.	entertainment
41	Drinking alcoholic beverages on a boat can be a fun way to end a stressful day or a fun activity to share with friends.	entertainment
42	The concept was first introduced by the fairy isle of Ireland, where the plant is known by many names, including shamrock, three-leaf clover, or just clover.	sports
43	Some cruise lines even offer discounts for couples who are preparing to get married.	entertainment
44	But this doesn't mean that we shouldn't be concerned about the future of the planet. There is a trend that is causing more and more pollution.	geography
45	The software application is provided as a bundle of components, each of which is designed to accomplish a specific task.	geography
46	Finally, the task of finding the right boat for the right trip becomes clear.	geography
47	Officials said they assumed the body was that of a missing swimmer, but it was confirmed later that it was that of missing woman Anna Politkovskaya.	politics
48	The statue of liberty is often used as a symbol for the United States of America.	geography
49	"She said, ""When I announced my intention to run for president, a number of people asked, 'Are you sure?'"	entertainment
50	The farm was found guilty of unlawful transport of waste, a charge which could have resulted in a fine of up to £11,000.	politics
51	"She said parents should not have to ""compete"" with the milk formula industry to ""satisfy their own desire for certainty."""	health
52	Government spending on baby items, such as baby carriages, strollers, and baby seats, has been allowed to subsidize products such as car seats for older children.	geography
53	"The final act was performed by the acrobatic group Firebird, who topped the bill with their famous ""Master of the Sea"" performance."	politics
54	Chocolate, having a high content of flavonoids, has been shown to have anti-inflammatory properties.	health
55	"For example, one might say that the United States' use of force in the War on Terror is a ""legal"" reason for war."	science/technology
56	The legacy of the French Revolution was a great increase in female political rights. One of the first steps was the fixing of the right to vote, which was granted in 1792.	geography
57	Hello Researchers!	entertainment
58	18-year-old Dustin Johnson is the youngest player in history to score a perfect 64 on the first round of a major championship.	science/technology
59	"She said the mother ""showed no sign of fear"" when she beckoned to the baby to pass through the safety check point."	politics
60	With this new knowledge, we can determine the tiger's role in shaping human evolution.	politics
61	Tigrinya is a tonal language, with most words having one or more tones.	geography
62	I'm not very good at sports; I don't think I ever played football in my life.	health
63	"She said the child was ""very, very sick"" and he needed to be ""transported as soon as possible"", but he didn't need to be hospitalised."	travel
64	These meetings are attended by thousands of people who come to see the fighting, often very loud fights, between animals that have been trained to fight.	sports
65	The statue of a chubby, balding man is perched atop a hillock in the middle of the field. He is holding a pole with a written Amundsen-Scott South Pole Expedition on it.	geography
66	"However, he said, ""the actual burden of proof that a (genetic) modification has occurred and that it is unintended is with the researcher."""	politics
67	Later in life, he tinkered with computers to help him with his research.	health
68	Congratulations are in order, because it is now possible to say with certainty that we have found the cure for cancer, the greatest medical discovery in a long time.	geography
69	Among the many topics discussed was the break from the traditional population control method of killing off the fittest - a practice that has led to many critics calling for the sport to be disqualified.	entertainment
70	On February 16, 2012, Michael Jackson's estate announced that he had been granted a restraining order against any future claims of copyright infringement.	science/technology
71	"Princess Laishram said she was ""thrilled"" to be named International Ambassador of Hope, a role she said ""will help me share the joy of skiing with children around the world."""	travel
72	Determinism is a term in science and technology that refers to the idea that human action inevitably leads to a certain outcome, which in turn drives the development of technology.	sports
73	However, there is one caveat to this rule, and that is that this shade system should not contribute to the confusion of the two main colors, which are black and white.	geography
74	Some viral videos capture a moment in time when the camera user makes a funny or unexpected move.	entertainment
75	"The three-week festival will feature art displays, music events and a special children's area to celebrate the foundation's mission to ""raise awareness of autism and to inspire hope""."	politics
76	Wolves are the most social cats, living in large groups called prides.	health
77	"She said the 30-year veteran of the police force ""was very much a part of the family"" and he will be greatly missed by all."	health
78	Instant coffee is a complex mixture of coffee beans, sugar, and flavorings.	geography
79	The title is based on the game concept where players try to collect a set of cards that form a vertical or horizontal line.	travel
80	Dying back: A study found that when faced with a choice between making a small immediate sacrifice or saving for a future benefit, people often choose the immediate benefit.	health
81	Marriage is the traditional way in which a family is created, and the family is the basic unit of socialization.	entertainment
82	Normal meeting places for such groups are often the same places that regular friends or colleagues frequent, i.e. a bar or a restaurant.	sports
83	Perhaps the most common form of tourism is what most people associate with traveling: Recreation tourism.	travel
84	Contemporary pool noodles are made from a block of polymeric material with holes machined into it.	science/technology
85	"LOL is a acronym used to代表""laughing out loud"", a phenomenon where people laugh uncontrollably, often at a very silly or offensive video or image."	geography
86	The main event will be a Saturday night show featuring the headliners being a band that has just released their debut album.	entertainment
87	The purpose of the dam is to ensure that the water flow into the outlet channel will be steady.	entertainment
88	Immediately after the accident occurred, the driver of the truck was transported to a hospital but died later.	health
89	Cheyenne's family asked for privacy as they mourn.	entertainment
90	Salmonella, staphylococcus, and streptococcus are just a few of the bacteria that can be found in unsanitary food.	sports
91	The glass facade of the structure makes it visible from the road, and the architects have tried to maximize the amount of glass used.	sports
92	The satellite, called RCSAT-1, is a communications satellite in the remote sensing category, and is being raised to the geostationary transfer orbit by a Russian rocket.	geography
93	Complex sentences are often used to disguise the true meaning.	sports
94	A key belief of this approach is that all people are born with certain basic needs and desires that are, when met, help to ensure their physical, emotional, and social well-being.	health
95	The conference call was the first time that the attachment of the new gene to the virus had been successfully translated into a vaccine.	health
96	Insight into how football clubs fund their operations has emerged as the result of the investigation into the possible corruption within the Football Association of England (FA).	travel
97	Dr. Weingarten wrote that even though the conservative of the Republican Party have been pushing to have a ban on same-sex marriage, the party leadership has been reluctant to move on this issue.	science/technology
98	Coffee is one of the most traded commodities in the world, and you may well see a variety of geographically-specific brews on your local coffee table.	health
99	Somehow, the metal rod got stuck in the nerd's nose, and he had to be airlifted to the hospital where they had to remove the rod.	sports
100	However, there is hope for the future. Newborns with Down's syndrome are not disabled, they are just different.	politics
101	Hopefully, the new management will bring about a change in the culture at the club, so that we can return to being a team which hopes to win the title.	sports
102	While most tourist attractions are suitable for all ages, some may not be suitable for visitors with limited mobility, young children, or visitors with differing abilities.	science/technology
103	Fraudulently overcharging tourists for using public services (e.g. water, electricity, telephone) is a common way for the poor to make a living.	travel
104	Unfortunately, tourism involves a lot of pigeon tourism.	geography
105	Uganda's national flag is similar in shape to the flag of Kenya, but with different colors.	entertainment
106	"""Data mining is the process of finding useful patterns in data."""	travel
107	"Prime Minister's Office A.K.A. Cabinet Office (CO) said in a statement, ""Mr. Pritzker expressed his gratitude for the many offers of assistance and encouragement""."	entertainment
108	However, it is the genie (the bad guy) who is not in the bottle (the bottle is actually a pretty cool looking bottle).	sports
109	The presentation of the law, which was enacted to punish sex outside of marriage, has caused controversy because it is believed to allow for the spying on and monitoring of lesbians, gays, bisexuals, and transgender people.	politics
110	Neutrality is not an objective but rather a state of mind. The purpose of sport is to have fun and to make friends while learning to play the sport one is interested in.	travel
111	England was not an island alone; it was a small, weak island in a hostile ocean.	geography
112	Your partner cannot suddenly become your boss and tell you to do everything he or she says.	entertainment
113	The quilted fabric, with its vitality and energy derived from the combination of different colors and textures, evokes the feeling of a warm embrace.	science/technology
114	Hershey and Chase (1959) demonstrated how a DNA molecule could be used as a template to make a protein if the molecule was inserted into a bacterium.	science/technology
115	The actor, who died of a brain haemorrhage, had spent the week preceding his death obeys to medical orders to limit his activity.	entertainment
116	The couple may decide to have a baby after they have had relief from their fertility treatment.	science/technology
117	"She said she ""can't imagine"" a mother who would let her daughter, who is 15, marry."	politics
118	The kitten, which was found in a state of apparent nudity, was kept in a cage with the snake, which was revealed to be a non-native basilisk.	science/technology
119	The story goes that one day a boss was passing through the kitchen and saw the team of people serving the orphans with only rubbish for food. He was so angry he sent them all off to work on a farm.	geography
120	Chaos (a.k.a. economic crisis, political crisis, or just crisis) is a term that is used to describe any sudden and dramatic change in a sport's governing body, team's management, or player's personal life.	sports
121	Honey can be borrowed from a neighbor or friend who has a hive near by.	health
122	A popular fact about Cuba is that they want to be seen as a popular tourist destination, and therefore many of the small details are designed to look like these.	geography
123	Redness at the edge of the wound indicates a blood supply, which is why some animals, including humans, can spit or vomit to stop blood flow.	politics
124	Grant's failure to adapt to the changing times led to his removal from the job of chief justice in 2006.	entertainment
125	Konkani is a co-operative language; i.e. it is a language which is normally used between people who are in contact due to work, study, or play.	entertainment
126	The man, who is aged 19 and from the college basketball national champion Boston College, was charged with assault with a weapon after the fight at a bar in Cambridge.	sports
127	Boiling water is a common example of a state in which matter is more dense than in the free state.	science/technology
128	This doesn't mean that you shouldn't dress up, it just means that you shouldn't wear a uniform.	geography
129	Suicide bombers (also known as suicide avengers) are attackers who kill themselves in order to cause as much damage as possible.	politics
130	"She adds that ""there will be no match for the commitment, dedication and courage shown by the thousands of people who have signed this petition."""	health
131	The apparent lack of a backbone in the table top, makes this convertible table perfect to squeeze in between two chairs.	entertainment
132	Hmm, that seems awfully weird. I'll have to look into that.	politics
133	"Mentioning a tadpole at all stages of its development causes the adult to立刻 cease speaking, as if to say, ""Sounds good, but where is the frog I paid so much for?"""	entertainment
134	Recently, there has been a resurgence in interest in sailing, which is becoming a popular pastime for both beginners and experienced sailors.	travel
135	Architectural firm Skidmore, Owings & Merrill has been selected to design the new restaurant and lobby at the site of the former General Motors plant.	science/technology
136	Kites with sails larger than 12 square meters are required to have a license.	politics
137	"She said the camera ""changed the way that the world viewed nature"" and that the camera ""has been a companion on the journey of a lifetime for me."""	science/technology
138	Imagine a scenario where you are traveling by plane and your luggage is lost. Now, what do you think the airline would do to make up for it?	science/technology
139	"He said the ""whitewash"" conspiracy theory that Trump supporters were responsible for the violence was ""just as disgusting as the real crime""."	politics
140	January 2016 is expected to see the finalization of negotiations between Cuba and the United States, which are believed to have opened up new opportunities for travelers.	travel
141	This is when a group of people living and working together, decide to live and work in a particular place, instead of moving to another group of people.	health
142	Please remember that you are visiting a sacred site and that all forms of public and private worship are permitted, except when specifically prohibited.	geography
143	Highly recommended is to drink plenty of fluids: local drinks are expensive, and the silly drunkenness of the masses can lead to quite a few people getting into trouble without realising.	sports
144	Meanwhile, in the night of June 16 to 17, the first revision was made.	travel
145	Some people believe that flying on a plane, even if you have never felt sick before, is a scary experience to face if you have ever had a serious medical event, or if you have been through a traumatic experience.	entertainment
146	It's the job of the host(s) to make sure that everyone on the team feels included and relaxed.	sports
147	For those willing to sacrifice comfort, time and predictability to push expenses down close to zero, see minimum budget travel.	travel
148	Ilocano del Norte is a island group that consists of two islands - Ilokano and Panay. Ilokano is the larger of the two and serves as the main hub of the island.	sports
149	He did cause some controversy when he said he would invest the money économized from tax cuts for the richest Americans to pay for school lunches for poor children.	politics
150	Gynecological surgery is a very specialized field and most gynaecologists practice general surgery as well as gynecology.	geography
151	A freak snowstorm in the South Pole region has resulted in the death of all the animals except for a few rodents, who have managed to make their way to the dish of hot chocolate.	entertainment
152	The result was a nightly television show, Consistent with the Show, that featured comedian parody shows hosted by Jon Stewart and Stephen Colbert.	science/technology
153	Healthy eating: This is the idea that all foods should be included in a balanced diet.	politics
154	Unhappy with the result, some fans protested by throwing bottles at the police line, spiking one of the police shields.	politics
155	Please explain why the vase on the left is so ugly but the one on the right is okay.	geography
156	"After the match, Huhne said he was ""very, very interesed"" in becoming the next permanent chairman of the Football Association (FA), job he said he wanted to take on after the 2018 World Cup."	travel
157	Phosphorus and pyrophosphate are used as booster nutrients, meaning that they encourage the growth of algae, which in turn provides a source of food for the fish.	entertainment
158	The government has so far been reluctant to take measures such as price controls or taxes on the importation of basic foodstuffs, in order to cushion the impact on the poor people.	health
159	"The band's web site describes the horn as ""one of the most unique instruments ever created"", and the band has been described as having ""rock'n'roll on a massive scale."""	geography
160	The cup, which is walked on upside down, is sacred to the goddess and only allowed in the temple grounds at night.	geography
161	Tuesday's event was a qualifying race for the 2013 women's road race.	sports
162	However, there is concern that 8 p.m. GMT shift will put the sleepy suburbia of Brisley, close to the golf course, in a huge traffic jam.	geography
163	Adorable! It's the perfect way to encourage babies to learn to sit up, as they can push, pull, and wave the boat while they learn to guide it.	entertainment
164	"Loneliness is one of the most common and pernicious effects of technology on society, he writes, ""it is now commonly believed that overuse of technology leads to 'connective"	science/technology
165	However, they should not be expected to replace swimming, bicycling, hiking, or any other activity that requires free movement across the water.	sports
166	The topic of this entry, waxy maize, was a new food for the indigenous peoples of the Americas who, 500 years before Columbus's voyage, already were eating it.	politics
167	The witchcraft trial of the 16th century started as a way for the Catholic Church, which already had a nasty habit of nullifying and ignoring the teachings of Jesus, to get even.	science/technology
168	Dr. Moll has made the promise that if his request for a temporary license to practice dentistry in Venezuela is granted, he will work to establish a permanent clinic in needy neighborhoods.	geography
169	The bible does not say that a curse was placed upon Cain, but rather that his anxiety caused him to curse (Genesis 4:17).	travel
170	Adverb: To sleep (verb): To sleep (noun): To sleep (adjective): To sleep (conjunction): To sleep (sentence):	politics
171	It will also take the responsibility for postgraduate education, which was previously the responsibility of the Department of Education.	science/technology
172	Though he is young, he has already been compared to a rising political star because of his public statements and his criticism of the government.	politics
173	The government website (in English) describes the project as “bringing transportation systems together in a way that seamlessly integrates and uses cars, buses, trains, and other transportation modes.”	politics
174	Monday's event is a one-mile walk/run around the course, with a possibility of a sprint section in the middle.	sports
175	He then claimed that the guard, who was punching and kicking the man who was on the ground, did so because he was punched and kicked by a group of people.	travel
