id	text	category
2	The tulon ye played kan bin , ani e bin dafɛ e dingɛ ye mown shorter ani min bɛ wele ko e binkɛnɛ .	sports
7	"Dr. Fauci fɔ e jamakuntigi 's banayɛlɛma "" puts a kɔnɔ e suguya ka jama jon ka kan sɔrɔ vaccinated i n'a fɔ sɔɔni i n'a fɔ bɛ se ka kɛ . """	health
11	Guaraní , e yɛrɛyɛrɛ inhabitants ka e màra , a tun be kelen jɛkulu ka semi-nomadic hunters ani gatherers jon survived ni a ye fishing , lajɛ̀ ani trading ani e dugulen tribes .	geography
20	The pɔn se ka sɔn fɛ wasa kelen ka laɲinini jan kásasama ni a ye minnu wishing fɛ ka baara readymade sculptural works ka seko kan e pawe .	travel
23	"Dr. Suresh Kumar Sharma , e ɲɛmaa investigator ka e poroze , fɔ , "" ani sɔrɔ successfully fabricated kelen microfluidic minɛn o ka se ka fara ani ka lásàa kelenaya bilema joli cells ( RBCs ) kɔnɔ kelen esantiyɔn . """	science/technology
26	Sorani ( 2006 ) writes o ' destinations o ye perceived fɛ ka ni u fila bɛ lakana ani hɔrɔnya ka bɔ ni fɛnw i n'a fɔ faantanya , hunger , ani bana sɔrɔ a kɛ la shown fɛ lasamali minnu seeking lakana ' .	travel
43	"She created e jɔyɔrɔ ka "" pirimu minister 's adviser "" , fɛ jumɛn dozens ka muso sɔrɔ Kabini a kɛ la appointed , fɛ ka sɔn i n'a fɔ kelen ka woloma ka inner koori ka advisers kosɔn e pirimu minister ."	politics
48	However , a mana ke min ye farikolo bana decisions ni a ye e gofɛrɛnaman fɛ kɛwale kan a mana ke min ye ka e recommendations bɛ dɔrɔn ka sɔn fɛ aggravate e kelen - strongly - turned - kama - e - gofɛrɛnaman nisɔn .	politics
51	Rarely kɛ ani ka jateminɛ e waati ka .... to.... traveling kan kelen sira ka talon walima ka .... to.... staying kɔnɔ kelen samanen sigiyɔrɔ .	travel
53	"Huhne 's biro fɔ a tun "" cɛsirilen "" fɛ ka taa ɲɛ fɛ ani e furusiri , jumɛn tun scheduled kosɔn August ."	politics
56	She sɔrɔlen o ni i k'a don kelen denmisɛn kɔnɔ kelen soden ani kelen desɛn ka kelen kɔsɛbɛ unpleasant kɛnɛ ani ka ɲininka u fɛ ka filɛ fɛ a , nka ka di u kelen crayon fɛ ka desɛn ani , olu se ka filɛ fɛ e ja dcnni fearfully .	science/technology
65	She bɔla e nɛgɛ balolanɛgɛ bi tun donfini kan e dugukolo ani fɔ ale kamalen a tun b'a fɛ karilen a .	health
68	He tun ayi kelen unanimous ɲɛnata ; dɔw officials lakofɔlen a se replaced ni a ye kelen caman maralikɛla candidate , John Thune .	politics
71	Thanks fɛ nin bɛnkan , fans se se se fɛ ka taama fɛ ani ka sen don matches kɔnɔ Russia ani limaanaw nɔgɔya .	sports
75	If i ka balo kɔnɔ kelen màra ani kelen wɔlɔkɔ wagati , i wo n't sɔrɔ kelen gɛlɛnman waati finding kelen yiri o i ka se ka dasun .	science/technology
84	Remember o i 're essentially visiting kelen kulu kaburu , o de kama ka furakɛ e yɔrɔ ani bɛɛ ka e danbe , solemnity , ani bonya a deserves .	travel
87	""" oow "" tun e dɔrɔn daɲɛ o nana fɛ olu waati Ne a ye e jiwalankata ka tiɲɛ fɛ e bamuso baton ."	entertainment
94	Flourescent powder ka se se kɔrɔlen fɛ keli nɛzi ka filɛ freshly fallen , hali ni a ye kɔrɔ .	science/technology
100	Originaly ka bɔ e duguba ka Swindon , Wiltshire , e jɛkulu tun founded kɔnɔ 1985 ni a ye kelen jɛkulu ka musicians jon a tun be unhappy ani e kuntilenna o ka ci fɔli tun taking fɛ e waati .	entertainment
101	A ka taa bɔ fɛ e kuluwo ye kelen laɲininnen taama , involving kelen jan senataama fɛ farifagalen terrain .	travel
102	"Interestingly , a a y'a kɛ ayi ka lakodon walima ka dalacɛ o a tun nafaman kɔnɔ sex kɛnɛma ka furu . He explained a jogo i n'a fɔ "" kanu 's farin tulon "" ( ka kalan : kanu fɛ fɔlɔ ɲɛ ) cɛ kelen cɛ ani kelen muso ."	entertainment
